GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263297,296500,2726500,Notodontidae,Ginshachia elongata,成蟲,2011,346970,3826_10560
3826_247282,281500,2694500,Notodontidae,Ginshachia elongata,成蟲,2013,346970,3826_9857
3826_255762,261500,2711500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_10253
3826_229767,266500,2659500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_9154
3826_264279,278500,2728500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_10556
3826_255305,304500,2710500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_10261
3826_264279,278500,2728500,Notodontidae,Ginshachia elongata,成蟲,2015,346970,3826_10556
3826_263798,297500,2727500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_10560
3826_255262,261500,2710500,Notodontidae,Ginshachia elongata,成蟲,2015,346970,3826_10253
3826_241751,250500,2683500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_9651
3826_238290,289500,2676500,Notodontidae,Ginshachia elongata,成蟲,2016,346970,3826_9558
3826_263297,296500,2726500,Notodontidae,Ginshachia elongata,成蟲,2016,346970,3826_10560
3826_232268,267500,2664500,Notodontidae,Ginshachia elongata,成蟲,2016,346970,3826_9254
3826_237303,302500,2674500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_9461
3826_200219,218500,2600500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_8044
3826_234278,277500,2668500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_9356
3826_207230,229500,2614500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_8246
3826_256762,261500,2713500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_10253
3826_237785,284500,2675500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_9557
3826_259784,283500,2719500,Notodontidae,Ginshachia elongata,幼蟲,2017,346970,3826_10357
3826_198236,235500,2596500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_7948
3826_238290,289500,2676500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_9558
3826_267278,277500,2734500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_10656
3826_239300,299500,2678500,Notodontidae,Ginshachia elongata,成蟲,2018,346970,3826_9560
3826_228306,305500,2656500,Notodontidae,Ginshachia elongata,幼蟲,2017,346970,3826_9162
3826_200230,229500,2600500,Notodontidae,Ginshachia elongata,成蟲,2018,346970,3826_8046
3826_255762,261500,2711500,Notodontidae,Ginshachia elongata,成蟲,2018,346970,3826_10253
3826_239775,274500,2679500,Notodontidae,Ginshachia elongata,成蟲,2018,346970,3826_9555
3826_264778,277500,2729500,Notodontidae,Ginshachia elongata,成蟲,2018,346970,3826_10556
3826_264778,277500,2729500,Notodontidae,Ginshachia elongata,成蟲,2019,346970,3826_10556
3826_200231,230500,2600500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_8047
3826_238800,299500,2677500,Notodontidae,Ginshachia elongata,成蟲,2019,346970,3826_9560
3826_239300,299500,2678500,Notodontidae,Ginshachia elongata,成蟲,2019,346970,3826_9560
3826_239296,295500,2678500,Notodontidae,Ginshachia elongata,成蟲,2019,346970,3826_9560
3826_263798,297500,2727500,Notodontidae,Ginshachia elongata,成蟲,2019,346970,3826_10560
3826_200229,228500,2600500,Notodontidae,Ginshachia elongata,成蟲,2017,346970,3826_8046
3826_207230,229500,2614500,Notodontidae,Ginshachia elongata,成蟲,2014,346970,3826_8246
3826_259784,283500,2719500,Notodontidae,Ginshachia elongata,成蟲,2020,346970,3826_10357
3826_231268,267500,2662500,Notodontidae,Ginshachia elongata,成蟲,2020,346970,3826_9254
3826_237791,290500,2675500,Notodontidae,Ginshachia elongata,成蟲,2020,346970,3826_9559
3826_265782,281500,2731500,Notodontidae,Ginshachia elongata,成蟲,2020,346970,3826_10657
3826_264790,289500,2729500,Notodontidae,Ginshachia elongata,成蟲,2020,346970,3826_10558
3826_241248,247500,2682500,Notodontidae,Ginshachia elongata,成蟲,2020,346970,3826_9650
3826_264779,278500,2729500,Notodontidae,Ginshachia elongata,成蟲,2021,346970,3826_10556
3826_256753,252500,2713500,Notodontidae,Ginshachia elongata,成蟲,2021,346970,3826_10251
3826_263798,297500,2727500,Notodontidae,Ginshachia elongata,成蟲,2012,346970,3826_10560
3826_238290,289500,2676500,Notodontidae,Ginshachia elongata,成蟲,2021,346970,3826_9558
3826_233271,270500,2666500,Notodontidae,Ginshachia elongata,成蟲,2021,346970,3826_9355
3826_200230,229500,2600500,Notodontidae,Ginshachia elongata,成蟲,2021,346970,3826_8046
3826_239300,299500,2678500,Notodontidae,Ginshachia elongata,成蟲,2021,346970,3826_9560
3826_264783,282500,2729500,Notodontidae,Ginshachia elongata,成蟲,2022,346970,3826_10557
3826_269273,272500,2738500,Notodontidae,Ginshachia elongata,成蟲,2022,346970,3826_10755
