GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_206243,242500,2612500,Noctuidae,Globia punctilinea,成蟲,2012,428295,3826_8249
3826_264279,278500,2728500,Noctuidae,Globia punctilinea,成蟲,2013,428295,3826_10556
3826_292806,305500,2785500,Noctuidae,Globia punctilinea,成蟲,2013,428295,3826_11762
3826_269273,272500,2738500,Noctuidae,Globia punctilinea,成蟲,2022,428295,3826_10755
3826_264279,278500,2728500,Noctuidae,Globia punctilinea,成蟲,2015,428295,3826_10556
3826_263798,297500,2727500,Noctuidae,Globia punctilinea,成蟲,2014,428295,3826_10560
3826_279306,305500,2758500,Noctuidae,Globia punctilinea,成蟲,2013,428295,3826_11162
3826_293303,302500,2786500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_11761
3826_254805,304500,2709500,Noctuidae,Globia punctilinea,成蟲,2015,428295,3826_10161
3826_204739,238500,2609500,Noctuidae,Globia punctilinea,成蟲,2012,428295,3826_8148
3826_264279,278500,2728500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_10556
3826_200229,228500,2600500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_8046
3826_266294,293500,2732500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_10659
3826_231268,267500,2662500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_9254
3826_198733,232500,2597500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_7947
3826_267279,278500,2734500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_10656
3826_265765,264500,2731500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_10653
3826_199225,224500,2598500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_7945
3826_220810,309500,2641500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_8862
3826_195214,213500,2590500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_7843
3826_256760,259500,2713500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_10252
3826_271765,264500,2743500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_10853
3826_241275,274500,2682500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_9655
3826_293308,307500,2786500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_11762
3826_239300,299500,2678500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_9560
3826_255762,261500,2711500,Noctuidae,Globia punctilinea,成蟲,2017,428295,3826_10253
3826_262249,248500,2724500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_10450
3826_290310,309500,2780500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_11662
3826_251728,227500,2703500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_10046
3826_257802,301500,2715500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_10361
3826_275780,279500,2751500,Noctuidae,Globia punctilinea,成蟲,2019,428295,3826_11056
3826_293303,302500,2786500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_11761
3826_251728,227500,2703500,Noctuidae,Globia punctilinea,成蟲,2019,428295,3826_10046
3826_269273,272500,2738500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_10755
3826_255743,242500,2711500,Noctuidae,Globia punctilinea,成蟲,2018,428295,3826_10249
3826_239300,299500,2678500,Noctuidae,Globia punctilinea,成蟲,2019,428295,3826_9560
3826_207230,229500,2614500,Noctuidae,Globia punctilinea,成蟲,2019,428295,3826_8246
3826_207230,229500,2614500,Noctuidae,Globia punctilinea,成蟲,2015,428295,3826_8246
3826_238800,299500,2677500,Noctuidae,Globia punctilinea,成蟲,2020,428295,3826_9560
3826_273796,295500,2747500,Noctuidae,Globia punctilinea,成蟲,2020,428295,3826_10960
3826_273786,285500,2747500,Noctuidae,Globia punctilinea,成蟲,2020,428295,3826_10958
3826_286791,290500,2773500,Noctuidae,Globia punctilinea,成蟲,2020,428295,3826_11459
3826_198220,219500,2596500,Noctuidae,Globia punctilinea,成蟲,2021,428295,3826_7944
3826_199224,223500,2598500,Noctuidae,Globia punctilinea,成蟲,2020,428295,3826_7945
3826_200731,230500,2601500,Noctuidae,Globia punctilinea,成蟲,2016,428295,3826_8047
