GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_173684,183500,2547500,Crambidae,Glyphodes onychinalis,成蟲,2011,427188,3826_6937
3826_287813,312500,2775500,Crambidae,Glyphodes onychinalis,成蟲,2012,427188,3826_11563
3826_162692,191500,2525500,Crambidae,Glyphodes onychinalis,成蟲,2012,427188,3826_6539
3826_273788,287500,2747500,Crambidae,Glyphodes onychinalis,成蟲,2012,427188,3826_10958
3826_281309,308500,2762500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_11262
3826_291801,300500,2783500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_11661
3826_273788,287500,2747500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_10958
3826_274781,280500,2749500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_10957
3826_188716,215500,2577500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_7544
3826_273826,325500,2747500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_10966
3826_275267,266500,2750500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_11054
3826_273304,303500,2746500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_10961
3826_292805,304500,2785500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_11761
3826_266771,270500,2733500,Crambidae,Glyphodes onychinalis,成蟲,2014,427188,3826_10655
3826_175725,224500,2551500,Crambidae,Glyphodes onychinalis,成蟲,2014,427188,3826_7045
3826_227258,257500,2654500,Crambidae,Glyphodes onychinalis,成蟲,2014,427188,3826_9052
3826_280787,286500,2761500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_11258
3826_264279,278500,2728500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_10556
3826_221310,309500,2642500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_8862
3826_237248,247500,2674500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_9450
3826_199195,194500,2598500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_7939
3826_199720,219500,2599500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_7944
3826_281810,309500,2763500,Crambidae,Glyphodes onychinalis,成蟲,2014,427188,3826_11262
3826_289309,308500,2778500,Crambidae,Glyphodes onychinalis,成蟲,2014,427188,3826_11562
3826_280304,303500,2760500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_11261
3826_279306,305500,2758500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_11162
3826_279306,305500,2758500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_11162
3826_281301,300500,2762500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_11261
3826_273304,303500,2746500,Crambidae,Glyphodes onychinalis,成蟲,2012,427188,3826_10961
3826_152175,174500,2504500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_6035
3826_152175,174500,2504500,Crambidae,Glyphodes onychinalis,成蟲,2014,427188,3826_6035
3826_152175,174500,2504500,Crambidae,Glyphodes onychinalis,成蟲,2011,427188,3826_6035
3826_152175,174500,2504500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_6035
3826_285313,312500,2770500,Crambidae,Glyphodes onychinalis,成蟲,2012,427188,3826_11463
3826_192289,288500,2584500,Crambidae,Glyphodes onychinalis,成蟲,2015,427188,3826_7658
3826_236217,216500,2672500,Crambidae,Glyphodes onychinalis,成蟲,2013,427188,3826_9444
3826_293303,302500,2786500,Crambidae,Glyphodes onychinalis,成蟲,2016,427188,3826_11761
