GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Crambidae,Glyphodes stolalis,成蟲,2012,344183,3826_8146
3826_212229,228500,2624500,Crambidae,Glyphodes stolalis,成蟲,2012,344183,3826_8446
3826_154218,217500,2508500,Crambidae,Glyphodes stolalis,成蟲,2013,344183,3826_6144
3826_221310,309500,2642500,Crambidae,Glyphodes stolalis,成蟲,2015,344183,3826_8862
3826_175725,224500,2551500,Crambidae,Glyphodes stolalis,成蟲,2015,344183,3826_7045
3826_280316,315500,2760500,Crambidae,Glyphodes stolalis,成蟲,2012,344183,3826_11264
3826_281810,309500,2763500,Crambidae,Glyphodes stolalis,成蟲,2015,344183,3826_11262
3826_198712,211500,2597500,Crambidae,Glyphodes stolalis,幼蟲,2016,344183,3826_7943
3826_190782,281500,2581500,Crambidae,Glyphodes stolalis,成蟲,2016,344183,3826_7657
3826_186781,280500,2573500,Crambidae,Glyphodes stolalis,成蟲,2016,344183,3826_7457
3826_175725,224500,2551500,Crambidae,Glyphodes stolalis,成蟲,2014,344183,3826_7045
3826_253242,241500,2706500,Crambidae,Glyphodes stolalis,成蟲,2016,344183,3826_10149
3826_195214,213500,2590500,Crambidae,Glyphodes stolalis,成蟲,2017,344183,3826_7843
3826_161256,255500,2522500,Crambidae,Glyphodes stolalis,成蟲,2017,344183,3826_6452
3826_286306,305500,2772500,Crambidae,Glyphodes stolalis,成蟲,2017,344183,3826_11462
3826_285313,312500,2770500,Crambidae,Glyphodes stolalis,成蟲,2017,344183,3826_11463
3826_255812,311500,2711500,Crambidae,Glyphodes stolalis,成蟲,2015,344183,3826_10263
3826_154218,217500,2508500,Crambidae,Glyphodes stolalis,成蟲,2018,344183,3826_6144
3826_175725,224500,2551500,Crambidae,Glyphodes stolalis,成蟲,2018,344183,3826_7045
3826_266265,264500,2732500,Crambidae,Glyphodes stolalis,成蟲,2018,344183,3826_10653
3826_152175,174500,2504500,Crambidae,Glyphodes stolalis,成蟲,2018,344183,3826_6035
3826_273796,295500,2747500,Crambidae,Glyphodes stolalis,成蟲,2019,344183,3826_10960
3826_257753,252500,2715500,Crambidae,Glyphodes stolalis,成蟲,2019,344183,3826_10351
3826_281810,309500,2763500,Crambidae,Glyphodes stolalis,成蟲,2019,344183,3826_11262
3826_237801,300500,2675500,Crambidae,Glyphodes stolalis,成蟲,2019,344183,3826_9561
3826_197218,217500,2594500,Crambidae,Glyphodes stolalis,成蟲,2017,344183,3826_7844
3826_279305,304500,2758500,Crambidae,Glyphodes stolalis,成蟲,2020,344183,3826_11161
3826_281810,309500,2763500,Crambidae,Glyphodes stolalis,成蟲,2020,344183,3826_11262
3826_147746,245500,2495500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_5950
3826_273788,287500,2747500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_10958
3826_131735,234500,2463500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_5247
3826_207792,291500,2615500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_8359
3826_281810,309500,2763500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_11262
3826_282806,305500,2765500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_11362
3826_273807,306500,2747500,Crambidae,Glyphodes stolalis,成蟲,2021,344183,3826_10962
3826_147746,245500,2495500,Crambidae,Glyphodes stolalis,成蟲,2022,344183,3826_5950
3826_240223,222500,2680500,Crambidae,Glyphodes stolalis,成蟲,2022,344183,3826_9645
3826_153718,217500,2507500,Crambidae,Glyphodes stolalis,成蟲,2022,344183,3826_6144
