GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_175725,224500,2551500,Geometridae,Gnophos delitescens,成蟲,2012,344905,3826_7045
3826_175725,224500,2551500,Geometridae,Gnophos delitescens,成蟲,2013,344905,3826_7045
3826_267778,277500,2735500,Geometridae,Gnophos delitescens,成蟲,2013,344905,3826_10756
3826_270276,275500,2740500,Geometridae,Gnophos delitescens,成蟲,2013,344905,3826_10856
3826_201236,235500,2602500,Geometridae,Gnophos delitescens,成蟲,2014,344905,3826_8048
3826_264279,278500,2728500,Geometridae,Gnophos delitescens,成蟲,2014,344905,3826_10556
3826_215255,254500,2630500,Geometridae,Gnophos delitescens,成蟲,2014,344905,3826_8651
3826_259282,281500,2718500,Geometridae,Gnophos delitescens,成蟲,2014,344905,3826_10357
3826_198733,232500,2597500,Geometridae,Gnophos delitescens,成蟲,2015,344905,3826_7947
3826_232753,252500,2665500,Geometridae,Gnophos delitescens,成蟲,2015,344905,3826_9351
3826_207230,229500,2614500,Geometridae,Gnophos delitescens,幼蟲,2015,344905,3826_8246
3826_175222,221500,2550500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_7045
3826_200229,228500,2600500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_8046
3826_263798,297500,2727500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_10560
3826_264283,282500,2728500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_10557
3826_207230,229500,2614500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_8246
3826_226764,263500,2653500,Geometridae,Gnophos delitescens,成蟲,2013,344905,3826_9053
3826_224769,268500,2649500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_8954
3826_238290,289500,2676500,Geometridae,Gnophos delitescens,成蟲,2016,344905,3826_9558
3826_237303,302500,2674500,Geometridae,Gnophos delitescens,成蟲,2017,344905,3826_9461
3826_250741,240500,2701500,Geometridae,Gnophos delitescens,成蟲,2017,344905,3826_10049
