GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_188716,215500,2577500,Erebidae,Goniocraspedon variegata,成蟲,2013,422569,3826_7544
3826_273304,303500,2746500,Erebidae,Goniocraspedon variegata,成蟲,2013,422569,3826_10961
3826_181755,254500,2563500,Erebidae,Goniocraspedon variegata,成蟲,2013,422569,3826_7251
3826_139724,223500,2479500,Erebidae,Goniocraspedon variegata,成蟲,2014,422569,3826_5545
3826_236243,242500,2672500,Erebidae,Goniocraspedon variegata,成蟲,2014,422569,3826_9449
3826_275306,305500,2750500,Erebidae,Goniocraspedon variegata,成蟲,2014,422569,3826_11062
3826_151747,246500,2503500,Erebidae,Goniocraspedon variegata,成蟲,2015,422569,3826_6050
3826_264279,278500,2728500,Erebidae,Goniocraspedon variegata,成蟲,2015,422569,3826_10556
3826_279306,305500,2758500,Erebidae,Goniocraspedon variegata,成蟲,2013,422569,3826_11162
3826_218230,229500,2636500,Erebidae,Goniocraspedon variegata,成蟲,2011,422569,3826_8746
3826_273788,287500,2747500,Erebidae,Goniocraspedon variegata,成蟲,2012,422569,3826_10958
3826_121724,223500,2443500,Erebidae,Goniocraspedon variegata,成蟲,2016,422569,3826_4845
3826_273279,278500,2746500,Erebidae,Goniocraspedon variegata,成蟲,2013,422569,3826_10956
3826_252226,225500,2704500,Erebidae,Goniocraspedon variegata,成蟲,2016,422569,3826_10046
3826_252226,225500,2704500,Erebidae,Goniocraspedon variegata,成蟲,2017,422569,3826_10046
3826_272775,274500,2745500,Erebidae,Goniocraspedon variegata,成蟲,2017,422569,3826_10955
3826_238231,230500,2676500,Erebidae,Goniocraspedon variegata,成蟲,2017,422569,3826_9547
3826_218230,229500,2636500,Erebidae,Goniocraspedon variegata,成蟲,2017,422569,3826_8746
3826_154218,217500,2508500,Erebidae,Goniocraspedon variegata,成蟲,2018,422569,3826_6144
3826_237230,229500,2674500,Erebidae,Goniocraspedon variegata,成蟲,2018,422569,3826_9446
3826_269280,279500,2738500,Erebidae,Goniocraspedon variegata,成蟲,2018,422569,3826_10756
3826_290310,309500,2780500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_11662
3826_257253,252500,2714500,Erebidae,Goniocraspedon variegata,成蟲,2018,422569,3826_10251
3826_273760,259500,2747500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_10952
3826_255743,242500,2711500,Erebidae,Goniocraspedon variegata,成蟲,2018,422569,3826_10249
3826_130234,233500,2460500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_5247
3826_256737,236500,2713500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_10248
3826_240730,229500,2681500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_9646
3826_272276,275500,2744500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_10856
3826_238732,231500,2677500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_9547
3826_255743,242500,2711500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_10249
3826_154218,217500,2508500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_6144
3826_152684,183500,2505500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_6137
3826_273786,285500,2747500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_10958
3826_232204,203500,2664500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_9241
3826_216751,250500,2633500,Erebidae,Goniocraspedon variegata,成蟲,2013,422569,3826_8651
3826_251728,227500,2703500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_10046
3826_276802,301500,2753500,Erebidae,Goniocraspedon variegata,成蟲,2019,422569,3826_11061
3826_238732,231500,2677500,Erebidae,Goniocraspedon variegata,成蟲,2020,422569,3826_9547
3826_291805,304500,2783500,Erebidae,Goniocraspedon variegata,成蟲,2014,422569,3826_11661
3826_273786,285500,2747500,Erebidae,Goniocraspedon variegata,成蟲,2020,422569,3826_10958
3826_272276,275500,2744500,Erebidae,Goniocraspedon variegata,成蟲,2020,422569,3826_10856
3826_175222,221500,2550500,Erebidae,Goniocraspedon variegata,成蟲,2014,422569,3826_7045
3826_273788,287500,2747500,Erebidae,Goniocraspedon variegata,成蟲,2020,422569,3826_10958
3826_291805,304500,2783500,Erebidae,Goniocraspedon variegata,成蟲,2015,422569,3826_11661
3826_290294,293500,2780500,Erebidae,Goniocraspedon variegata,成蟲,2020,422569,3826_11659
3826_190200,199500,2580500,Erebidae,Goniocraspedon variegata,成蟲,2021,422569,3826_7640
3826_194707,206500,2589500,Erebidae,Goniocraspedon variegata,成蟲,2021,422569,3826_7742
3826_217726,225500,2635500,Erebidae,Goniocraspedon variegata,成蟲,2021,422569,3826_8746
3826_274280,279500,2748500,Erebidae,Goniocraspedon variegata,成蟲,2021,422569,3826_10956
3826_259249,248500,2718500,Erebidae,Goniocraspedon variegata,成蟲,2022,422569,3826_10350
3826_214717,216500,2629500,Erebidae,Goniocraspedon variegata,成蟲,2022,422569,3826_8544
3826_269273,272500,2738500,Erebidae,Goniocraspedon variegata,成蟲,2022,422569,3826_10755
3826_164271,270500,2528500,Erebidae,Goniocraspedon variegata,成蟲,2022,422569,3826_6555
3826_218230,229500,2636500,Erebidae,Goniocraspedon variegata,幼蟲,2022,422569,3826_8746
