GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287813,312500,2775500,Erebidae,Gonitis mesogona,成蟲,2012,422565,3826_11563
3826_273788,287500,2747500,Erebidae,Gonitis mesogona,成蟲,2012,422565,3826_10958
3826_206243,242500,2612500,Erebidae,Gonitis mesogona,成蟲,2012,422565,3826_8249
3826_221213,212500,2642500,Erebidae,Gonitis mesogona,幼蟲,2012,422565,3826_8843
3826_283807,306500,2767500,Erebidae,Gonitis mesogona,成蟲,2013,422565,3826_11362
3826_220810,309500,2641500,Erebidae,Gonitis mesogona,成蟲,2014,422565,3826_8862
3826_269811,310500,2739500,Erebidae,Gonitis mesogona,幼蟲,2014,422565,3826_10763
3826_281820,319500,2763500,Erebidae,Gonitis mesogona,成蟲,2013,422565,3826_11264
3826_264279,278500,2728500,Erebidae,Gonitis mesogona,成蟲,2014,422565,3826_10556
3826_282307,306500,2764500,Erebidae,Gonitis mesogona,成蟲,2014,422565,3826_11262
3826_282307,306500,2764500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11262
3826_291802,301500,2783500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11661
3826_220810,309500,2641500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_8862
3826_221310,309500,2642500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_8862
3826_291801,300500,2783500,Erebidae,Gonitis mesogona,成蟲,2014,422565,3826_11661
3826_262312,311500,2724500,Erebidae,Gonitis mesogona,成蟲,2013,422565,3826_10463
3826_225263,262500,2650500,Erebidae,Gonitis mesogona,幼蟲,2014,422565,3826_9053
3826_293308,307500,2786500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11762
3826_293303,302500,2786500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11761
3826_290310,309500,2780500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11662
3826_264283,282500,2728500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_10557
3826_281844,343500,2763500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11269
3826_290804,303500,2781500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11661
3826_221713,212500,2643500,Erebidae,Gonitis mesogona,幼蟲,2013,422565,3826_8843
3826_284810,309500,2769500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11362
3826_261827,326500,2723500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_10466
3826_274307,306500,2748500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_10962
3826_281309,308500,2762500,Erebidae,Gonitis mesogona,成蟲,2013,422565,3826_11262
3826_272277,276500,2744500,Erebidae,Gonitis mesogona,成蟲,2013,422565,3826_10856
3826_281810,309500,2763500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11262
3826_282307,306500,2764500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_11262
3826_290310,309500,2780500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_11662
3826_286306,305500,2772500,Erebidae,Gonitis mesogona,成蟲,2012,422565,3826_11462
3826_211732,231500,2623500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_8447
3826_273279,278500,2746500,Erebidae,Gonitis mesogona,成蟲,2013,422565,3826_10956
3826_282292,291500,2764500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_11259
3826_151747,246500,2503500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_6050
3826_111237,236500,2422500,Erebidae,Gonitis mesogona,幼蟲,2016,422565,3826_4448
3826_292805,304500,2785500,Erebidae,Gonitis mesogona,成蟲,2014,422565,3826_11761
3826_165724,223500,2531500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_6645
3826_273796,295500,2747500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_10960
3826_267279,278500,2734500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_10656
3826_263260,259500,2726500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_10552
3826_277327,326500,2754500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_11066
3826_187783,282500,2575500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_7557
3826_287843,342500,2775500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11569
3826_290310,309500,2780500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11662
3826_185707,206500,2571500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_7442
3826_220810,309500,2641500,Erebidae,Gonitis mesogona,成蟲,2016,422565,3826_8862
3826_265790,289500,2731500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_10658
3826_254805,304500,2709500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_10161
3826_293308,307500,2786500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11762
3826_276802,301500,2753500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11061
3826_286321,320500,2772500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11465
3826_283284,283500,2766500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11357
3826_277327,326500,2754500,Erebidae,Gonitis mesogona,成蟲,2017,422565,3826_11066
3826_282307,306500,2764500,Erebidae,Gonitis mesogona,成蟲,2018,422565,3826_11262
3826_255812,311500,2711500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_10263
3826_291303,302500,2782500,Erebidae,Gonitis mesogona,成蟲,2015,422565,3826_11661
3826_275307,306500,2750500,Erebidae,Gonitis mesogona,成蟲,2018,422565,3826_11062
3826_152714,213500,2505500,Erebidae,Gonitis mesogona,幼蟲,2018,422565,3826_6143
