GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_290309,308500,2780500,Limacodidae,Griseothosea fasciata,成蟲,2011,431557,3826_11662
3826_249744,243500,2699500,Limacodidae,Griseothosea fasciata,幼蟲,2012,431557,3826_9949
3826_275267,266500,2750500,Limacodidae,Griseothosea fasciata,幼蟲,2013,431557,3826_11054
3826_224769,268500,2649500,Limacodidae,Griseothosea fasciata,成蟲,2013,431557,3826_8954
3826_264279,278500,2728500,Limacodidae,Griseothosea fasciata,成蟲,2014,431557,3826_10556
3826_297809,308500,2795500,Limacodidae,Griseothosea fasciata,成蟲,2014,431557,3826_11962
3826_291801,300500,2783500,Limacodidae,Griseothosea fasciata,幼蟲,2012,431557,3826_11661
3826_290805,304500,2781500,Limacodidae,Griseothosea fasciata,成蟲,2013,431557,3826_11661
3826_272786,285500,2745500,Limacodidae,Griseothosea fasciata,幼蟲,2014,431557,3826_10958
3826_277769,268500,2755500,Limacodidae,Griseothosea fasciata,幼蟲,2016,431557,3826_11154
3826_285313,312500,2770500,Limacodidae,Griseothosea fasciata,成蟲,2016,431557,3826_11463
3826_212229,228500,2624500,Limacodidae,Griseothosea fasciata,成蟲,2015,431557,3826_8446
3826_218230,229500,2636500,Limacodidae,Griseothosea fasciata,成蟲,2017,431557,3826_8746
3826_290310,309500,2780500,Limacodidae,Griseothosea fasciata,成蟲,2017,431557,3826_11662
3826_290310,309500,2780500,Limacodidae,Griseothosea fasciata,成蟲,2010,431557,3826_11662
3826_219244,243500,2638500,Limacodidae,Griseothosea fasciata,成蟲,2018,431557,3826_8749
3826_276771,270500,2753500,Limacodidae,Griseothosea fasciata,幼蟲,2018,431557,3826_11055
3826_290293,292500,2780500,Limacodidae,Griseothosea fasciata,幼蟲,2018,431557,3826_11659
3826_286810,309500,2773500,Limacodidae,Griseothosea fasciata,幼蟲,2018,431557,3826_11462
3826_275768,267500,2751500,Limacodidae,Griseothosea fasciata,幼蟲,2018,431557,3826_11054
3826_241751,250500,2683500,Limacodidae,Griseothosea fasciata,成蟲,2018,431557,3826_9651
3826_292801,300500,2785500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11761
3826_273792,291500,2747500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_10959
3826_280292,291500,2760500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11259
3826_283805,304500,2767500,Limacodidae,Griseothosea fasciata,成蟲,2019,431557,3826_11361
3826_290805,304500,2781500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11661
3826_207230,229500,2614500,Limacodidae,Griseothosea fasciata,成蟲,2015,431557,3826_8246
3826_282784,283500,2765500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11357
3826_288318,317500,2776500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11564
3826_282806,305500,2765500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11362
3826_287294,293500,2774500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11459
3826_224769,268500,2649500,Limacodidae,Griseothosea fasciata,成蟲,2020,431557,3826_8954
3826_291802,301500,2783500,Limacodidae,Griseothosea fasciata,幼蟲,2019,431557,3826_11661
3826_290311,310500,2780500,Limacodidae,Griseothosea fasciata,成蟲,2014,431557,3826_11663
3826_295315,314500,2790500,Limacodidae,Griseothosea fasciata,幼蟲,2020,431557,3826_11863
3826_291805,304500,2783500,Limacodidae,Griseothosea fasciata,成蟲,2014,431557,3826_11661
3826_282784,283500,2765500,Limacodidae,Griseothosea fasciata,幼蟲,2020,431557,3826_11357
3826_224769,268500,2649500,Limacodidae,Griseothosea fasciata,幼蟲,2020,431557,3826_8954
3826_263798,297500,2727500,Limacodidae,Griseothosea fasciata,幼蟲,2020,431557,3826_10560
3826_238251,250500,2676500,Limacodidae,Griseothosea fasciata,幼蟲,2020,431557,3826_9551
3826_291805,304500,2783500,Limacodidae,Griseothosea fasciata,成蟲,2016,431557,3826_11661
3826_293303,302500,2786500,Limacodidae,Griseothosea fasciata,成蟲,2016,431557,3826_11761
3826_285793,292500,2771500,Limacodidae,Griseothosea fasciata,成蟲,2021,431557,3826_11459
3826_231268,267500,2662500,Limacodidae,Griseothosea fasciata,幼蟲,2021,431557,3826_9254
3826_291305,304500,2782500,Limacodidae,Griseothosea fasciata,成蟲,2022,431557,3826_11661
3826_289309,308500,2778500,Limacodidae,Griseothosea fasciata,幼蟲,2022,431557,3826_11562
