GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Limacodidae,Hampsonella arizana,成蟲,2014,428164,3826_10560
3826_140225,224500,2480500,Limacodidae,Hampsonella arizana,成蟲,2014,428164,3826_5645
3826_188240,239500,2576500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_7548
3826_253276,275500,2706500,Limacodidae,Hampsonella arizana,成蟲,2014,428164,3826_10156
3826_293303,302500,2786500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_11761
3826_237791,290500,2675500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_9559
3826_263798,297500,2727500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_10560
3826_290310,309500,2780500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_11662
3826_232753,252500,2665500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_9351
3826_273788,287500,2747500,Limacodidae,Hampsonella arizana,成蟲,2012,428164,3826_10958
3826_242252,251500,2684500,Limacodidae,Hampsonella arizana,成蟲,2015,428164,3826_9651
3826_293303,302500,2786500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_11761
3826_290310,309500,2780500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_11662
3826_198737,236500,2597500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_7948
3826_238290,289500,2676500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_9558
3826_263798,297500,2727500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_10560
3826_237228,227500,2674500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_9446
3826_252226,225500,2704500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_10046
3826_293308,307500,2786500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_11762
3826_265778,277500,2731500,Limacodidae,Hampsonella arizana,幼蟲,2017,428164,3826_10656
3826_240247,246500,2680500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_9650
3826_251252,251500,2702500,Limacodidae,Hampsonella arizana,成蟲,2016,428164,3826_10051
3826_198737,236500,2597500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_7948
3826_264278,277500,2728500,Limacodidae,Hampsonella arizana,幼蟲,2017,428164,3826_10556
3826_198236,235500,2596500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_7948
3826_255762,261500,2711500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_10253
3826_280319,318500,2760500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_11264
3826_280320,319500,2760500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_11264
3826_263798,297500,2727500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_10560
3826_237228,227500,2674500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_9446
3826_237801,300500,2675500,Limacodidae,Hampsonella arizana,成蟲,2012,428164,3826_9561
3826_154218,217500,2508500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_6144
3826_273786,285500,2747500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10958
3826_255812,311500,2711500,Limacodidae,Hampsonella arizana,成蟲,2013,428164,3826_10263
3826_252226,225500,2704500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_10046
3826_236747,246500,2673500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_9450
3826_241751,250500,2683500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_9651
3826_293303,302500,2786500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_11761
3826_277297,296500,2754500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_11060
3826_237230,229500,2674500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_9446
3826_266265,264500,2732500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10653
3826_238230,229500,2676500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_9546
3826_273796,295500,2747500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10960
3826_280319,318500,2760500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_11264
3826_290310,309500,2780500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_11662
3826_272276,275500,2744500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10856
3826_294303,302500,2788500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_11761
3826_271297,296500,2742500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10860
3826_251728,227500,2703500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10046
3826_253272,271500,2706500,Limacodidae,Hampsonella arizana,成蟲,2017,428164,3826_10155
3826_279301,300500,2758500,Limacodidae,Hampsonella arizana,幼蟲,2019,428164,3826_11161
3826_238293,292500,2676500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_9559
3826_241248,247500,2682500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_9650
3826_276793,292500,2753500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_11059
3826_153718,217500,2507500,Limacodidae,Hampsonella arizana,幼蟲,2011,428164,3826_6144
3826_242745,244500,2685500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_9749
3826_254738,237500,2709500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10148
3826_238800,299500,2677500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_9560
3826_255743,242500,2711500,Limacodidae,Hampsonella arizana,成蟲,2018,428164,3826_10249
3826_238794,293500,2677500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_9559
3826_273786,285500,2747500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_10958
3826_280320,319500,2760500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_11264
3826_269811,310500,2739500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_10763
3826_265773,272500,2731500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_10655
3826_286336,335500,2772500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_11468
3826_280302,301500,2760500,Limacodidae,Hampsonella arizana,成蟲,2019,428164,3826_11261
