GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Geometridae,Harutaea flavizona,成蟲,2013,414169,3826_10958
3826_177231,230500,2554500,Geometridae,Harutaea flavizona,成蟲,2013,414169,3826_7047
3826_268276,275500,2736500,Geometridae,Harutaea flavizona,成蟲,2014,414169,3826_10756
3826_264279,278500,2728500,Geometridae,Harutaea flavizona,成蟲,2014,414169,3826_10556
3826_263798,297500,2727500,Geometridae,Harutaea flavizona,成蟲,2014,414169,3826_10560
3826_264279,278500,2728500,Geometridae,Harutaea flavizona,成蟲,2013,414169,3826_10556
3826_259800,299500,2719500,Geometridae,Harutaea flavizona,成蟲,2015,414169,3826_10360
3826_267278,277500,2734500,Geometridae,Harutaea flavizona,成蟲,2014,414169,3826_10656
3826_165724,223500,2531500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_6645
3826_267279,278500,2734500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_10656
3826_198733,232500,2597500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_7947
3826_234314,313500,2668500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_9363
3826_265790,289500,2731500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_10658
3826_259784,283500,2719500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_10357
3826_259781,280500,2719500,Geometridae,Harutaea flavizona,成蟲,2014,414169,3826_10357
3826_200230,229500,2600500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_8046
3826_264779,278500,2729500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_10556
3826_238290,289500,2676500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_9558
3826_239300,299500,2678500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_9560
3826_241751,250500,2683500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_9651
3826_263260,259500,2726500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_10552
3826_267278,277500,2734500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_10656
3826_207230,229500,2614500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_8246
3826_219234,233500,2638500,Geometridae,Harutaea flavizona,成蟲,2018,414169,3826_8747
3826_241248,247500,2682500,Geometridae,Harutaea flavizona,成蟲,2017,414169,3826_9650
3826_232268,267500,2664500,Geometridae,Harutaea flavizona,成蟲,2018,414169,3826_9254
3826_154218,217500,2508500,Geometridae,Harutaea flavizona,成蟲,2018,414169,3826_6144
3826_227760,259500,2655500,Geometridae,Harutaea flavizona,成蟲,2018,414169,3826_9152
3826_200220,219500,2600500,Geometridae,Harutaea flavizona,成蟲,2016,414169,3826_8044
3826_263296,295500,2726500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_10560
3826_264279,278500,2728500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_10556
3826_175725,224500,2551500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_7045
3826_264778,277500,2729500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_10556
3826_198739,238500,2597500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_7948
3826_225263,262500,2650500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_9053
3826_267258,257500,2734500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_10652
3826_254805,304500,2709500,Geometridae,Harutaea flavizona,成蟲,2019,414169,3826_10161
3826_224769,268500,2649500,Geometridae,Harutaea flavizona,成蟲,2020,414169,3826_8954
3826_224769,268500,2649500,Geometridae,Harutaea flavizona,成蟲,2014,414169,3826_8954
3826_265782,281500,2731500,Geometridae,Harutaea flavizona,成蟲,2020,414169,3826_10657
3826_257745,244500,2715500,Geometridae,Harutaea flavizona,成蟲,2020,414169,3826_10349
3826_198739,238500,2597500,Geometridae,Harutaea flavizona,成蟲,2020,414169,3826_7948
3826_170218,217500,2540500,Geometridae,Harutaea flavizona,成蟲,2015,414169,3826_6844
3826_274296,295500,2748500,Geometridae,Harutaea flavizona,成蟲,2021,414169,3826_10960
3826_238794,293500,2677500,Geometridae,Harutaea flavizona,成蟲,2021,414169,3826_9559
3826_200731,230500,2601500,Geometridae,Harutaea flavizona,成蟲,2021,414169,3826_8047
3826_224769,268500,2649500,Geometridae,Harutaea flavizona,成蟲,2022,414169,3826_8954
3826_208728,227500,2617500,Geometridae,Harutaea flavizona,成蟲,2022,414169,3826_8346
