GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_252229,228500,2704500,Noctuidae,Helicoverpa armigera,幼蟲,2012,346321,3826_10046
3826_248231,230500,2696500,Noctuidae,Helicoverpa armigera,幼蟲,2012,346321,3826_9947
3826_263263,262500,2726500,Noctuidae,Helicoverpa armigera,幼蟲,2014,346321,3826_10553
3826_158267,266500,2516500,Noctuidae,Helicoverpa armigera,成蟲,2014,346321,3826_6354
3826_237248,247500,2674500,Noctuidae,Helicoverpa armigera,成蟲,2015,346321,3826_9450
3826_268819,318500,2737500,Noctuidae,Helicoverpa armigera,成蟲,2014,346321,3826_10764
3826_264279,278500,2728500,Noctuidae,Helicoverpa armigera,成蟲,2015,346321,3826_10556
3826_290804,303500,2781500,Noctuidae,Helicoverpa armigera,成蟲,2015,346321,3826_11661
3826_264283,282500,2728500,Noctuidae,Helicoverpa armigera,成蟲,2015,346321,3826_10557
3826_288806,305500,2777500,Noctuidae,Helicoverpa armigera,幼蟲,2015,346321,3826_11562
3826_153692,191500,2507500,Noctuidae,Helicoverpa armigera,幼蟲,2015,346321,3826_6139
3826_211195,194500,2622500,Noctuidae,Helicoverpa armigera,成蟲,2016,346321,3826_8439
3826_203210,209500,2606500,Noctuidae,Helicoverpa armigera,幼蟲,2014,346321,3826_8142
3826_196193,192500,2592500,Noctuidae,Helicoverpa armigera,幼蟲,2016,346321,3826_7839
3826_292805,304500,2785500,Noctuidae,Helicoverpa armigera,成蟲,2014,346321,3826_11761
3826_292797,296500,2785500,Noctuidae,Helicoverpa armigera,成蟲,2016,346321,3826_11760
3826_281812,311500,2763500,Noctuidae,Helicoverpa armigera,成蟲,2016,346321,3826_11263
3826_280805,304500,2761500,Noctuidae,Helicoverpa armigera,成蟲,2016,346321,3826_11261
3826_175222,221500,2550500,Noctuidae,Helicoverpa armigera,成蟲,2014,346321,3826_7045
3826_238231,230500,2676500,Noctuidae,Helicoverpa armigera,幼蟲,2017,346321,3826_9547
3826_158226,225500,2516500,Noctuidae,Helicoverpa armigera,幼蟲,2017,346321,3826_6346
3826_281812,311500,2763500,Noctuidae,Helicoverpa armigera,成蟲,2017,346321,3826_11263
3826_281810,309500,2763500,Noctuidae,Helicoverpa armigera,成蟲,2017,346321,3826_11262
3826_239300,299500,2678500,Noctuidae,Helicoverpa armigera,成蟲,2017,346321,3826_9560
3826_290829,328500,2781500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_11666
3826_281810,309500,2763500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_11262
3826_281812,311500,2763500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_11263
3826_233270,269500,2666500,Noctuidae,Helicoverpa armigera,成蟲,2011,346321,3826_9354
3826_293308,307500,2786500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_11762
3826_212706,205500,2625500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_8542
3826_154218,217500,2508500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_6144
3826_222739,238500,2645500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_8948
3826_232739,238500,2665500,Noctuidae,Helicoverpa armigera,幼蟲,2018,346321,3826_9348
3826_254738,237500,2709500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_10148
3826_165201,200500,2530500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_6641
3826_281810,309500,2763500,Noctuidae,Helicoverpa armigera,成蟲,2019,346321,3826_11262
3826_269271,270500,2738500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_10755
3826_187199,198500,2574500,Noctuidae,Helicoverpa armigera,成蟲,2019,346321,3826_7440
3826_171672,171500,2543500,Noctuidae,Helicoverpa armigera,成蟲,2019,346321,3826_6835
3826_254738,237500,2709500,Noctuidae,Helicoverpa armigera,成蟲,2019,346321,3826_10148
3826_255743,242500,2711500,Noctuidae,Helicoverpa armigera,成蟲,2018,346321,3826_10249
