GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_122730,229500,2445500,Geometridae,Hemithea tritonaria,成蟲,2011,344923,3826_4946
3826_187200,199500,2574500,Geometridae,Hemithea tritonaria,成蟲,2012,344923,3826_7440
3826_154218,217500,2508500,Geometridae,Hemithea tritonaria,成蟲,2012,344923,3826_6144
3826_116226,225500,2432500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_4646
3826_281309,308500,2762500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_11262
3826_282806,305500,2765500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_11362
3826_275267,266500,2750500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11054
3826_288310,309500,2776500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11562
3826_288309,308500,2776500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11562
3826_281810,309500,2763500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11262
3826_236314,313500,2672500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_9463
3826_154218,217500,2508500,Geometridae,Hemithea tritonaria,成蟲,2011,344923,3826_6144
3826_269761,260500,2739500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_10753
3826_158223,222500,2516500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_6345
3826_266765,264500,2733500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_10653
3826_276297,296500,2752500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_11060
3826_264279,278500,2728500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_10556
3826_237228,227500,2674500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_9446
3826_293807,306500,2787500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_11762
3826_237801,300500,2675500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_9561
3826_237228,227500,2674500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_9446
3826_281810,309500,2763500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_11262
3826_263753,252500,2727500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_10551
3826_281309,308500,2762500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_11262
3826_200229,228500,2600500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_8046
3826_154218,217500,2508500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_6144
3826_291303,302500,2782500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_11661
3826_266755,254500,2733500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_10651
3826_262759,258500,2725500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_10552
3826_291805,304500,2783500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11661
3826_277327,326500,2754500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_11066
3826_216751,250500,2633500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_8651
3826_271249,248500,2742500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_10850
3826_283284,283500,2766500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_11357
3826_266777,276500,2733500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_10656
3826_269761,260500,2739500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_10753
3826_291805,304500,2783500,Geometridae,Hemithea tritonaria,成蟲,2011,344923,3826_11661
3826_287809,308500,2775500,Geometridae,Hemithea tritonaria,幼蟲,2019,344923,3826_11562
3826_255743,242500,2711500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_10249
3826_269757,256500,2739500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_10752
3826_292307,306500,2784500,Geometridae,Hemithea tritonaria,成蟲,2012,344923,3826_11662
3826_291805,304500,2783500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_11661
3826_286321,320500,2772500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_11465
3826_292803,302500,2785500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_11761
3826_228252,251500,2656500,Geometridae,Hemithea tritonaria,幼蟲,2019,344923,3826_9151
3826_237727,226500,2675500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_9546
3826_289805,304500,2779500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_11561
3826_159220,219500,2518500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_6344
3826_291805,304500,2783500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_11661
3826_276802,301500,2753500,Geometridae,Hemithea tritonaria,成蟲,2019,344923,3826_11061
3826_256837,336500,2713500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_10268
3826_139724,223500,2479500,Geometridae,Hemithea tritonaria,成蟲,2013,344923,3826_5545
3826_282806,305500,2765500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_11362
3826_190198,197500,2580500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_7640
3826_281810,309500,2763500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_11262
3826_287807,306500,2775500,Geometridae,Hemithea tritonaria,幼蟲,2020,344923,3826_11562
3826_289805,304500,2779500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11561
3826_275780,279500,2751500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_11056
3826_257745,244500,2715500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_10349
3826_288808,307500,2777500,Geometridae,Hemithea tritonaria,幼蟲,2020,344923,3826_11562
3826_257729,228500,2715500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_10346
3826_277327,326500,2754500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_11066
3826_265782,281500,2731500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_10657
3826_208299,298500,2616500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_8360
3826_284818,317500,2769500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_11364
3826_272276,275500,2744500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_10856
3826_291805,304500,2783500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_11661
3826_259800,299500,2719500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_10360
3826_273788,287500,2747500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_10958
3826_247731,230500,2695500,Geometridae,Hemithea tritonaria,幼蟲,2020,344923,3826_9947
3826_238794,293500,2677500,Geometridae,Hemithea tritonaria,成蟲,2020,344923,3826_9559
3826_286328,327500,2772500,Geometridae,Hemithea tritonaria,幼蟲,2020,344923,3826_11466
3826_259249,248500,2718500,Geometridae,Hemithea tritonaria,成蟲,2021,344923,3826_10350
3826_276802,301500,2753500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_11061
3826_293303,302500,2786500,Geometridae,Hemithea tritonaria,成蟲,2015,344923,3826_11761
3826_285319,318500,2770500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_11464
3826_292307,306500,2784500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_11662
3826_175725,224500,2551500,Geometridae,Hemithea tritonaria,成蟲,2014,344923,3826_7045
3826_291805,304500,2783500,Geometridae,Hemithea tritonaria,成蟲,2021,344923,3826_11661
3826_147746,245500,2495500,Geometridae,Hemithea tritonaria,成蟲,2021,344923,3826_5950
3826_256223,222500,2712500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_10245
3826_289809,308500,2779500,Geometridae,Hemithea tritonaria,成蟲,2016,344923,3826_11562
3826_293303,302500,2786500,Geometridae,Hemithea tritonaria,成蟲,2021,344923,3826_11761
3826_286321,320500,2772500,Geometridae,Hemithea tritonaria,成蟲,2017,344923,3826_11465
3826_276793,292500,2753500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_11059
3826_284830,329500,2769500,Geometridae,Hemithea tritonaria,成蟲,2018,344923,3826_11366
