GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Erebidae,Hesudra divisa,成蟲,2011,343773,3826_10559
3826_293303,302500,2786500,Erebidae,Hesudra divisa,成蟲,2011,343773,3826_11761
3826_198726,225500,2597500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_7946
3826_241275,274500,2682500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_9655
3826_293303,302500,2786500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_11761
3826_273788,287500,2747500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_10958
3826_264279,278500,2728500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_10556
3826_293303,302500,2786500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_11761
3826_263798,297500,2727500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10560
3826_255762,261500,2711500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_10253
3826_272776,275500,2745500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_10956
3826_265292,291500,2730500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10659
3826_264779,278500,2729500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10556
3826_238794,293500,2677500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_9559
3826_281301,300500,2762500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_11261
3826_234267,266500,2668500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_9354
3826_139724,223500,2479500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_5545
3826_268788,287500,2737500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10758
3826_264279,278500,2728500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10556
3826_263798,297500,2727500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10560
3826_229772,271500,2659500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_9155
3826_269811,310500,2739500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10763
3826_199222,221500,2598500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_7945
3826_240738,237500,2681500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_9648
3826_281820,319500,2763500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_11264
3826_281301,300500,2762500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_11261
3826_274290,289500,2748500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10958
3826_281810,309500,2763500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_11262
3826_255812,311500,2711500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10263
3826_229767,266500,2659500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_9154
3826_200731,230500,2601500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_8047
3826_273786,285500,2747500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10958
3826_254805,304500,2709500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10161
3826_151747,246500,2503500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_6050
3826_281820,319500,2763500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_11264
3826_255762,261500,2711500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10253
3826_185749,248500,2571500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_7450
3826_259282,281500,2718500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10357
3826_228264,263500,2656500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_9153
3826_280787,286500,2761500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_11258
3826_273321,320500,2746500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10965
3826_259784,283500,2719500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_10357
3826_277771,270500,2755500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_11155
3826_281810,309500,2763500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_11262
3826_281301,300500,2762500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_11261
3826_229767,266500,2659500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_9154
3826_195215,214500,2590500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_7843
3826_229767,266500,2659500,Erebidae,Hesudra divisa,成蟲,2011,343773,3826_9154
3826_263798,297500,2727500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_10560
3826_219244,243500,2638500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_8749
3826_140225,224500,2480500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_5645
3826_240741,240500,2681500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_9649
3826_234267,266500,2668500,Erebidae,Hesudra divisa,成蟲,2010,343773,3826_9354
3826_232753,252500,2665500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_9351
3826_232254,253500,2664500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_9251
3826_224769,268500,2649500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_8954
3826_237789,288500,2675500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_9558
3826_254805,304500,2709500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_10161
3826_272277,276500,2744500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_10856
3826_273278,277500,2746500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_10956
3826_285313,312500,2770500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_11463
3826_211732,231500,2623500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_8447
3826_273788,287500,2747500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10958
3826_288310,309500,2776500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_11562
3826_206230,229500,2612500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_8246
3826_290805,304500,2781500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_11661
3826_232753,252500,2665500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_9351
3826_200220,219500,2600500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_8044
3826_177231,230500,2554500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_7047
3826_268762,261500,2737500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10753
3826_199222,221500,2598500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_7945
3826_195215,214500,2590500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_7843
3826_175724,223500,2551500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_7045
3826_195213,212500,2590500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_7843
3826_229248,247500,2658500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_9150
3826_281813,312500,2763500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_11263
3826_264279,278500,2728500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10556
3826_195715,214500,2591500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_7843
3826_140225,224500,2480500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_5645
3826_259781,280500,2719500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10357
3826_254805,304500,2709500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10161
3826_232753,252500,2665500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_9351
3826_257746,245500,2715500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10350
3826_266294,293500,2732500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10659
3826_255762,261500,2711500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_10253
3826_241248,247500,2682500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_9650
3826_267279,278500,2734500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10656
3826_256762,261500,2713500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10253
3826_259784,283500,2719500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10357
3826_263260,259500,2726500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10552
3826_265791,290500,2731500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10659
3826_175726,225500,2551500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_7046
3826_259760,259500,2719500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10352
3826_263798,297500,2727500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10560
3826_277327,326500,2754500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_11066
3826_256748,247500,2713500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10250
3826_224749,248500,2649500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_8950
3826_200230,229500,2600500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_8046
3826_275306,305500,2750500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11062
3826_281810,309500,2763500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11262
3826_207736,235500,2615500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_8348
3826_266265,264500,2732500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10653
3826_271288,287500,2742500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10858
3826_286321,320500,2772500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11465
3826_273792,291500,2747500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10959
3826_281309,308500,2762500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11262
3826_281812,311500,2763500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11263
3826_284309,308500,2768500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11362
3826_238290,289500,2676500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_9558
3826_293303,302500,2786500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11761
3826_236780,279500,2673500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_9456
3826_260280,279500,2720500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10456
3826_200231,230500,2600500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_8047
3826_282809,308500,2765500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_11362
3826_264279,278500,2728500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10556
3826_207230,229500,2614500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_8246
3826_185749,248500,2571500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_7450
3826_259282,281500,2718500,Erebidae,Hesudra divisa,成蟲,2016,343773,3826_10357
3826_211236,235500,2622500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_8448
3826_271250,249500,2742500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10850
3826_259800,299500,2719500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10360
3826_273796,295500,2747500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10960
3826_232268,267500,2664500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_9254
3826_267278,277500,2734500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10656
3826_229767,266500,2659500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_9154
3826_254805,304500,2709500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10161
3826_175222,221500,2550500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_7045
3826_239300,299500,2678500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_9560
3826_256762,261500,2713500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10253
3826_240249,248500,2680500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_9650
3826_266293,292500,2732500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10659
3826_199222,221500,2598500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_7945
3826_263260,259500,2726500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10552
3826_241248,247500,2682500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_9650
3826_265790,289500,2731500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_10658
3826_207230,229500,2614500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_8246
3826_254805,304500,2709500,Erebidae,Hesudra divisa,成蟲,2010,343773,3826_10161
3826_255812,311500,2711500,Erebidae,Hesudra divisa,成蟲,2010,343773,3826_10263
3826_219234,233500,2638500,Erebidae,Hesudra divisa,成蟲,2017,343773,3826_8747
3826_224749,248500,2649500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_8950
3826_219234,233500,2638500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_8747
3826_228252,251500,2656500,Erebidae,Hesudra divisa,幼蟲,2018,343773,3826_9151
3826_255262,261500,2710500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10253
3826_259784,283500,2719500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10357
3826_234275,274500,2668500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9355
3826_231768,267500,2663500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9254
3826_231268,267500,2662500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9254
3826_214744,243500,2629500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_8549
3826_222739,238500,2645500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_8948
3826_255762,261500,2711500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10253
3826_229766,265500,2659500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9154
3826_241751,250500,2683500,Erebidae,Hesudra divisa,成蟲,2014,343773,3826_9651
3826_257802,301500,2715500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10361
3826_281309,308500,2762500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_11262
3826_262305,304500,2724500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10461
3826_257253,252500,2714500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10251
3826_241751,250500,2683500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9651
3826_254738,237500,2709500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10148
3826_209730,229500,2619500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_8346
3826_241248,247500,2682500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9650
3826_242745,244500,2685500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_9749
3826_264279,278500,2728500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10556
3826_280321,320500,2760500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_11265
3826_271774,273500,2743500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10855
3826_269765,264500,2739500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10753
3826_242745,244500,2685500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_9749
3826_264779,278500,2729500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10556
3826_281810,309500,2763500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_11262
3826_280320,319500,2760500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_11264
3826_238800,299500,2677500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_9560
3826_259784,283500,2719500,Erebidae,Hesudra divisa,成蟲,2010,343773,3826_10357
3826_256762,261500,2713500,Erebidae,Hesudra divisa,成蟲,2010,343773,3826_10253
3826_255743,242500,2711500,Erebidae,Hesudra divisa,成蟲,2018,343773,3826_10249
3826_165724,223500,2531500,Erebidae,Hesudra divisa,成蟲,2012,343773,3826_6645
3826_280319,318500,2760500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_11264
3826_266265,264500,2732500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10653
3826_259759,258500,2719500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10352
3826_254738,237500,2709500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10148
3826_154218,217500,2508500,Erebidae,Hesudra divisa,成蟲,2013,343773,3826_6144
3826_255743,242500,2711500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10249
3826_257745,244500,2715500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10349
3826_139225,224500,2478500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_5545
3826_254805,304500,2709500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10161
3826_207230,229500,2614500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_8246
3826_200230,229500,2600500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_8046
3826_263293,292500,2726500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10559
3826_259282,281500,2718500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10357
3826_265790,289500,2731500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_10658
3826_159220,219500,2518500,Erebidae,Hesudra divisa,成蟲,2015,343773,3826_6344
3826_241751,250500,2683500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_9651
3826_231268,267500,2662500,Erebidae,Hesudra divisa,成蟲,2019,343773,3826_9254
