GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232753,252500,2665500,Notodontidae,Higena trichosticha,成蟲,2011,346975,3826_9351
3826_281312,311500,2762500,Notodontidae,Higena trichosticha,成蟲,2012,346975,3826_11263
3826_273826,325500,2747500,Notodontidae,Higena trichosticha,成蟲,2013,346975,3826_10966
3826_279806,305500,2759500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_11162
3826_272776,275500,2745500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_10956
3826_264279,278500,2728500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_10556
3826_281810,309500,2763500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_11262
3826_215255,254500,2630500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_8651
3826_273786,285500,2747500,Notodontidae,Higena trichosticha,幼蟲,2014,346975,3826_10958
3826_275786,285500,2751500,Notodontidae,Higena trichosticha,成蟲,2015,346975,3826_11058
3826_266771,270500,2733500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_10655
3826_273788,287500,2747500,Notodontidae,Higena trichosticha,成蟲,2013,346975,3826_10958
3826_281301,300500,2762500,Notodontidae,Higena trichosticha,成蟲,2015,346975,3826_11261
3826_165715,214500,2531500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_6643
3826_269315,314500,2738500,Notodontidae,Higena trichosticha,成蟲,2012,346975,3826_10763
3826_151747,246500,2503500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_6050
3826_281810,309500,2763500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_11262
3826_275786,285500,2751500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_11058
3826_293303,302500,2786500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_11761
3826_272786,285500,2745500,Notodontidae,Higena trichosticha,成蟲,2014,346975,3826_10958
3826_277327,326500,2754500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_11066
3826_165724,223500,2531500,Notodontidae,Higena trichosticha,幼蟲,2016,346975,3826_6645
3826_280805,304500,2761500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_11261
3826_279301,300500,2758500,Notodontidae,Higena trichosticha,成蟲,2017,346975,3826_11161
3826_281810,309500,2763500,Notodontidae,Higena trichosticha,成蟲,2017,346975,3826_11262
3826_275806,305500,2751500,Notodontidae,Higena trichosticha,成蟲,2017,346975,3826_11062
3826_280805,304500,2761500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_11261
3826_279806,305500,2759500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_11162
3826_274806,305500,2749500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_10962
3826_269273,272500,2738500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_10755
3826_281309,308500,2762500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_11262
3826_269772,271500,2739500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_10755
3826_284809,308500,2769500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_11362
3826_279305,304500,2758500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_11161
3826_284809,308500,2769500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_11362
3826_255743,242500,2711500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_10249
3826_154218,217500,2508500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_6144
3826_280321,320500,2760500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_11265
3826_256737,236500,2713500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10248
3826_266264,263500,2732500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10653
3826_280320,319500,2760500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_11264
3826_264778,277500,2729500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10556
3826_281810,309500,2763500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_11262
3826_154218,217500,2508500,Notodontidae,Higena trichosticha,成蟲,2013,346975,3826_6144
3826_273304,303500,2746500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10961
3826_255743,242500,2711500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10249
3826_272276,275500,2744500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10856
3826_280319,318500,2760500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_11264
3826_257745,244500,2715500,Notodontidae,Higena trichosticha,成蟲,2019,346975,3826_10349
3826_279305,304500,2758500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_11161
3826_281810,309500,2763500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_11262
3826_246328,327500,2692500,Notodontidae,Higena trichosticha,成蟲,2015,346975,3826_9866
3826_257745,244500,2715500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_10349
3826_272276,275500,2744500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_10856
3826_273788,287500,2747500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_10958
3826_237223,222500,2674500,Notodontidae,Higena trichosticha,幼蟲,2020,346975,3826_9445
3826_274806,305500,2749500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_10962
3826_257745,244500,2715500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_10349
3826_158223,222500,2516500,Notodontidae,Higena trichosticha,成蟲,2016,346975,3826_6345
3826_280302,301500,2760500,Notodontidae,Higena trichosticha,成蟲,2020,346975,3826_11261
3826_281810,309500,2763500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_11262
3826_269273,272500,2738500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_10755
3826_238794,293500,2677500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_9559
3826_273788,287500,2747500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_10958
3826_139213,212500,2478500,Notodontidae,Higena trichosticha,幼蟲,2021,346975,3826_5543
3826_293303,302500,2786500,Notodontidae,Higena trichosticha,成蟲,2018,346975,3826_11761
3826_272776,275500,2745500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_10956
3826_272276,275500,2744500,Notodontidae,Higena trichosticha,成蟲,2021,346975,3826_10856
3826_269273,272500,2738500,Notodontidae,Higena trichosticha,成蟲,2022,346975,3826_10755
3826_237723,222500,2675500,Notodontidae,Higena trichosticha,幼蟲,2022,346975,3826_9545
3826_266265,264500,2732500,Notodontidae,Higena trichosticha,成蟲,2022,346975,3826_10653
3826_264279,278500,2728500,Notodontidae,Higena trichosticha,成蟲,2022,346975,3826_10556
3826_266271,270500,2732500,Notodontidae,Higena trichosticha,成蟲,2022,346975,3826_10655
