GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_167728,227500,2535500,Sphingidae,Hippotion velox,成蟲,2011,347657,3826_6746
3826_195715,214500,2591500,Sphingidae,Hippotion velox,成蟲,2011,347657,3826_7843
3826_187200,199500,2574500,Sphingidae,Hippotion velox,成蟲,2012,347657,3826_7440
3826_156214,213500,2512500,Sphingidae,Hippotion velox,幼蟲,2012,347657,3826_6243
3826_164183,182500,2528500,Sphingidae,Hippotion velox,成蟲,2013,347657,3826_6537
3826_188716,215500,2577500,Sphingidae,Hippotion velox,成蟲,2013,347657,3826_7544
3826_177231,230500,2554500,Sphingidae,Hippotion velox,成蟲,2013,347657,3826_7047
3826_172215,214500,2544500,Sphingidae,Hippotion velox,幼蟲,2013,347657,3826_6843
3826_187200,199500,2574500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_7440
3826_218230,229500,2636500,Sphingidae,Hippotion velox,幼蟲,2014,347657,3826_8746
3826_164183,182500,2528500,Sphingidae,Hippotion velox,幼蟲,2013,347657,3826_6537
3826_292803,302500,2785500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_11761
3826_227313,312500,2654500,Sphingidae,Hippotion velox,幼蟲,2014,347657,3826_9063
3826_236217,216500,2672500,Sphingidae,Hippotion velox,幼蟲,2015,347657,3826_9444
3826_195215,214500,2590500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_7843
3826_167263,262500,2534500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_6653
3826_218230,229500,2636500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_8746
3826_198240,239500,2596500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_7948
3826_167264,263500,2534500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_6653
3826_218230,229500,2636500,Sphingidae,Hippotion velox,幼蟲,2015,347657,3826_8746
3826_236217,216500,2672500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_9444
3826_152175,174500,2504500,Sphingidae,Hippotion velox,幼蟲,2016,347657,3826_6035
3826_152210,209500,2504500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_6042
3826_140225,224500,2480500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_5645
3826_264279,278500,2728500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_10556
3826_152175,174500,2504500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_6035
3826_187783,282500,2575500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_7557
3826_234275,274500,2668500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_9355
3826_204212,211500,2608500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_8143
3826_187200,199500,2574500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_7440
3826_151747,246500,2503500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_6050
3826_218230,229500,2636500,Sphingidae,Hippotion velox,蛹,2017,347657,3826_8746
3826_128729,228500,2457500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_5146
3826_167264,263500,2534500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_6653
3826_228809,308500,2657500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_9162
3826_190782,281500,2581500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_7657
3826_113728,227500,2427500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_4546
3826_152175,174500,2504500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_6035
3826_153176,175500,2506500,Sphingidae,Hippotion velox,幼蟲,2017,347657,3826_6136
3826_195214,213500,2590500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_7843
3826_152175,174500,2504500,Sphingidae,Hippotion velox,幼蟲,2017,347657,3826_6035
3826_190782,281500,2581500,Sphingidae,Hippotion velox,成蟲,2016,347657,3826_7657
3826_218230,229500,2636500,Sphingidae,Hippotion velox,幼蟲,2017,347657,3826_8746
3826_175724,223500,2551500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_7045
3826_155751,250500,2511500,Sphingidae,Hippotion velox,成蟲,2011,347657,3826_6251
3826_114232,231500,2428500,Sphingidae,Hippotion velox,幼蟲,2018,347657,3826_4547
3826_154680,179500,2509500,Sphingidae,Hippotion velox,成蟲,2018,347657,3826_6136
3826_152675,174500,2505500,Sphingidae,Hippotion velox,成蟲,2018,347657,3826_6135
3826_152210,209500,2504500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_6042
3826_130734,233500,2461500,Sphingidae,Hippotion velox,成蟲,2017,347657,3826_5247
3826_152175,174500,2504500,Sphingidae,Hippotion velox,成蟲,2018,347657,3826_6035
3826_154218,217500,2508500,Sphingidae,Hippotion velox,成蟲,2018,347657,3826_6144
3826_255743,242500,2711500,Sphingidae,Hippotion velox,成蟲,2018,347657,3826_10249
3826_152175,174500,2504500,Sphingidae,Hippotion velox,幼蟲,2018,347657,3826_6035
3826_175724,223500,2551500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_7045
3826_232753,252500,2665500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_9351
3826_175224,223500,2550500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_7045
3826_212706,205500,2625500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_8542
3826_119220,219500,2438500,Sphingidae,Hippotion velox,幼蟲,2019,347657,3826_4744
3826_152675,174500,2505500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6135
3826_175224,223500,2550500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_7045
3826_173198,197500,2546500,Sphingidae,Hippotion velox,幼蟲,2019,347657,3826_6940
3826_175725,224500,2551500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_7045
3826_152684,183500,2505500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6137
3826_140236,235500,2480500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_5648
3826_154750,249500,2509500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6150
3826_187199,198500,2574500,Sphingidae,Hippotion velox,成蟲,2010,347657,3826_7440
3826_159220,219500,2518500,Sphingidae,Hippotion velox,成蟲,2014,347657,3826_6344
3826_188700,199500,2577500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_7540
3826_166759,258500,2533500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6652
3826_168209,208500,2536500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6742
3826_151222,221500,2502500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6045
3826_154177,176500,2508500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_6136
3826_281810,309500,2763500,Sphingidae,Hippotion velox,成蟲,2019,347657,3826_11262
3826_162692,191500,2525500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_6539
3826_168209,208500,2536500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_6742
3826_151181,180500,2502500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_6037
3826_175223,222500,2550500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_7045
3826_175224,223500,2550500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_7045
3826_199225,224500,2598500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_7945
3826_175222,221500,2550500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_7045
3826_163684,183500,2527500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_6537
3826_131735,234500,2463500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_5247
3826_226308,307500,2652500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9062
3826_139225,224500,2478500,Sphingidae,Hippotion velox,成蟲,2020,347657,3826_5545
3826_171781,280500,2543500,Sphingidae,Hippotion velox,成蟲,2015,347657,3826_6857
3826_119720,219500,2439500,Sphingidae,Hippotion velox,幼蟲,2021,347657,3826_4744
3826_273788,287500,2747500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_10958
3826_148182,181500,2496500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_5937
3826_147746,245500,2495500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_5950
3826_151178,177500,2502500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_6036
3826_187200,199500,2574500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_7440
3826_238709,208500,2677500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9542
3826_152175,174500,2504500,Sphingidae,Hippotion velox,幼蟲,2021,347657,3826_6035
3826_117232,231500,2434500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_4647
3826_237230,229500,2674500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9446
3826_235232,231500,2670500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9447
3826_240248,247500,2680500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9650
3826_236780,279500,2673500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9456
3826_168208,207500,2536500,Sphingidae,Hippotion velox,幼蟲,2021,347657,3826_6742
3826_236217,216500,2672500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9444
3826_159220,219500,2518500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_6344
3826_116234,233500,2432500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_4647
3826_185706,205500,2571500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_7442
3826_225806,305500,2651500,Sphingidae,Hippotion velox,成蟲,2021,347657,3826_9062
3826_112223,222500,2424500,Sphingidae,Hippotion velox,幼蟲,2021,347657,3826_4445
3826_147746,245500,2495500,Sphingidae,Hippotion velox,成蟲,2022,347657,3826_5950
3826_150719,218500,2501500,Sphingidae,Hippotion velox,成蟲,2022,347657,3826_6044
3826_198798,297500,2597500,Sphingidae,Hippotion velox,成蟲,2022,347657,3826_7960
3826_130236,235500,2460500,Sphingidae,Hippotion velox,成蟲,2022,347657,3826_5248
