GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_290310,309500,2780500,Erebidae,Huangilene kutzscheri,成蟲,2012,439238,3826_11662
3826_281810,309500,2763500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_11262
3826_271769,268500,2743500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_10854
3826_269811,310500,2739500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_10763
3826_139724,223500,2479500,Erebidae,Huangilene kutzscheri,成蟲,2014,439238,3826_5545
3826_288310,309500,2776500,Erebidae,Huangilene kutzscheri,成蟲,2014,439238,3826_11562
3826_281820,319500,2763500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_11264
3826_281301,300500,2762500,Erebidae,Huangilene kutzscheri,成蟲,2014,439238,3826_11261
3826_287813,312500,2775500,Erebidae,Huangilene kutzscheri,成蟲,2014,439238,3826_11563
3826_281309,308500,2762500,Erebidae,Huangilene kutzscheri,成蟲,2015,439238,3826_11262
3826_279306,305500,2758500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_11162
3826_279306,305500,2758500,Erebidae,Huangilene kutzscheri,成蟲,2015,439238,3826_11162
3826_293308,307500,2786500,Erebidae,Huangilene kutzscheri,成蟲,2015,439238,3826_11762
3826_278825,324500,2757500,Erebidae,Huangilene kutzscheri,成蟲,2011,439238,3826_11165
3826_281810,309500,2763500,Erebidae,Huangilene kutzscheri,成蟲,2015,439238,3826_11262
3826_280316,315500,2760500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_11264
3826_290805,304500,2781500,Erebidae,Huangilene kutzscheri,成蟲,2013,439238,3826_11661
3826_284311,310500,2768500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_11363
3826_287843,342500,2775500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_11569
3826_284810,309500,2769500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_11362
3826_269811,310500,2739500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_10763
3826_281810,309500,2763500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_11262
3826_281813,312500,2763500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_11263
3826_288315,314500,2776500,Erebidae,Huangilene kutzscheri,成蟲,2016,439238,3826_11563
