GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269280,279500,2738500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_10756
3826_267778,277500,2735500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_10756
3826_279301,300500,2758500,Crambidae,Hyalobathra illectalis,成蟲,2012,344211,3826_11161
3826_175725,224500,2551500,Crambidae,Hyalobathra illectalis,成蟲,2014,344211,3826_7045
3826_280787,286500,2761500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11258
3826_281820,319500,2763500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11264
3826_199197,196500,2598500,Crambidae,Hyalobathra illectalis,成蟲,2014,344211,3826_7940
3826_173699,198500,2547500,Crambidae,Hyalobathra illectalis,成蟲,2014,344211,3826_6940
3826_287813,312500,2775500,Crambidae,Hyalobathra illectalis,成蟲,2012,344211,3826_11563
3826_293308,307500,2786500,Crambidae,Hyalobathra illectalis,成蟲,2015,344211,3826_11762
3826_281807,306500,2763500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11262
3826_282307,306500,2764500,Crambidae,Hyalobathra illectalis,成蟲,2017,344211,3826_11262
3826_293303,302500,2786500,Crambidae,Hyalobathra illectalis,成蟲,2016,344211,3826_11761
3826_286306,305500,2772500,Crambidae,Hyalobathra illectalis,成蟲,2016,344211,3826_11462
3826_289809,308500,2779500,Crambidae,Hyalobathra illectalis,成蟲,2016,344211,3826_11562
3826_291304,303500,2782500,Crambidae,Hyalobathra illectalis,成蟲,2014,344211,3826_11661
3826_281810,309500,2763500,Crambidae,Hyalobathra illectalis,成蟲,2016,344211,3826_11262
3826_277327,326500,2754500,Crambidae,Hyalobathra illectalis,成蟲,2017,344211,3826_11066
3826_291303,302500,2782500,Crambidae,Hyalobathra illectalis,成蟲,2015,344211,3826_11661
3826_154218,217500,2508500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_6144
3826_212726,225500,2625500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_8546
3826_287843,342500,2775500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11569
3826_282307,306500,2764500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11262
3826_286306,305500,2772500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11462
3826_251728,227500,2703500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_10046
3826_239234,233500,2678500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_9547
3826_287811,310500,2775500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11563
3826_295304,303500,2790500,Crambidae,Hyalobathra illectalis,成蟲,2010,344211,3826_11861
3826_288804,303500,2777500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11561
3826_266265,264500,2732500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_10653
3826_281310,309500,2762500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11262
3826_281810,309500,2763500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11262
3826_286321,320500,2772500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_11465
3826_286823,322500,2773500,Crambidae,Hyalobathra illectalis,成蟲,2019,344211,3826_11465
3826_154218,217500,2508500,Crambidae,Hyalobathra illectalis,成蟲,2019,344211,3826_6144
3826_275780,279500,2751500,Crambidae,Hyalobathra illectalis,成蟲,2019,344211,3826_11056
3826_282307,306500,2764500,Crambidae,Hyalobathra illectalis,成蟲,2019,344211,3826_11262
3826_293303,302500,2786500,Crambidae,Hyalobathra illectalis,成蟲,2010,344211,3826_11761
3826_287813,312500,2775500,Crambidae,Hyalobathra illectalis,成蟲,2019,344211,3826_11563
3826_165724,223500,2531500,Crambidae,Hyalobathra illectalis,成蟲,2012,344211,3826_6645
3826_291805,304500,2783500,Crambidae,Hyalobathra illectalis,成蟲,2011,344211,3826_11661
3826_251728,227500,2703500,Crambidae,Hyalobathra illectalis,成蟲,2019,344211,3826_10046
3826_255743,242500,2711500,Crambidae,Hyalobathra illectalis,成蟲,2018,344211,3826_10249
3826_292305,304500,2784500,Crambidae,Hyalobathra illectalis,成蟲,2012,344211,3826_11661
3826_159220,219500,2518500,Crambidae,Hyalobathra illectalis,成蟲,2015,344211,3826_6344
3826_293304,303500,2786500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11761
3826_291805,304500,2783500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11661
3826_290310,309500,2780500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11662
3826_290308,307500,2780500,Crambidae,Hyalobathra illectalis,成蟲,2013,344211,3826_11662
3826_260320,319500,2720500,Crambidae,Hyalobathra illectalis,成蟲,2020,344211,3826_10464
3826_266293,292500,2732500,Crambidae,Hyalobathra illectalis,成蟲,2020,344211,3826_10659
3826_291805,304500,2783500,Crambidae,Hyalobathra illectalis,成蟲,2014,344211,3826_11661
3826_273788,287500,2747500,Crambidae,Hyalobathra illectalis,成蟲,2020,344211,3826_10958
3826_272276,275500,2744500,Crambidae,Hyalobathra illectalis,成蟲,2020,344211,3826_10856
3826_175222,221500,2550500,Crambidae,Hyalobathra illectalis,成蟲,2020,344211,3826_7045
3826_293292,291500,2786500,Crambidae,Hyalobathra illectalis,成蟲,2022,344211,3826_11759
