GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_166762,261500,2533500,Hyblaeidae,Hyblaea firmamentum,成蟲,2011,345514,3826_6653
3826_290304,303500,2780500,Hyblaeidae,Hyblaea firmamentum,成蟲,2012,345514,3826_11661
3826_268824,323500,2737500,Hyblaeidae,Hyblaea firmamentum,成蟲,2012,345514,3826_10765
3826_279306,305500,2758500,Hyblaeidae,Hyblaea firmamentum,成蟲,2012,345514,3826_11162
3826_280304,303500,2760500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2012,345514,3826_11261
3826_281313,312500,2762500,Hyblaeidae,Hyblaea firmamentum,成蟲,2012,345514,3826_11263
3826_167728,227500,2535500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2012,345514,3826_6746
3826_292307,306500,2784500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2012,345514,3826_11662
3826_280805,304500,2761500,Hyblaeidae,Hyblaea firmamentum,成蟲,2012,345514,3826_11261
3826_291300,299500,2782500,Hyblaeidae,Hyblaea firmamentum,成蟲,2011,345514,3826_11660
3826_154714,213500,2509500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_6143
3826_275267,266500,2750500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2013,345514,3826_11054
3826_293303,302500,2786500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_11761
3826_287813,312500,2775500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2012,345514,3826_11563
3826_166217,216500,2532500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_6644
3826_297809,308500,2795500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_11962
3826_276762,261500,2753500,Hyblaeidae,Hyblaea firmamentum,成蟲,2012,345514,3826_11053
3826_283318,317500,2766500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_11364
3826_237801,300500,2675500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_9561
3826_197710,209500,2595500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2013,345514,3826_7942
3826_228759,258500,2657500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_9152
3826_268762,261500,2737500,Hyblaeidae,Hyblaea firmamentum,成蟲,2014,345514,3826_10753
3826_290304,303500,2780500,Hyblaeidae,Hyblaea firmamentum,成蟲,2014,345514,3826_11661
3826_279301,300500,2758500,Hyblaeidae,Hyblaea firmamentum,成蟲,2013,345514,3826_11161
3826_293303,302500,2786500,Hyblaeidae,Hyblaea firmamentum,成蟲,2014,345514,3826_11761
3826_290799,298500,2781500,Hyblaeidae,Hyblaea firmamentum,幼蟲,2014,345514,3826_11660
