GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_166722,221500,2533500,Erebidae,Hydrillodes nilgirialis,成蟲,2011,432797,3826_6645
3826_274762,261500,2749500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_10953
3826_218230,229500,2636500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_8746
3826_175202,201500,2550500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_7041
3826_116226,225500,2432500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_4646
3826_272276,275500,2744500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_10856
3826_197218,217500,2594500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_7844
3826_291329,328500,2782500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_11666
3826_150219,218500,2500500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_6044
3826_283807,306500,2767500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_11362
3826_187200,199500,2574500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_7440
3826_164683,182500,2529500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_6537
3826_282307,306500,2764500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_11262
3826_114722,221500,2429500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_4545
3826_283807,306500,2767500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_11362
3826_133714,213500,2467500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_5343
3826_282307,306500,2764500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11262
3826_280787,286500,2761500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11258
3826_220810,309500,2641500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_8862
3826_221310,309500,2642500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_8862
3826_258242,241500,2716500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_10349
3826_237245,244500,2674500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_9449
3826_298802,301500,2797500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11961
3826_284349,348500,2768500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11370
3826_261315,314500,2722500,Erebidae,Hydrillodes nilgirialis,成蟲,2013,432797,3826_10463
3826_120726,225500,2441500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_4846
3826_285793,292500,2771500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11459
3826_259800,299500,2719500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_10360
3826_224244,243500,2648500,Erebidae,Hydrillodes nilgirialis,成蟲,2010,432797,3826_8949
3826_259836,335500,2719500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_10368
3826_293308,307500,2786500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11762
3826_281844,343500,2763500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11269
3826_279306,305500,2758500,Erebidae,Hydrillodes nilgirialis,成蟲,2014,432797,3826_11162
3826_294320,319500,2788500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11764
3826_293303,302500,2786500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11761
3826_261827,326500,2723500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_10466
3826_276808,307500,2753500,Erebidae,Hydrillodes nilgirialis,成蟲,2015,432797,3826_11062
3826_174768,267500,2549500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_6954
3826_272277,276500,2744500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_10856
3826_228263,262500,2656500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_9153
3826_204739,238500,2609500,Erebidae,Hydrillodes nilgirialis,成蟲,2012,432797,3826_8148
3826_285313,312500,2770500,Erebidae,Hydrillodes nilgirialis,成蟲,2016,432797,3826_11463
