GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_209230,229500,2618500,Erebidae,Hypena longipennis,成蟲,2010,429971,3826_8346
3826_219741,240500,2639500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_8749
3826_229767,266500,2659500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_9154
3826_254805,304500,2709500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_10161
3826_265289,288500,2730500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_10658
3826_200231,230500,2600500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_8047
3826_272776,275500,2745500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_10956
3826_202737,236500,2605500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_8148
3826_247282,281500,2694500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_9857
3826_259800,299500,2719500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_10360
3826_264779,278500,2729500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_10556
3826_224769,268500,2649500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_8954
3826_150218,217500,2500500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_6044
3826_228264,263500,2656500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_9153
3826_234267,266500,2668500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_9354
3826_209230,229500,2618500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_8346
3826_209219,218500,2618500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_8344
3826_200731,230500,2601500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_8047
3826_292307,306500,2784500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_11662
3826_204739,238500,2609500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_8148
3826_222739,238500,2645500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_8948
3826_264279,278500,2728500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_10556
3826_200230,229500,2600500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_8046
3826_175223,222500,2550500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_7045
3826_280304,303500,2760500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_11261
3826_220810,309500,2641500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_8862
3826_221310,309500,2642500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_8862
3826_185749,248500,2571500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_7450
3826_153718,217500,2507500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_6144
3826_255762,261500,2711500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_10253
3826_173699,198500,2547500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_6940
3826_258301,300500,2716500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_10361
3826_264779,278500,2729500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_10556
3826_211732,231500,2623500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_8447
3826_240738,237500,2681500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_9648
3826_207230,229500,2614500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_8246
3826_140225,224500,2480500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_5645
3826_234267,266500,2668500,Erebidae,Hypena longipennis,成蟲,2010,429971,3826_9354
3826_255762,261500,2711500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_10253
3826_273788,287500,2747500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_10958
3826_264279,278500,2728500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10556
3826_152175,174500,2504500,Erebidae,Hypena longipennis,成蟲,2011,429971,3826_6035
3826_139724,223500,2479500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_5545
3826_263798,297500,2727500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10560
3826_198220,219500,2596500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_7944
3826_198240,239500,2596500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_7948
3826_192289,288500,2584500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_7658
3826_259800,299500,2719500,Erebidae,Hypena longipennis,成蟲,2012,429971,3826_10360
3826_225806,305500,2651500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_9062
3826_269811,310500,2739500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10763
3826_151747,246500,2503500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_6050
3826_175724,223500,2551500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_7045
3826_195213,212500,2590500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_7843
3826_229248,247500,2658500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_9150
3826_250741,240500,2701500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10049
3826_200230,229500,2600500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_8046
3826_255812,311500,2711500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10263
3826_293308,307500,2786500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_11762
3826_205713,212500,2611500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_8243
3826_267778,277500,2735500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_10756
3826_207230,229500,2614500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_8246
3826_273788,287500,2747500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_10958
3826_195213,212500,2590500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_7843
3826_266294,293500,2732500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10659
3826_265791,290500,2731500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10659
3826_222235,234500,2644500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_8847
3826_165724,223500,2531500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_6645
3826_241248,247500,2682500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_9650
3826_238794,293500,2677500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_9559
3826_200229,228500,2600500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_8046
3826_242745,244500,2685500,Erebidae,Hypena longipennis,成蟲,2013,429971,3826_9749
3826_238794,293500,2677500,Erebidae,Hypena longipennis,成蟲,2014,429971,3826_9559
3826_166722,221500,2533500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_6645
3826_207229,228500,2614500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_8246
3826_255762,261500,2711500,Erebidae,Hypena longipennis,成蟲,2015,429971,3826_10253
3826_254805,304500,2709500,Erebidae,Hypena longipennis,成蟲,2016,429971,3826_10161
3826_293303,302500,2786500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_11761
3826_261280,279500,2722500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_10456
3826_218734,233500,2637500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_8747
3826_209230,229500,2618500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_8346
3826_199222,221500,2598500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_7945
3826_241275,274500,2682500,Erebidae,Hypena longipennis,成蟲,2017,429971,3826_9655
