GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_277768,267500,2755500,Erebidae,Hypocala subsatura,幼蟲,2014,346400,3826_11154
3826_281820,319500,2763500,Erebidae,Hypocala subsatura,成蟲,2013,346400,3826_11264
3826_175725,224500,2551500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_7045
3826_198240,239500,2596500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_7948
3826_264283,282500,2728500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_10557
3826_264779,278500,2729500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_10556
3826_237791,290500,2675500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_9559
3826_227308,307500,2654500,Erebidae,Hypocala subsatura,幼蟲,2015,346400,3826_9062
3826_281810,309500,2763500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_11262
3826_290805,304500,2781500,Erebidae,Hypocala subsatura,成蟲,2013,346400,3826_11661
3826_225250,249500,2650500,Erebidae,Hypocala subsatura,幼蟲,2015,346400,3826_9050
3826_175205,204500,2550500,Erebidae,Hypocala subsatura,成蟲,2013,346400,3826_7041
3826_292805,304500,2785500,Erebidae,Hypocala subsatura,成蟲,2016,346400,3826_11761
3826_154218,217500,2508500,Erebidae,Hypocala subsatura,成蟲,2013,346400,3826_6144
3826_229766,265500,2659500,Erebidae,Hypocala subsatura,成蟲,2017,346400,3826_9154
3826_199233,232500,2598500,Erebidae,Hypocala subsatura,成蟲,2017,346400,3826_7947
3826_198739,238500,2597500,Erebidae,Hypocala subsatura,成蟲,2017,346400,3826_7948
3826_175724,223500,2551500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_7045
3826_233270,269500,2666500,Erebidae,Hypocala subsatura,成蟲,2011,346400,3826_9354
3826_236780,279500,2673500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_9456
3826_178679,178500,2557500,Erebidae,Hypocala subsatura,幼蟲,2018,346400,3826_7136
3826_207230,229500,2614500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_8246
3826_175725,224500,2551500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_7045
3826_281274,273500,2762500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_11255
3826_214744,243500,2629500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_8549
3826_207229,228500,2614500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_8246
3826_182206,205500,2564500,Erebidae,Hypocala subsatura,成蟲,2014,346400,3826_7242
3826_255743,242500,2711500,Erebidae,Hypocala subsatura,成蟲,2018,346400,3826_10249
3826_175224,223500,2550500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_7045
3826_230272,271500,2660500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_9255
3826_255812,311500,2711500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_10263
3826_257745,244500,2715500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_10349
3826_266293,292500,2732500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_10659
3826_273788,287500,2747500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_10958
3826_236780,279500,2673500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_9456
3826_175224,223500,2550500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_7045
3826_159220,219500,2518500,Erebidae,Hypocala subsatura,成蟲,2021,346400,3826_6344
3826_292307,306500,2784500,Erebidae,Hypocala subsatura,成蟲,2015,346400,3826_11662
3826_139225,224500,2478500,Erebidae,Hypocala subsatura,成蟲,2020,346400,3826_5545
3826_260739,238500,2721500,Erebidae,Hypocala subsatura,幼蟲,2021,346400,3826_10448
3826_264279,278500,2728500,Erebidae,Hypocala subsatura,成蟲,2021,346400,3826_10556
3826_273788,287500,2747500,Erebidae,Hypocala subsatura,成蟲,2021,346400,3826_10958
3826_236780,279500,2673500,Erebidae,Hypocala subsatura,成蟲,2021,346400,3826_9456
3826_240248,247500,2680500,Erebidae,Hypocala subsatura,成蟲,2021,346400,3826_9650
3826_265790,289500,2731500,Erebidae,Hypocala subsatura,成蟲,2021,346400,3826_10658
3826_237230,229500,2674500,Erebidae,Hypocala subsatura,幼蟲,2022,346400,3826_9446
