GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_175725,224500,2551500,Geometridae,Hypocometa clauda,成蟲,2012,344961,3826_7045
3826_219244,243500,2638500,Geometridae,Hypocometa clauda,成蟲,2012,344961,3826_8749
3826_254805,304500,2709500,Geometridae,Hypocometa clauda,成蟲,2012,344961,3826_10161
3826_239740,239500,2679500,Geometridae,Hypocometa clauda,成蟲,2013,344961,3826_9548
3826_226305,304500,2652500,Geometridae,Hypocometa clauda,成蟲,2013,344961,3826_9061
3826_264279,278500,2728500,Geometridae,Hypocometa clauda,成蟲,2013,344961,3826_10556
3826_290294,293500,2780500,Geometridae,Hypocometa clauda,成蟲,2015,344961,3826_11659
3826_273788,287500,2747500,Geometridae,Hypocometa clauda,成蟲,2012,344961,3826_10958
3826_227258,257500,2654500,Geometridae,Hypocometa clauda,幼蟲,2015,344961,3826_9052
3826_175724,223500,2551500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_7045
3826_264279,278500,2728500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_10556
3826_207230,229500,2614500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_8246
3826_231268,267500,2662500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_9254
3826_259784,283500,2719500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_10357
3826_238290,289500,2676500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_9558
3826_235280,279500,2670500,Geometridae,Hypocometa clauda,成蟲,2017,344961,3826_9456
3826_281812,311500,2763500,Geometridae,Hypocometa clauda,成蟲,2017,344961,3826_11263
3826_185749,248500,2571500,Geometridae,Hypocometa clauda,成蟲,2017,344961,3826_7450
3826_232268,267500,2664500,Geometridae,Hypocometa clauda,幼蟲,2017,344961,3826_9254
3826_200230,229500,2600500,Geometridae,Hypocometa clauda,成蟲,2017,344961,3826_8046
3826_199233,232500,2598500,Geometridae,Hypocometa clauda,成蟲,2017,344961,3826_7947
3826_240741,240500,2681500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_9649
3826_269273,272500,2738500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_10755
3826_241751,250500,2683500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_9651
3826_200230,229500,2600500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_8046
3826_222739,238500,2645500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_8948
3826_260294,293500,2720500,Geometridae,Hypocometa clauda,成蟲,2016,344961,3826_10459
3826_257253,252500,2714500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_10251
3826_276297,296500,2752500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_11060
3826_182206,205500,2564500,Geometridae,Hypocometa clauda,成蟲,2014,344961,3826_7242
3826_233271,270500,2666500,Geometridae,Hypocometa clauda,幼蟲,2019,344961,3826_9355
3826_241248,247500,2682500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_9650
3826_264779,278500,2729500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_10556
3826_154218,217500,2508500,Geometridae,Hypocometa clauda,成蟲,2018,344961,3826_6144
3826_238794,293500,2677500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_9559
3826_234275,274500,2668500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_9355
3826_293303,302500,2786500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_11761
3826_241751,250500,2683500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_9651
3826_262769,268500,2725500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_10554
3826_274806,305500,2749500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_10962
3826_209230,229500,2618500,Geometridae,Hypocometa clauda,成蟲,2019,344961,3826_8346
3826_265782,281500,2731500,Geometridae,Hypocometa clauda,成蟲,2020,344961,3826_10657
3826_269315,314500,2738500,Geometridae,Hypocometa clauda,成蟲,2020,344961,3826_10763
3826_231768,267500,2663500,Geometridae,Hypocometa clauda,成蟲,2014,344961,3826_9254
3826_229766,265500,2659500,Geometridae,Hypocometa clauda,成蟲,2014,344961,3826_9154
3826_239300,299500,2678500,Geometridae,Hypocometa clauda,成蟲,2021,344961,3826_9560
3826_225806,305500,2651500,Geometridae,Hypocometa clauda,成蟲,2021,344961,3826_9062
3826_153718,217500,2507500,Geometridae,Hypocometa clauda,成蟲,2022,344961,3826_6144
3826_159219,218500,2518500,Geometridae,Hypocometa clauda,成蟲,2022,344961,3826_6344
3826_235280,279500,2670500,Geometridae,Hypocometa clauda,成蟲,2022,344961,3826_9456
