GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_274762,261500,2749500,Geometridae,Hypomecis punctinalis glos,成蟲,2012,344972,3826_10953
3826_276808,307500,2753500,Geometridae,Hypomecis punctinalis glos,成蟲,2012,344972,3826_11062
3826_273826,325500,2747500,Geometridae,Hypomecis punctinalis glos,成蟲,2013,344972,3826_10966
3826_281820,319500,2763500,Geometridae,Hypomecis punctinalis glos,成蟲,2013,344972,3826_11264
3826_279806,305500,2759500,Geometridae,Hypomecis punctinalis glos,成蟲,2014,344972,3826_11162
3826_298802,301500,2797500,Geometridae,Hypomecis punctinalis glos,成蟲,2014,344972,3826_11961
3826_237785,284500,2675500,Geometridae,Hypomecis punctinalis glos,成蟲,2014,344972,3826_9557
3826_159220,219500,2518500,Geometridae,Hypomecis punctinalis glos,成蟲,2015,344972,3826_6344
3826_264279,278500,2728500,Geometridae,Hypomecis punctinalis glos,成蟲,2015,344972,3826_10556
3826_215255,254500,2630500,Geometridae,Hypomecis punctinalis glos,成蟲,2014,344972,3826_8651
3826_271279,278500,2742500,Geometridae,Hypomecis punctinalis glos,成蟲,2014,344972,3826_10856
3826_280304,303500,2760500,Geometridae,Hypomecis punctinalis glos,成蟲,2015,344972,3826_11261
3826_285793,292500,2771500,Geometridae,Hypomecis punctinalis glos,成蟲,2015,344972,3826_11459
3826_288315,314500,2776500,Geometridae,Hypomecis punctinalis glos,成蟲,2015,344972,3826_11563
3826_288310,309500,2776500,Geometridae,Hypomecis punctinalis glos,成蟲,2013,344972,3826_11562
3826_216250,249500,2632500,Geometridae,Hypomecis punctinalis glos,幼蟲,2014,344972,3826_8650
3826_225263,262500,2650500,Geometridae,Hypomecis punctinalis glos,幼蟲,2015,344972,3826_9053
3826_287843,342500,2775500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_11569
3826_285310,309500,2770500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_11462
3826_257741,240500,2715500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_10349
3826_213711,210500,2627500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_8543
3826_286780,279500,2773500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_11456
3826_282317,316500,2764500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_11264
3826_263297,296500,2726500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_10560
3826_237248,247500,2674500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_9450
3826_237228,227500,2674500,Geometridae,Hypomecis punctinalis glos,成蟲,2017,344972,3826_9446
3826_237303,302500,2674500,Geometridae,Hypomecis punctinalis glos,成蟲,2017,344972,3826_9461
3826_237801,300500,2675500,Geometridae,Hypomecis punctinalis glos,成蟲,2016,344972,3826_9561
3826_281812,311500,2763500,Geometridae,Hypomecis punctinalis glos,成蟲,2017,344972,3826_11263
3826_263798,297500,2727500,Geometridae,Hypomecis punctinalis glos,成蟲,2017,344972,3826_10560
3826_275806,305500,2751500,Geometridae,Hypomecis punctinalis glos,成蟲,2017,344972,3826_11062
