GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_298802,301500,2797500,Erebidae,Hypopyra vespertilio,成蟲,2012,346404,3826_11961
3826_166722,221500,2533500,Erebidae,Hypopyra vespertilio,成蟲,2012,346404,3826_6645
3826_273788,287500,2747500,Erebidae,Hypopyra vespertilio,成蟲,2012,346404,3826_10958
3826_175205,204500,2550500,Erebidae,Hypopyra vespertilio,成蟲,2013,346404,3826_7041
3826_164183,182500,2528500,Erebidae,Hypopyra vespertilio,成蟲,2013,346404,3826_6537
3826_256737,236500,2713500,Erebidae,Hypopyra vespertilio,成蟲,2019,346404,3826_10248
3826_283807,306500,2767500,Erebidae,Hypopyra vespertilio,成蟲,2012,346404,3826_11362
3826_248231,230500,2696500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_9947
3826_152675,174500,2505500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_6135
3826_298802,301500,2797500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_11961
3826_225251,250500,2650500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_9051
3826_274781,280500,2749500,Erebidae,Hypopyra vespertilio,成蟲,2012,346404,3826_10957
3826_284345,344500,2768500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_11369
3826_152210,209500,2504500,Erebidae,Hypopyra vespertilio,成蟲,2013,346404,3826_6042
3826_283807,306500,2767500,Erebidae,Hypopyra vespertilio,成蟲,2015,346404,3826_11362
3826_282809,308500,2765500,Erebidae,Hypopyra vespertilio,成蟲,2015,346404,3826_11362
3826_291801,300500,2783500,Erebidae,Hypopyra vespertilio,成蟲,2015,346404,3826_11661
3826_152175,174500,2504500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_6035
3826_291300,299500,2782500,Erebidae,Hypopyra vespertilio,成蟲,2016,346404,3826_11660
3826_292805,304500,2785500,Erebidae,Hypopyra vespertilio,成蟲,2016,346404,3826_11761
3826_272786,285500,2745500,Erebidae,Hypopyra vespertilio,成蟲,2016,346404,3826_10958
3826_225250,249500,2650500,Erebidae,Hypopyra vespertilio,成蟲,2016,346404,3826_9050
3826_272786,285500,2745500,Erebidae,Hypopyra vespertilio,幼蟲,2014,346404,3826_10958
3826_215214,213500,2630500,Erebidae,Hypopyra vespertilio,成蟲,2017,346404,3826_8643
3826_236313,312500,2672500,Erebidae,Hypopyra vespertilio,成蟲,2017,346404,3826_9463
3826_225250,249500,2650500,Erebidae,Hypopyra vespertilio,成蟲,2018,346404,3826_9050
3826_271271,270500,2742500,Erebidae,Hypopyra vespertilio,成蟲,2018,346404,3826_10855
3826_237303,302500,2674500,Erebidae,Hypopyra vespertilio,成蟲,2019,346404,3826_9461
3826_279301,300500,2758500,Erebidae,Hypopyra vespertilio,成蟲,2019,346404,3826_11161
3826_113728,227500,2427500,Erebidae,Hypopyra vespertilio,成蟲,2019,346404,3826_4546
3826_283807,306500,2767500,Erebidae,Hypopyra vespertilio,成蟲,2013,346404,3826_11362
3826_235708,207500,2671500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_9442
3826_186733,232500,2573500,Erebidae,Hypopyra vespertilio,成蟲,2020,346404,3826_7447
3826_290310,309500,2780500,Erebidae,Hypopyra vespertilio,成蟲,2020,346404,3826_11662
3826_265768,267500,2731500,Erebidae,Hypopyra vespertilio,成蟲,2020,346404,3826_10654
3826_269273,272500,2738500,Erebidae,Hypopyra vespertilio,成蟲,2020,346404,3826_10755
3826_269257,256500,2738500,Erebidae,Hypopyra vespertilio,成蟲,2021,346404,3826_10752
3826_226737,236500,2653500,Erebidae,Hypopyra vespertilio,成蟲,2014,346404,3826_9048
3826_291329,328500,2782500,Erebidae,Hypopyra vespertilio,成蟲,2020,346404,3826_11666
3826_270749,248500,2741500,Erebidae,Hypopyra vespertilio,成蟲,2021,346404,3826_10850
3826_278806,305500,2757500,Erebidae,Hypopyra vespertilio,成蟲,2022,346404,3826_11162
3826_269273,272500,2738500,Erebidae,Hypopyra vespertilio,成蟲,2022,346404,3826_10755
