GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Erebidae,Hypospila bolinoides,成蟲,2012,346409,3826_8146
3826_219208,207500,2638500,Erebidae,Hypospila bolinoides,成蟲,2012,346409,3826_8742
3826_200231,230500,2600500,Erebidae,Hypospila bolinoides,成蟲,2012,346409,3826_8047
3826_281309,308500,2762500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_11262
3826_197218,217500,2594500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_7844
3826_188716,215500,2577500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_7544
3826_223742,241500,2647500,Erebidae,Hypospila bolinoides,成蟲,2012,346409,3826_8949
3826_206243,242500,2612500,Erebidae,Hypospila bolinoides,成蟲,2012,346409,3826_8249
3826_125723,222500,2451500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_5045
3826_230228,227500,2660500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_9246
3826_292806,305500,2785500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_11762
3826_264279,278500,2728500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_10556
3826_282307,306500,2764500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_11262
3826_213711,210500,2627500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_8543
3826_170217,216500,2540500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_6844
3826_220810,309500,2641500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_8862
3826_139724,223500,2479500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_5545
3826_227307,306500,2654500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_9062
3826_227258,257500,2654500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_9052
3826_114232,231500,2428500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_4547
3826_214739,238500,2629500,Erebidae,Hypospila bolinoides,成蟲,2010,346409,3826_8548
3826_281820,319500,2763500,Erebidae,Hypospila bolinoides,成蟲,2013,346409,3826_11264
3826_281811,310500,2763500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_11263
3826_282307,306500,2764500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_11262
3826_159766,265500,2519500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_6354
3826_283807,306500,2767500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_11362
3826_221310,309500,2642500,Erebidae,Hypospila bolinoides,成蟲,2015,346409,3826_8862
3826_221311,310500,2642500,Erebidae,Hypospila bolinoides,成蟲,2015,346409,3826_8863
3826_237248,247500,2674500,Erebidae,Hypospila bolinoides,成蟲,2015,346409,3826_9450
3826_264279,278500,2728500,Erebidae,Hypospila bolinoides,成蟲,2015,346409,3826_10556
3826_200230,229500,2600500,Erebidae,Hypospila bolinoides,成蟲,2014,346409,3826_8046
3826_292797,296500,2785500,Erebidae,Hypospila bolinoides,成蟲,2015,346409,3826_11760
