GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Limacodidae,Iraga rugosa,成蟲,2012,345644,3826_10559
3826_273788,287500,2747500,Limacodidae,Iraga rugosa,成蟲,2012,345644,3826_10958
3826_227258,257500,2654500,Limacodidae,Iraga rugosa,成蟲,2014,345644,3826_9052
3826_249744,243500,2699500,Limacodidae,Iraga rugosa,成蟲,2014,345644,3826_9949
3826_170217,216500,2540500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_6844
3826_258242,241500,2716500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_10349
3826_268819,318500,2737500,Limacodidae,Iraga rugosa,成蟲,2014,345644,3826_10764
3826_273792,291500,2747500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_10959
3826_232753,252500,2665500,Limacodidae,Iraga rugosa,成蟲,2014,345644,3826_9351
3826_131232,231500,2462500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_5247
3826_280304,303500,2760500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_11261
3826_273788,287500,2747500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_10958
3826_154218,217500,2508500,Limacodidae,Iraga rugosa,成蟲,2011,345644,3826_6144
3826_232267,266500,2664500,Limacodidae,Iraga rugosa,成蟲,2012,345644,3826_9254
3826_237801,300500,2675500,Limacodidae,Iraga rugosa,成蟲,2012,345644,3826_9561
3826_272277,276500,2744500,Limacodidae,Iraga rugosa,成蟲,2013,345644,3826_10856
3826_211732,231500,2623500,Limacodidae,Iraga rugosa,成蟲,2015,345644,3826_8447
3826_264279,278500,2728500,Limacodidae,Iraga rugosa,成蟲,2016,345644,3826_10556
3826_165724,223500,2531500,Limacodidae,Iraga rugosa,幼蟲,2016,345644,3826_6645
3826_165724,223500,2531500,Limacodidae,Iraga rugosa,成蟲,2016,345644,3826_6645
3826_242745,244500,2685500,Limacodidae,Iraga rugosa,成蟲,2016,345644,3826_9749
