GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_241275,274500,2682500,Geometridae,Jodis rantaizanensis,成蟲,2012,345000,3826_9655
3826_255762,261500,2711500,Geometridae,Jodis rantaizanensis,成蟲,2012,345000,3826_10253
3826_238794,293500,2677500,Geometridae,Jodis rantaizanensis,成蟲,2013,345000,3826_9559
3826_247282,281500,2694500,Geometridae,Jodis rantaizanensis,成蟲,2013,345000,3826_9857
3826_264779,278500,2729500,Geometridae,Jodis rantaizanensis,成蟲,2013,345000,3826_10556
3826_185749,248500,2571500,Geometridae,Jodis rantaizanensis,成蟲,2014,345000,3826_7450
3826_263798,297500,2727500,Geometridae,Jodis rantaizanensis,成蟲,2014,345000,3826_10560
3826_238290,289500,2676500,Geometridae,Jodis rantaizanensis,成蟲,2014,345000,3826_9558
3826_254805,304500,2709500,Geometridae,Jodis rantaizanensis,成蟲,2015,345000,3826_10161
3826_198240,239500,2596500,Geometridae,Jodis rantaizanensis,成蟲,2015,345000,3826_7948
3826_239300,299500,2678500,Geometridae,Jodis rantaizanensis,成蟲,2015,345000,3826_9560
3826_266771,270500,2733500,Geometridae,Jodis rantaizanensis,成蟲,2013,345000,3826_10655
3826_200229,228500,2600500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_8046
3826_242252,251500,2684500,Geometridae,Jodis rantaizanensis,成蟲,2015,345000,3826_9651
3826_209727,226500,2619500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_8346
3826_264279,278500,2728500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_10556
3826_259781,280500,2719500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_10357
3826_247282,281500,2694500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_9857
3826_263798,297500,2727500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_10560
3826_241248,247500,2682500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_9650
3826_198733,232500,2597500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_7947
3826_185749,248500,2571500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_7450
3826_237288,287500,2674500,Geometridae,Jodis rantaizanensis,成蟲,2013,345000,3826_9458
3826_197241,240500,2594500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_7849
3826_244781,280500,2689500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_9757
3826_237303,302500,2674500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_9461
3826_232268,267500,2664500,Geometridae,Jodis rantaizanensis,幼蟲,2016,345000,3826_9254
3826_237303,302500,2674500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_9461
3826_220810,309500,2641500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_8862
3826_207230,229500,2614500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_8246
3826_232268,267500,2664500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_9254
3826_263798,297500,2727500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_10560
3826_199233,232500,2598500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_7947
3826_185749,248500,2571500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_7450
3826_198240,239500,2596500,Geometridae,Jodis rantaizanensis,幼蟲,2017,345000,3826_7948
3826_205721,220500,2611500,Geometridae,Jodis rantaizanensis,成蟲,2017,345000,3826_8245
3826_248781,280500,2697500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9957
3826_255812,311500,2711500,Geometridae,Jodis rantaizanensis,成蟲,2010,345000,3826_10263
3826_255262,261500,2710500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_10253
3826_242745,244500,2685500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9749
3826_185749,248500,2571500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_7450
3826_237791,290500,2675500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9559
3826_233271,270500,2666500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9355
3826_240249,248500,2680500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9650
3826_241751,250500,2683500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9651
3826_264279,278500,2728500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_10556
3826_273796,295500,2747500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_10960
3826_257253,252500,2714500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_10251
3826_249782,281500,2699500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9957
3826_247282,281500,2694500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9857
3826_224769,268500,2649500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_8954
3826_255743,242500,2711500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_10249
3826_276802,301500,2753500,Geometridae,Jodis rantaizanensis,成蟲,2016,345000,3826_11061
3826_257262,261500,2714500,Geometridae,Jodis rantaizanensis,成蟲,2019,345000,3826_10253
3826_238794,293500,2677500,Geometridae,Jodis rantaizanensis,成蟲,2018,345000,3826_9559
3826_253828,327500,2707500,Geometridae,Jodis rantaizanensis,成蟲,2019,345000,3826_10166
3826_238794,293500,2677500,Geometridae,Jodis rantaizanensis,成蟲,2019,345000,3826_9559
