GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Erebidae,Katha arizana,成蟲,2012,444098,3826_7440
3826_198726,225500,2597500,Erebidae,Katha arizana,成蟲,2012,444098,3826_7946
3826_292801,300500,2785500,Erebidae,Katha arizana,成蟲,2012,444098,3826_11761
3826_273788,287500,2747500,Erebidae,Katha arizana,成蟲,2012,444098,3826_10958
3826_293805,304500,2787500,Erebidae,Katha arizana,幼蟲,2013,444098,3826_11761
3826_273788,287500,2747500,Erebidae,Katha arizana,成蟲,2013,444098,3826_10958
3826_282806,305500,2765500,Erebidae,Katha arizana,成蟲,2013,444098,3826_11362
3826_280325,324500,2760500,Erebidae,Katha arizana,成蟲,2012,444098,3826_11265
3826_273826,325500,2747500,Erebidae,Katha arizana,成蟲,2013,444098,3826_10966
3826_275267,266500,2750500,Erebidae,Katha arizana,成蟲,2014,444098,3826_11054
3826_241248,247500,2682500,Erebidae,Katha arizana,成蟲,2012,444098,3826_9650
3826_154218,217500,2508500,Erebidae,Katha arizana,成蟲,2014,444098,3826_6144
3826_272273,272500,2744500,Erebidae,Katha arizana,成蟲,2014,444098,3826_10855
3826_293308,307500,2786500,Erebidae,Katha arizana,成蟲,2015,444098,3826_11762
3826_290310,309500,2780500,Erebidae,Katha arizana,成蟲,2015,444098,3826_11662
3826_252226,225500,2704500,Erebidae,Katha arizana,成蟲,2013,444098,3826_10046
3826_226252,251500,2652500,Erebidae,Katha arizana,成蟲,2016,444098,3826_9051
3826_290310,309500,2780500,Erebidae,Katha arizana,成蟲,2016,444098,3826_11662
3826_290805,304500,2781500,Erebidae,Katha arizana,成蟲,2013,444098,3826_11661
3826_263798,297500,2727500,Erebidae,Katha arizana,成蟲,2016,444098,3826_10560
3826_276297,296500,2752500,Erebidae,Katha arizana,成蟲,2016,444098,3826_11060
3826_259282,281500,2718500,Erebidae,Katha arizana,成蟲,2016,444098,3826_10357
3826_238752,251500,2677500,Erebidae,Katha arizana,幼蟲,2016,444098,3826_9551
3826_293303,302500,2786500,Erebidae,Katha arizana,成蟲,2016,444098,3826_11761
3826_131232,231500,2462500,Erebidae,Katha arizana,成蟲,2014,444098,3826_5247
3826_228809,308500,2657500,Erebidae,Katha arizana,幼蟲,2015,444098,3826_9162
3826_240741,240500,2681500,Erebidae,Katha arizana,成蟲,2016,444098,3826_9649
3826_292805,304500,2785500,Erebidae,Katha arizana,成蟲,2013,444098,3826_11761
3826_200229,228500,2600500,Erebidae,Katha arizana,成蟲,2016,444098,3826_8046
3826_293807,306500,2787500,Erebidae,Katha arizana,成蟲,2014,444098,3826_11762
