GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_288310,309500,2776500,Geometridae,Krananda oliveomarginata,成蟲,2011,345003,3826_11562
3826_290310,309500,2780500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11662
3826_286823,322500,2773500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11465
3826_283326,325500,2766500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11366
3826_284308,307500,2768500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11362
3826_297809,308500,2795500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11962
3826_292305,304500,2784500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11661
3826_291302,301500,2782500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11661
3826_204726,225500,2609500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_8146
3826_284809,308500,2769500,Geometridae,Krananda oliveomarginata,成蟲,2011,345003,3826_11362
3826_290799,298500,2781500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11660
3826_276808,307500,2753500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11062
3826_286791,290500,2773500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11459
3826_273304,303500,2746500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_10961
3826_273788,287500,2747500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_10958
3826_219243,242500,2638500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_8749
3826_283807,306500,2767500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11362
3826_262327,326500,2724500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_10466
3826_291300,299500,2782500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11660
3826_284810,309500,2769500,Geometridae,Krananda oliveomarginata,成蟲,2011,345003,3826_11362
3826_274781,280500,2749500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10957
3826_281309,308500,2762500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11262
3826_273788,287500,2747500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10958
3826_281301,300500,2762500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11261
3826_280316,315500,2760500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11264
3826_278306,305500,2756500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11162
3826_273304,303500,2746500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10961
3826_175222,221500,2550500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_7045
3826_267778,277500,2735500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10756
3826_272776,275500,2745500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_10956
3826_273826,325500,2747500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10966
3826_275267,266500,2750500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11054
3826_282792,291500,2765500,Geometridae,Krananda oliveomarginata,成蟲,2012,345003,3826_11359
3826_281810,309500,2763500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11262
3826_255762,261500,2711500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10253
3826_284810,309500,2769500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11362
3826_285818,317500,2771500,Geometridae,Krananda oliveomarginata,成蟲,2016,345003,3826_11464
3826_274307,306500,2748500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10962
3826_264779,278500,2729500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10556
3826_269811,310500,2739500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_10763
3826_288807,306500,2777500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11562
3826_209719,218500,2619500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_8344
3826_282307,306500,2764500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11262
3826_289826,325500,2779500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11566
3826_288309,308500,2776500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11562
3826_275306,305500,2750500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11062
3826_282300,299500,2764500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11260
3826_291300,299500,2782500,Geometridae,Krananda oliveomarginata,成蟲,2010,345003,3826_11660
3826_273304,303500,2746500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_10961
3826_273279,278500,2746500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_10956
3826_175222,221500,2550500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_7045
3826_272776,275500,2745500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_10956
3826_263798,297500,2727500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_10560
3826_289823,322500,2779500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11565
3826_290799,298500,2781500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11660
3826_281309,308500,2762500,Geometridae,Krananda oliveomarginata,成蟲,2014,345003,3826_11262
3826_283306,305500,2766500,Geometridae,Krananda oliveomarginata,成蟲,2013,345003,3826_11362
