GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269312,311500,2738500,Geometridae,Krananda semihyalina,成蟲,2011,345004,3826_10763
3826_166722,221500,2533500,Geometridae,Krananda semihyalina,成蟲,2011,345004,3826_6645
3826_263798,297500,2727500,Geometridae,Krananda semihyalina,成蟲,2011,345004,3826_10560
3826_219741,240500,2639500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_8749
3826_265782,281500,2731500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_10657
3826_263798,297500,2727500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_10560
3826_198726,225500,2597500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_7946
3826_263294,293500,2726500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_10559
3826_237801,300500,2675500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_9561
3826_204739,238500,2609500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_8148
3826_229767,266500,2659500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_9154
3826_278825,324500,2757500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_11165
3826_280316,315500,2760500,Geometridae,Krananda semihyalina,成蟲,2012,345004,3826_11264
3826_232268,267500,2664500,Geometridae,Krananda semihyalina,成蟲,2011,345004,3826_9254
3826_281309,308500,2762500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_11262
3826_239740,239500,2679500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_9548
3826_286828,327500,2773500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_11466
3826_226305,304500,2652500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_9061
3826_266771,270500,2733500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_10655
3826_282820,319500,2765500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_11364
3826_238794,293500,2677500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_9559
3826_150219,218500,2500500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_6044
3826_264779,278500,2729500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_10556
3826_227250,249500,2654500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9050
3826_239253,252500,2678500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9551
3826_207230,229500,2614500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_8246
3826_224769,268500,2649500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_8954
3826_281301,300500,2762500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_11261
3826_258745,244500,2717500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10349
3826_259784,283500,2719500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_10357
3826_175725,224500,2551500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_7045
3826_210235,234500,2620500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_8447
3826_214744,243500,2629500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_8549
3826_200731,230500,2601500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_8047
3826_269315,314500,2738500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10763
3826_175725,224500,2551500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_7045
3826_139724,223500,2479500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_5545
3826_263260,259500,2726500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10552
3826_227307,306500,2654500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9062
3826_263798,297500,2727500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10560
3826_227258,257500,2654500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9052
3826_229767,266500,2659500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9154
3826_255762,261500,2711500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10253
3826_257742,241500,2715500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10349
3826_287813,312500,2775500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_11563
3826_209219,218500,2618500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_8344
3826_232268,267500,2664500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9254
3826_229766,265500,2659500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9154
3826_264279,278500,2728500,Geometridae,Krananda semihyalina,成蟲,2013,345004,3826_10556
3826_237785,284500,2675500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9557
3826_241751,250500,2683500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_9651
3826_255812,311500,2711500,Geometridae,Krananda semihyalina,成蟲,2014,345004,3826_10263
