GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_140224,223500,2480500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2011,345542,3826_5645
3826_289309,308500,2778500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2012,345542,3826_11562
3826_293303,302500,2786500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2012,345542,3826_11761
3826_297809,308500,2795500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2012,345542,3826_11962
3826_294302,301500,2788500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2012,345542,3826_11761
3826_292307,306500,2784500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2012,345542,3826_11662
3826_273272,271500,2746500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2012,345542,3826_10955
3826_293303,302500,2786500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_11761
3826_292307,306500,2784500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_11662
3826_290794,293500,2781500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_11659
3826_297809,308500,2795500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_11962
3826_258760,259500,2717500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_10352
3826_292307,306500,2784500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2013,345542,3826_11662
3826_267778,277500,2735500,Lasiocampidae,Kunugia undans metanastroides,幼蟲,2013,345542,3826_10756
3826_273274,273500,2746500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_10955
3826_255762,261500,2711500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_10253
3826_272776,275500,2745500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_10956
3826_273775,274500,2747500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_10955
3826_206243,242500,2612500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_8249
3826_229767,266500,2659500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_9154
3826_199218,217500,2598500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_7944
3826_204739,238500,2609500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_8148
3826_269811,310500,2739500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2011,345542,3826_10763
3826_264279,278500,2728500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2013,345542,3826_10556
3826_217745,244500,2635500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2014,345542,3826_8749
3826_292308,307500,2784500,Lasiocampidae,Kunugia undans metanastroides,成蟲,2012,345542,3826_11662
