GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2011,345543,3826_10559
3826_293307,306500,2786500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_11762
3826_238752,251500,2677500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_9551
3826_265789,288500,2731500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_10658
3826_291804,303500,2783500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_11661
3826_242745,244500,2685500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_9749
3826_273304,303500,2746500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_10961
3826_140224,223500,2480500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_5645
3826_186212,211500,2572500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_7443
3826_283807,306500,2767500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11362
3826_291302,301500,2782500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11661
3826_290294,293500,2780500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_11659
3826_273796,295500,2747500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_10960
3826_274762,261500,2749500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_10953
3826_273788,287500,2747500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_10958
3826_289830,329500,2779500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11566
3826_282784,283500,2765500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11357
3826_270802,301500,2741500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_10861
3826_282309,308500,2764500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11262
3826_204739,238500,2609500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_8148
3826_229766,265500,2659500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_9154
3826_209230,229500,2618500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_8346
3826_272277,276500,2744500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_10856
3826_277769,268500,2755500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_11154
3826_278338,337500,2756500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11168
3826_264792,291500,2729500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_10559
3826_238232,231500,2676500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_9547
3826_219243,242500,2638500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_8749
3826_290306,305500,2780500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11662
3826_187200,199500,2574500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2010,345543,3826_7440
3826_237248,247500,2674500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_9450
3826_288310,309500,2776500,Lasiocampidae,Lebeda nobilis nobilis,卵,2012,345543,3826_11562
3826_140225,224500,2480500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_5645
3826_283807,306500,2767500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_11362
3826_282792,291500,2765500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_11359
3826_277769,268500,2755500,Lasiocampidae,Lebeda nobilis nobilis,卵,2012,345543,3826_11154
3826_238251,250500,2676500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_9551
3826_265289,288500,2730500,Lasiocampidae,Lebeda nobilis nobilis,卵,2012,345543,3826_10658
3826_291799,298500,2783500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2012,345543,3826_11660
3826_140224,223500,2480500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_5645
3826_284810,309500,2769500,Lasiocampidae,Lebeda nobilis nobilis,卵,2011,345543,3826_11362
3826_275266,265500,2750500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11054
3826_156715,214500,2513500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_6243
3826_269280,279500,2738500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2013,345543,3826_10756
3826_281813,312500,2763500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11263
3826_283292,291500,2766500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_11359
3826_273788,287500,2747500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2012,345543,3826_10958
3826_274305,304500,2748500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_10961
3826_273792,291500,2747500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2010,345543,3826_10959
3826_266265,264500,2732500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_10653
3826_282809,308500,2765500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11362
3826_281811,310500,2763500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2011,345543,3826_11263
3826_273788,287500,2747500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_10958
3826_280806,305500,2761500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11262
3826_280809,308500,2761500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11262
3826_280304,303500,2760500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11261
3826_269811,310500,2739500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_10763
3826_280304,303500,2760500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2014,345543,3826_11261
3826_286828,327500,2773500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2014,345543,3826_11466
3826_209719,218500,2619500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2014,345543,3826_8344
3826_151747,246500,2503500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_6050
3826_283807,306500,2767500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11362
3826_282309,308500,2764500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11262
3826_291291,290500,2782500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2013,345543,3826_11659
3826_291300,299500,2782500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11660
3826_218230,229500,2636500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_8746
3826_187200,199500,2574500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_7440
3826_294317,316500,2788500,Lasiocampidae,Lebeda nobilis nobilis,幼蟲,2013,345543,3826_11764
3826_270273,272500,2740500,Lasiocampidae,Lebeda nobilis nobilis,成蟲,2013,345543,3826_10855
3826_264265,264500,2728500,Lasiocampidae,Lebeda nobilis nobilis,卵,2013,345543,3826_10553
