GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_254805,304500,2709500,Drepanidae,Leucoblepsis fenestraria,成蟲,2012,344434,3826_10161
3826_273788,287500,2747500,Drepanidae,Leucoblepsis fenestraria,成蟲,2012,344434,3826_10958
3826_292805,304500,2785500,Drepanidae,Leucoblepsis fenestraria,成蟲,2013,344434,3826_11761
3826_226305,304500,2652500,Drepanidae,Leucoblepsis fenestraria,成蟲,2013,344434,3826_9061
3826_285818,317500,2771500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11464
3826_263798,297500,2727500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_10560
3826_255762,261500,2711500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_10253
3826_281820,319500,2763500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_11264
3826_273792,291500,2747500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_10959
3826_264279,278500,2728500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_10556
3826_261315,314500,2722500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_10463
3826_274307,306500,2748500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_10962
3826_281309,308500,2762500,Drepanidae,Leucoblepsis fenestraria,成蟲,2015,344434,3826_11262
3826_281810,309500,2763500,Drepanidae,Leucoblepsis fenestraria,成蟲,2015,344434,3826_11262
3826_273792,291500,2747500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_10959
3826_277306,305500,2754500,Drepanidae,Leucoblepsis fenestraria,成蟲,2015,344434,3826_11062
3826_282317,316500,2764500,Drepanidae,Leucoblepsis fenestraria,成蟲,2012,344434,3826_11264
3826_281810,309500,2763500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11262
3826_290805,304500,2781500,Drepanidae,Leucoblepsis fenestraria,成蟲,2013,344434,3826_11661
3826_225806,305500,2651500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_9062
3826_282836,335500,2765500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11368
3826_281312,311500,2762500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11263
3826_281310,309500,2762500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11262
3826_275786,285500,2751500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11058
3826_281812,311500,2763500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11263
3826_293303,302500,2786500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_11761
3826_270278,277500,2740500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_10856
3826_241240,239500,2682500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_9648
3826_266265,264500,2732500,Drepanidae,Leucoblepsis fenestraria,成蟲,2016,344434,3826_10653
3826_224769,268500,2649500,Drepanidae,Leucoblepsis fenestraria,成蟲,2014,344434,3826_8954
3826_281812,311500,2763500,Drepanidae,Leucoblepsis fenestraria,成蟲,2017,344434,3826_11263
3826_290310,309500,2780500,Drepanidae,Leucoblepsis fenestraria,成蟲,2017,344434,3826_11662
3826_273798,297500,2747500,Drepanidae,Leucoblepsis fenestraria,成蟲,2017,344434,3826_10960
3826_273792,291500,2747500,Drepanidae,Leucoblepsis fenestraria,成蟲,2017,344434,3826_10959
3826_224769,268500,2649500,Drepanidae,Leucoblepsis fenestraria,成蟲,2017,344434,3826_8954
3826_253833,332500,2707500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_10167
3826_207230,229500,2614500,Drepanidae,Leucoblepsis fenestraria,成蟲,2017,344434,3826_8246
3826_281812,311500,2763500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_11263
3826_263792,291500,2727500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_10559
3826_203289,288500,2606500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_8158
3826_263798,297500,2727500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_10560
3826_208729,228500,2617500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_8346
3826_262759,258500,2725500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_10552
3826_264779,278500,2729500,Drepanidae,Leucoblepsis fenestraria,成蟲,2018,344434,3826_10556
3826_280319,318500,2760500,Drepanidae,Leucoblepsis fenestraria,成蟲,2019,344434,3826_11264
3826_273796,295500,2747500,Drepanidae,Leucoblepsis fenestraria,成蟲,2019,344434,3826_10960
3826_280320,319500,2760500,Drepanidae,Leucoblepsis fenestraria,成蟲,2019,344434,3826_11264
3826_293308,307500,2786500,Drepanidae,Leucoblepsis fenestraria,成蟲,2019,344434,3826_11762
3826_291805,304500,2783500,Drepanidae,Leucoblepsis fenestraria,成蟲,2012,344434,3826_11661
3826_292804,303500,2785500,Drepanidae,Leucoblepsis fenestraria,成蟲,2019,344434,3826_11761
