GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291802,301500,2783500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11661
3826_266769,268500,2733500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_10654
3826_291804,303500,2783500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11661
3826_293302,301500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11761
3826_263798,297500,2727500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_10560
3826_283326,325500,2766500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11366
3826_276808,307500,2753500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11062
3826_291300,299500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11660
3826_281312,311500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11263
3826_290294,293500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11659
3826_272781,280500,2745500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_10957
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11761
3826_273788,287500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_10958
3826_222739,238500,2645500,Drepanidae,Leucodrepana serratilinea,成蟲,2020,417260,3826_8948
3826_273788,287500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_10958
3826_280815,314500,2761500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11263
3826_278302,301500,2756500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11161
3826_267778,277500,2735500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_10756
3826_292303,302500,2784500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11661
3826_289309,308500,2778500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11562
3826_232753,252500,2665500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_9351
3826_276297,296500,2752500,Drepanidae,Leucodrepana serratilinea,成蟲,2010,417260,3826_11060
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11761
3826_280316,315500,2760500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11264
3826_175222,221500,2550500,Drepanidae,Leucodrepana serratilinea,幼蟲,2013,417260,3826_7045
3826_152714,213500,2505500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_6143
3826_274330,329500,2748500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_10966
3826_283318,317500,2766500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11364
3826_278825,324500,2757500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11165
3826_225744,243500,2651500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_9049
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11761
3826_139724,223500,2479500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_5545
3826_285818,317500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11464
3826_227258,257500,2654500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_9052
3826_228263,262500,2656500,Drepanidae,Leucodrepana serratilinea,幼蟲,2014,417260,3826_9153
3826_284325,324500,2768500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11365
3826_273260,259500,2746500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_10952
3826_291304,303500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11661
3826_292801,300500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11761
3826_281313,312500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11263
3826_284810,309500,2769500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11362
3826_292803,302500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11761
3826_281312,311500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11263
3826_292812,311500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11763
3826_262305,304500,2724500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_10461
3826_165714,213500,2531500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_6643
3826_282313,312500,2764500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11263
3826_155214,213500,2510500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_6243
3826_292806,305500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11762
3826_241751,250500,2683500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_9651
3826_279306,305500,2758500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11162
3826_291300,299500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11660
3826_225806,305500,2651500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_9062
3826_264279,278500,2728500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_10556
3826_254805,304500,2709500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_10161
3826_283284,283500,2766500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11357
3826_291806,305500,2783500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_11662
3826_280315,314500,2760500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11263
3826_222739,238500,2645500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_8948
3826_287813,312500,2775500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11563
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_11761
3826_293308,307500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_11762
3826_238230,229500,2676500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_9546
3826_281820,319500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_11264
3826_285793,292500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_11459
3826_227258,257500,2654500,Drepanidae,Leucodrepana serratilinea,幼蟲,2014,417260,3826_9052
3826_252226,225500,2704500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_10046
3826_291801,300500,2783500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11661
3826_152714,213500,2505500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_6143
3826_155216,215500,2510500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_6244
3826_289826,325500,2779500,Drepanidae,Leucodrepana serratilinea,成蟲,2015,417260,3826_11566
3826_189202,201500,2578500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_7541
3826_278825,324500,2757500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11165
3826_266771,270500,2733500,Drepanidae,Leucodrepana serratilinea,成蟲,2013,417260,3826_10655
3826_282311,310500,2764500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11263
3826_282317,316500,2764500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11264
3826_264279,278500,2728500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_10556
3826_293308,307500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11762
3826_284325,324500,2768500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11365
3826_276297,296500,2752500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_11060
3826_281810,309500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11262
3826_290310,309500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11662
3826_284324,323500,2768500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11365
3826_229248,247500,2658500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_9150
3826_281310,309500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11262
3826_285818,317500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11464
3826_294316,315500,2788500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11764
3826_281815,314500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11263
3826_290315,314500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11663
3826_281309,308500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11262
3826_238300,299500,2676500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_9560
3826_285830,329500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11466
3826_269278,277500,2738500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_10756
3826_224749,248500,2649500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_8950
3826_285313,312500,2770500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11463
3826_290320,319500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11664
3826_281812,311500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11263
3826_293302,301500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11761
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11761
3826_292805,304500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11761
3826_293805,304500,2787500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11761
3826_269811,310500,2739500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_10763
3826_281813,312500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11263
3826_259754,253500,2719500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_10351
3826_291302,301500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11661
3826_227759,258500,2655500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_9152
3826_241240,239500,2682500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_9648
3826_241248,247500,2682500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_9650
3826_263798,297500,2727500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_10560
3826_292308,307500,2784500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_11662
3826_269278,277500,2738500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_10756
3826_281812,311500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11263
3826_224749,248500,2649500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_8950
3826_280787,286500,2761500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11258
3826_263324,323500,2726500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10565
3826_290310,309500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11662
3826_199222,221500,2598500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_7945
3826_287327,326500,2774500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11466
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11761
3826_293308,307500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11762
3826_272793,292500,2745500,Drepanidae,Leucodrepana serratilinea,成蟲,2016,417260,3826_10959
3826_291300,299500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11660
3826_275806,305500,2751500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11062
3826_281810,309500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11262
3826_288306,305500,2776500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11562
3826_284311,310500,2768500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11363
3826_269326,325500,2738500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10766
3826_288304,303500,2776500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11561
3826_232753,252500,2665500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_9351
3826_293805,304500,2787500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11761
3826_276297,296500,2752500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11060
3826_292801,300500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11761
3826_237230,229500,2674500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_9446
3826_292307,306500,2784500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11662
3826_273792,291500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10959
3826_281309,308500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2014,417260,3826_11262
3826_265778,277500,2731500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10656
3826_269811,310500,2739500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10763
3826_264279,278500,2728500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10556
3826_277327,326500,2754500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11066
3826_236243,242500,2672500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_9449
3826_290315,314500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11663
3826_273786,285500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10958
3826_224749,248500,2649500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_8950
3826_240742,241500,2681500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_9649
3826_237230,229500,2674500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_9446
3826_286321,320500,2772500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11465
3826_287327,326500,2774500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11466
3826_232753,252500,2665500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_9351
3826_269276,275500,2738500,Drepanidae,Leucodrepana serratilinea,幼蟲,2017,417260,3826_10756
3826_286333,332500,2772500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11467
3826_294311,310500,2788500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11763
3826_263792,291500,2727500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10559
3826_286823,322500,2773500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11465
3826_285830,329500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11466
3826_270278,277500,2740500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10856
3826_268778,277500,2737500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10756
3826_273781,280500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10957
3826_281812,311500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11263
3826_280319,318500,2760500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11264
3826_237230,229500,2674500,Drepanidae,Leucodrepana serratilinea,幼蟲,2018,417260,3826_9446
3826_291304,303500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11661
3826_287811,310500,2775500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11563
3826_219741,240500,2639500,Drepanidae,Leucodrepana serratilinea,幼蟲,2018,417260,3826_8749
3826_292308,307500,2784500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11662
3826_159220,219500,2518500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_6344
3826_292805,304500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11761
3826_287325,324500,2774500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11465
3826_293303,302500,2786500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11761
3826_290315,314500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11663
3826_236747,246500,2673500,Drepanidae,Leucodrepana serratilinea,幼蟲,2018,417260,3826_9450
3826_284826,325500,2769500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11366
3826_292803,302500,2785500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11761
3826_152714,213500,2505500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_6143
3826_263260,259500,2726500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10552
3826_262305,304500,2724500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10461
3826_273798,297500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_10960
3826_238230,229500,2676500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_9546
3826_285323,322500,2770500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_11465
3826_227760,259500,2655500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_9152
3826_154218,217500,2508500,Drepanidae,Leucodrepana serratilinea,成蟲,2018,417260,3826_6144
3826_285830,329500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_11466
3826_165214,213500,2530500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_6643
3826_289815,314500,2779500,Drepanidae,Leucodrepana serratilinea,幼蟲,2018,417260,3826_11563
3826_277307,306500,2754500,Drepanidae,Leucodrepana serratilinea,成蟲,2010,417260,3826_11062
3826_280319,318500,2760500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11264
3826_290310,309500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2010,417260,3826_11662
3826_285793,292500,2771500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11459
3826_252226,225500,2704500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_10046
3826_281309,308500,2762500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11262
3826_238230,229500,2676500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_9546
3826_292307,306500,2784500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11662
3826_291303,302500,2782500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11661
3826_290315,314500,2780500,Drepanidae,Leucodrepana serratilinea,成蟲,2011,417260,3826_11663
3826_256248,247500,2712500,Drepanidae,Leucodrepana serratilinea,成蟲,2017,417260,3826_10250
3826_289804,303500,2779500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11561
3826_281810,309500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11262
3826_165724,223500,2531500,Drepanidae,Leucodrepana serratilinea,幼蟲,2019,417260,3826_6645
3826_273260,259500,2746500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_10952
3826_165724,223500,2531500,Drepanidae,Leucodrepana serratilinea,成蟲,2012,417260,3826_6645
3826_284809,308500,2769500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11362
3826_273760,259500,2747500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_10952
3826_281807,306500,2763500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11262
3826_283832,331500,2767500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11367
3826_282317,316500,2764500,Drepanidae,Leucodrepana serratilinea,成蟲,2019,417260,3826_11264
