GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Geometridae,Lipomelia subusta,成蟲,2011,345011,3826_10961
3826_219244,243500,2638500,Geometridae,Lipomelia subusta,成蟲,2012,345011,3826_8749
3826_204726,225500,2609500,Geometridae,Lipomelia subusta,成蟲,2012,345011,3826_8146
3826_273788,287500,2747500,Geometridae,Lipomelia subusta,成蟲,2012,345011,3826_10958
3826_188716,215500,2577500,Geometridae,Lipomelia subusta,成蟲,2013,345011,3826_7544
3826_273788,287500,2747500,Geometridae,Lipomelia subusta,成蟲,2013,345011,3826_10958
3826_270801,300500,2741500,Geometridae,Lipomelia subusta,成蟲,2011,345011,3826_10861
3826_269811,310500,2739500,Geometridae,Lipomelia subusta,成蟲,2013,345011,3826_10763
3826_273279,278500,2746500,Geometridae,Lipomelia subusta,成蟲,2014,345011,3826_10956
3826_225806,305500,2651500,Geometridae,Lipomelia subusta,成蟲,2014,345011,3826_9062
3826_264279,278500,2728500,Geometridae,Lipomelia subusta,成蟲,2014,345011,3826_10556
3826_274805,304500,2749500,Geometridae,Lipomelia subusta,成蟲,2013,345011,3826_10961
3826_237248,247500,2674500,Geometridae,Lipomelia subusta,成蟲,2015,345011,3826_9450
3826_253242,241500,2706500,Geometridae,Lipomelia subusta,成蟲,2014,345011,3826_10149
3826_264779,278500,2729500,Geometridae,Lipomelia subusta,成蟲,2015,345011,3826_10556
3826_276808,307500,2753500,Geometridae,Lipomelia subusta,成蟲,2012,345011,3826_11062
3826_273279,278500,2746500,Geometridae,Lipomelia subusta,成蟲,2013,345011,3826_10956
3826_225806,305500,2651500,Geometridae,Lipomelia subusta,成蟲,2016,345011,3826_9062
3826_229248,247500,2658500,Geometridae,Lipomelia subusta,成蟲,2016,345011,3826_9150
3826_158223,222500,2516500,Geometridae,Lipomelia subusta,成蟲,2016,345011,3826_6345
3826_243237,236500,2686500,Geometridae,Lipomelia subusta,成蟲,2014,345011,3826_9748
3826_263260,259500,2726500,Geometridae,Lipomelia subusta,成蟲,2016,345011,3826_10552
3826_224749,248500,2649500,Geometridae,Lipomelia subusta,成蟲,2017,345011,3826_8950
3826_224769,268500,2649500,Geometridae,Lipomelia subusta,成蟲,2017,345011,3826_8954
3826_260767,266500,2721500,Geometridae,Lipomelia subusta,成蟲,2017,345011,3826_10454
3826_190782,281500,2581500,Geometridae,Lipomelia subusta,成蟲,2016,345011,3826_7657
3826_224749,248500,2649500,Geometridae,Lipomelia subusta,成蟲,2018,345011,3826_8950
3826_154218,217500,2508500,Geometridae,Lipomelia subusta,成蟲,2018,345011,3826_6144
3826_226306,305500,2652500,Geometridae,Lipomelia subusta,成蟲,2018,345011,3826_9062
3826_269274,273500,2738500,Geometridae,Lipomelia subusta,成蟲,2018,345011,3826_10755
3826_257253,252500,2714500,Geometridae,Lipomelia subusta,成蟲,2018,345011,3826_10251
3826_255743,242500,2711500,Geometridae,Lipomelia subusta,成蟲,2018,345011,3826_10249
3826_237245,244500,2674500,Geometridae,Lipomelia subusta,成蟲,2019,345011,3826_9449
3826_255743,242500,2711500,Geometridae,Lipomelia subusta,成蟲,2019,345011,3826_10249
3826_273786,285500,2747500,Geometridae,Lipomelia subusta,成蟲,2019,345011,3826_10958
3826_157723,222500,2515500,Geometridae,Lipomelia subusta,成蟲,2019,345011,3826_6345
3826_257745,244500,2715500,Geometridae,Lipomelia subusta,成蟲,2019,345011,3826_10349
3826_276802,301500,2753500,Geometridae,Lipomelia subusta,成蟲,2019,345011,3826_11061
3826_226306,305500,2652500,Geometridae,Lipomelia subusta,成蟲,2020,345011,3826_9062
3826_273786,285500,2747500,Geometridae,Lipomelia subusta,成蟲,2020,345011,3826_10958
3826_257745,244500,2715500,Geometridae,Lipomelia subusta,成蟲,2020,345011,3826_10349
3826_269273,272500,2738500,Geometridae,Lipomelia subusta,成蟲,2020,345011,3826_10755
3826_273788,287500,2747500,Geometridae,Lipomelia subusta,成蟲,2020,345011,3826_10958
3826_272803,302500,2745500,Geometridae,Lipomelia subusta,成蟲,2021,345011,3826_10961
3826_273788,287500,2747500,Geometridae,Lipomelia subusta,成蟲,2021,345011,3826_10958
3826_265290,289500,2730500,Geometridae,Lipomelia subusta,成蟲,2021,345011,3826_10658
3826_147746,245500,2495500,Geometridae,Lipomelia subusta,成蟲,2021,345011,3826_5950
3826_263265,264500,2726500,Geometridae,Lipomelia subusta,成蟲,2021,345011,3826_10553
3826_263260,259500,2726500,Geometridae,Lipomelia subusta,成蟲,2021,345011,3826_10552
3826_269273,272500,2738500,Geometridae,Lipomelia subusta,成蟲,2022,345011,3826_10755
3826_153718,217500,2507500,Geometridae,Lipomelia subusta,成蟲,2022,345011,3826_6144
3826_257242,241500,2714500,Geometridae,Lipomelia subusta,成蟲,2022,345011,3826_10249
3826_273792,291500,2747500,Geometridae,Lipomelia subusta,成蟲,2022,345011,3826_10959
3826_147746,245500,2495500,Geometridae,Lipomelia subusta,成蟲,2022,345011,3826_5950
3826_254237,236500,2708500,Geometridae,Lipomelia subusta,成蟲,2022,345011,3826_10148
