GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_175725,224500,2551500,Geometridae,Lobogonia aculeata,成蟲,2010,345013,3826_7045
3826_263253,252500,2726500,Geometridae,Lobogonia aculeata,成蟲,2013,345013,3826_10551
3826_153219,218500,2506500,Geometridae,Lobogonia aculeata,成蟲,2013,345013,3826_6144
3826_140225,224500,2480500,Geometridae,Lobogonia aculeata,成蟲,2013,345013,3826_5645
3826_269280,279500,2738500,Geometridae,Lobogonia aculeata,成蟲,2016,345013,3826_10756
3826_293303,302500,2786500,Geometridae,Lobogonia aculeata,成蟲,2015,345013,3826_11761
3826_263798,297500,2727500,Geometridae,Lobogonia aculeata,成蟲,2014,345013,3826_10560
3826_273796,295500,2747500,Geometridae,Lobogonia aculeata,成蟲,2014,345013,3826_10960
3826_274305,304500,2748500,Geometridae,Lobogonia aculeata,成蟲,2014,345013,3826_10961
3826_276805,304500,2753500,Geometridae,Lobogonia aculeata,成蟲,2014,345013,3826_11061
3826_263798,297500,2727500,Geometridae,Lobogonia aculeata,成蟲,2015,345013,3826_10560
3826_273788,287500,2747500,Geometridae,Lobogonia aculeata,成蟲,2012,345013,3826_10958
3826_211732,231500,2623500,Geometridae,Lobogonia aculeata,成蟲,2015,345013,3826_8447
3826_209230,229500,2618500,Geometridae,Lobogonia aculeata,成蟲,2016,345013,3826_8346
3826_207230,229500,2614500,Geometridae,Lobogonia aculeata,成蟲,2016,345013,3826_8246
3826_243779,278500,2687500,Geometridae,Lobogonia aculeata,成蟲,2016,345013,3826_9756
3826_264779,278500,2729500,Geometridae,Lobogonia aculeata,成蟲,2016,345013,3826_10556
3826_269811,310500,2739500,Geometridae,Lobogonia aculeata,成蟲,2015,345013,3826_10763
3826_271276,275500,2742500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_10856
3826_209230,229500,2618500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_8346
3826_273792,291500,2747500,Geometridae,Lobogonia aculeata,成蟲,2016,345013,3826_10959
3826_269811,310500,2739500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_10763
3826_293303,302500,2786500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_11761
3826_281812,311500,2763500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_11263
3826_272792,291500,2745500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_10959
3826_207230,229500,2614500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_8246
3826_157226,225500,2514500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_6246
3826_198220,219500,2596500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_7944
3826_263275,274500,2726500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_10555
3826_277327,326500,2754500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_11066
3826_263260,259500,2726500,Geometridae,Lobogonia aculeata,成蟲,2017,345013,3826_10552
3826_238794,293500,2677500,Geometridae,Lobogonia aculeata,成蟲,2018,345013,3826_9559
3826_273796,295500,2747500,Geometridae,Lobogonia aculeata,成蟲,2018,345013,3826_10960
3826_277327,326500,2754500,Geometridae,Lobogonia aculeata,成蟲,2018,345013,3826_11066
3826_182206,205500,2564500,Geometridae,Lobogonia aculeata,成蟲,2014,345013,3826_7242
3826_238293,292500,2676500,Geometridae,Lobogonia aculeata,成蟲,2019,345013,3826_9559
3826_284825,324500,2769500,Geometridae,Lobogonia aculeata,成蟲,2019,345013,3826_11365
3826_254805,304500,2709500,Geometridae,Lobogonia aculeata,成蟲,2019,345013,3826_10161
3826_255743,242500,2711500,Geometridae,Lobogonia aculeata,成蟲,2019,345013,3826_10249
3826_238794,293500,2677500,Geometridae,Lobogonia aculeata,成蟲,2019,345013,3826_9559
3826_263260,259500,2726500,Geometridae,Lobogonia aculeata,成蟲,2019,345013,3826_10552
