GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Pyralidae,Locastra muscosalis,幼蟲,2011,347488,3826_10559
3826_174766,265500,2549500,Pyralidae,Locastra muscosalis,幼蟲,2011,347488,3826_6954
3826_169767,266500,2539500,Pyralidae,Locastra muscosalis,幼蟲,2011,347488,3826_6754
3826_203243,242500,2606500,Pyralidae,Locastra muscosalis,成蟲,2011,347488,3826_8149
3826_204726,225500,2609500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_8146
3826_198726,225500,2597500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_7946
3826_263294,293500,2726500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_10559
3826_288804,303500,2777500,Pyralidae,Locastra muscosalis,幼蟲,2012,347488,3826_11561
3826_219243,242500,2638500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_8749
3826_265290,289500,2730500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_10658
3826_273788,287500,2747500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_10958
3826_182205,204500,2564500,Pyralidae,Locastra muscosalis,幼蟲,2012,347488,3826_7241
3826_228759,258500,2657500,Pyralidae,Locastra muscosalis,幼蟲,2012,347488,3826_9152
3826_216236,235500,2632500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_8648
3826_286306,305500,2772500,Pyralidae,Locastra muscosalis,幼蟲,2012,347488,3826_11462
3826_282806,305500,2765500,Pyralidae,Locastra muscosalis,幼蟲,2013,347488,3826_11362
3826_267778,277500,2735500,Pyralidae,Locastra muscosalis,成蟲,2013,347488,3826_10756
3826_188716,215500,2577500,Pyralidae,Locastra muscosalis,成蟲,2013,347488,3826_7544
3826_281305,304500,2762500,Pyralidae,Locastra muscosalis,成蟲,2013,347488,3826_11261
3826_266771,270500,2733500,Pyralidae,Locastra muscosalis,成蟲,2013,347488,3826_10655
3826_284310,309500,2768500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_11362
3826_291801,300500,2783500,Pyralidae,Locastra muscosalis,成蟲,2013,347488,3826_11661
3826_273826,325500,2747500,Pyralidae,Locastra muscosalis,成蟲,2013,347488,3826_10966
3826_172215,214500,2544500,Pyralidae,Locastra muscosalis,幼蟲,2012,347488,3826_6843
3826_231705,204500,2663500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_9241
3826_140224,223500,2480500,Pyralidae,Locastra muscosalis,成蟲,2011,347488,3826_5645
3826_265329,328500,2730500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10666
3826_282300,299500,2764500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11260
3826_275267,266500,2750500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11054
3826_272775,274500,2745500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10955
3826_272780,279500,2745500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10956
3826_273279,278500,2746500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10956
3826_269315,314500,2738500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10763
3826_272776,275500,2745500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10956
3826_279306,305500,2758500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11162
3826_227307,306500,2654500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_9062
3826_263798,297500,2727500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10560
3826_289336,335500,2778500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11568
3826_291305,304500,2782500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_11661
3826_227258,257500,2654500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_9052
3826_273304,303500,2746500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10961
3826_128729,228500,2457500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_5146
3826_249226,225500,2698500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_9946
3826_280787,286500,2761500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11258
3826_284308,307500,2768500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11362
3826_161256,255500,2522500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_6452
3826_175725,224500,2551500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_7045
3826_265790,289500,2731500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10658
3826_282309,308500,2764500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11262
3826_218727,226500,2637500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_8746
3826_193218,217500,2586500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_7744
3826_265289,288500,2730500,Pyralidae,Locastra muscosalis,成蟲,2011,347488,3826_10658
3826_158223,222500,2516500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_6345
3826_291300,299500,2782500,Pyralidae,Locastra muscosalis,幼蟲,2015,347488,3826_11660
3826_186733,232500,2573500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_7447
3826_159220,219500,2518500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_6344
3826_186219,218500,2572500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_7444
3826_220810,309500,2641500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_8862
3826_237248,247500,2674500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_9450
3826_221311,310500,2642500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_8863
3826_221310,309500,2642500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_8862
3826_224769,268500,2649500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_8954
3826_264283,282500,2728500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_10557
3826_181709,208500,2563500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_7242
3826_291801,300500,2783500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11661
3826_286306,305500,2772500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_11462
3826_236745,244500,2673500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_9449
3826_239253,252500,2678500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_9551
3826_215255,254500,2630500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_8651
3826_273760,259500,2747500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_10952
3826_291300,299500,2782500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_11660
3826_267278,277500,2734500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10656
3826_268776,275500,2737500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10756
3826_258301,300500,2716500,Pyralidae,Locastra muscosalis,成蟲,2014,347488,3826_10361
3826_289309,308500,2778500,Pyralidae,Locastra muscosalis,幼蟲,2014,347488,3826_11562
3826_232753,252500,2665500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_9351
3826_285793,292500,2771500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_11459
3826_279306,305500,2758500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_11162
3826_270801,300500,2741500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_10861
3826_265289,288500,2730500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_10658
3826_281844,343500,2763500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_11269
3826_281309,308500,2762500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_11262
3826_279306,305500,2758500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_11162
3826_281301,300500,2762500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_11261
3826_236247,246500,2672500,Pyralidae,Locastra muscosalis,成蟲,2015,347488,3826_9450
3826_154714,213500,2509500,Pyralidae,Locastra muscosalis,幼蟲,2015,347488,3826_6143
3826_240741,240500,2681500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_9649
3826_237309,308500,2674500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_9462
3826_218230,229500,2636500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_8746
3826_291801,300500,2783500,Pyralidae,Locastra muscosalis,成蟲,2012,347488,3826_11661
