GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269811,310500,2739500,Saturniidae,Loepa mirandula,成蟲,2010,347582,3826_10763
3826_255762,261500,2711500,Saturniidae,Loepa mirandula,成蟲,2011,347582,3826_10253
3826_264279,278500,2728500,Saturniidae,Loepa mirandula,成蟲,2012,347582,3826_10556
3826_200731,230500,2601500,Saturniidae,Loepa mirandula,成蟲,2014,347582,3826_8047
3826_249787,286500,2699500,Saturniidae,Loepa mirandula,幼蟲,2014,347582,3826_9958
3826_267277,276500,2734500,Saturniidae,Loepa mirandula,成蟲,2014,347582,3826_10656
3826_241248,247500,2682500,Saturniidae,Loepa mirandula,成蟲,2014,347582,3826_9650
3826_236810,309500,2673500,Saturniidae,Loepa mirandula,成蟲,2014,347582,3826_9462
3826_207229,228500,2614500,Saturniidae,Loepa mirandula,成蟲,2014,347582,3826_8246
3826_200230,229500,2600500,Saturniidae,Loepa mirandula,成蟲,2015,347582,3826_8046
3826_259784,283500,2719500,Saturniidae,Loepa mirandula,成蟲,2014,347582,3826_10357
3826_266794,293500,2733500,Saturniidae,Loepa mirandula,成蟲,2015,347582,3826_10659
3826_175722,221500,2551500,Saturniidae,Loepa mirandula,成蟲,2015,347582,3826_7045
3826_256762,261500,2713500,Saturniidae,Loepa mirandula,幼蟲,2015,347582,3826_10253
3826_232268,267500,2664500,Saturniidae,Loepa mirandula,成蟲,2015,347582,3826_9254
3826_207230,229500,2614500,Saturniidae,Loepa mirandula,幼蟲,2013,347582,3826_8246
3826_207230,229500,2614500,Saturniidae,Loepa mirandula,成蟲,2015,347582,3826_8246
3826_248781,280500,2697500,Saturniidae,Loepa mirandula,成蟲,2015,347582,3826_9957
3826_241248,247500,2682500,Saturniidae,Loepa mirandula,成蟲,2012,347582,3826_9650
3826_241248,247500,2682500,Saturniidae,Loepa mirandula,成蟲,2016,347582,3826_9650
3826_200230,229500,2600500,Saturniidae,Loepa mirandula,成蟲,2016,347582,3826_8046
3826_255762,261500,2711500,Saturniidae,Loepa mirandula,成蟲,2016,347582,3826_10253
