GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Geometridae,Lophobates inchoata,成蟲,2011,345028,3826_10961
3826_219243,242500,2638500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_8749
3826_237309,308500,2674500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_9462
3826_287811,310500,2775500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_11563
3826_293303,302500,2786500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_11761
3826_292305,304500,2784500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_11661
3826_187200,199500,2574500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_7440
3826_198726,225500,2597500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_7946
3826_273788,287500,2747500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_10958
3826_212229,228500,2624500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_8446
3826_278825,324500,2757500,Geometridae,Lophobates inchoata,成蟲,2012,345028,3826_11165
3826_273826,325500,2747500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_10966
3826_270276,275500,2740500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_10856
3826_188716,215500,2577500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_7544
3826_231750,249500,2663500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_9250
3826_293303,302500,2786500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_11761
3826_226305,304500,2652500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_9061
3826_150219,218500,2500500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_6044
3826_263798,297500,2727500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_10560
3826_266771,270500,2733500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_10655
3826_292307,306500,2784500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_11662
3826_282820,319500,2765500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_11364
3826_281309,308500,2762500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_11262
3826_269811,310500,2739500,Geometridae,Lophobates inchoata,成蟲,2013,345028,3826_10763
