GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291805,304500,2783500,Euteliidae,Lophoptera phaeobasis,成蟲,2012,444087,3826_11661
3826_286791,290500,2773500,Euteliidae,Lophoptera phaeobasis,成蟲,2012,444087,3826_11459
3826_281813,312500,2763500,Euteliidae,Lophoptera phaeobasis,幼蟲,2013,444087,3826_11263
3826_288808,307500,2777500,Euteliidae,Lophoptera phaeobasis,幼蟲,2014,444087,3826_11562
3826_175725,224500,2551500,Euteliidae,Lophoptera phaeobasis,成蟲,2015,444087,3826_7045
3826_286306,305500,2772500,Euteliidae,Lophoptera phaeobasis,成蟲,2011,444087,3826_11462
3826_291801,300500,2783500,Euteliidae,Lophoptera phaeobasis,成蟲,2012,444087,3826_11661
3826_263753,252500,2727500,Euteliidae,Lophoptera phaeobasis,幼蟲,2017,444087,3826_10551
3826_287807,306500,2775500,Euteliidae,Lophoptera phaeobasis,幼蟲,2017,444087,3826_11562
3826_268764,263500,2737500,Euteliidae,Lophoptera phaeobasis,幼蟲,2017,444087,3826_10753
3826_291822,321500,2783500,Euteliidae,Lophoptera phaeobasis,幼蟲,2017,444087,3826_11665
3826_190782,281500,2581500,Euteliidae,Lophoptera phaeobasis,成蟲,2016,444087,3826_7657
3826_266265,264500,2732500,Euteliidae,Lophoptera phaeobasis,成蟲,2017,444087,3826_10653
3826_285313,312500,2770500,Euteliidae,Lophoptera phaeobasis,成蟲,2017,444087,3826_11463
3826_287810,309500,2775500,Euteliidae,Lophoptera phaeobasis,成蟲,2018,444087,3826_11562
3826_287806,305500,2775500,Euteliidae,Lophoptera phaeobasis,幼蟲,2010,444087,3826_11562
3826_269255,254500,2738500,Euteliidae,Lophoptera phaeobasis,成蟲,2018,444087,3826_10751
3826_263753,252500,2727500,Euteliidae,Lophoptera phaeobasis,幼蟲,2018,444087,3826_10551
3826_280805,304500,2761500,Euteliidae,Lophoptera phaeobasis,幼蟲,2018,444087,3826_11261
3826_262305,304500,2724500,Euteliidae,Lophoptera phaeobasis,成蟲,2018,444087,3826_10461
3826_289309,308500,2778500,Euteliidae,Lophoptera phaeobasis,幼蟲,2018,444087,3826_11562
3826_255743,242500,2711500,Euteliidae,Lophoptera phaeobasis,成蟲,2018,444087,3826_10249
3826_255743,242500,2711500,Euteliidae,Lophoptera phaeobasis,成蟲,2019,444087,3826_10249
3826_152675,174500,2505500,Euteliidae,Lophoptera phaeobasis,幼蟲,2019,444087,3826_6135
3826_269761,260500,2739500,Euteliidae,Lophoptera phaeobasis,幼蟲,2019,444087,3826_10753
3826_159220,219500,2518500,Euteliidae,Lophoptera phaeobasis,成蟲,2014,444087,3826_6344
3826_281810,309500,2763500,Euteliidae,Lophoptera phaeobasis,成蟲,2019,444087,3826_11262
3826_281810,309500,2763500,Euteliidae,Lophoptera phaeobasis,成蟲,2020,444087,3826_11262
3826_273260,259500,2746500,Euteliidae,Lophoptera phaeobasis,幼蟲,2020,444087,3826_10952
3826_263252,251500,2726500,Euteliidae,Lophoptera phaeobasis,幼蟲,2020,444087,3826_10551
3826_287807,306500,2775500,Euteliidae,Lophoptera phaeobasis,幼蟲,2020,444087,3826_11562
3826_273788,287500,2747500,Euteliidae,Lophoptera phaeobasis,成蟲,2020,444087,3826_10958
3826_274281,280500,2748500,Euteliidae,Lophoptera phaeobasis,幼蟲,2020,444087,3826_10957
3826_282806,305500,2765500,Euteliidae,Lophoptera phaeobasis,成蟲,2020,444087,3826_11362
3826_290302,301500,2780500,Euteliidae,Lophoptera phaeobasis,幼蟲,2021,444087,3826_11661
3826_263252,251500,2726500,Euteliidae,Lophoptera phaeobasis,幼蟲,2021,444087,3826_10551
3826_263753,252500,2727500,Euteliidae,Lophoptera phaeobasis,幼蟲,2021,444087,3826_10551
3826_235225,224500,2670500,Euteliidae,Lophoptera phaeobasis,幼蟲,2021,444087,3826_9445
3826_262265,264500,2724500,Euteliidae,Lophoptera phaeobasis,成蟲,2018,444087,3826_10453
3826_280814,313500,2761500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_11263
3826_273788,287500,2747500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_10958
3826_147746,245500,2495500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_5950
3826_271271,270500,2742500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_10855
3826_262327,326500,2724500,Euteliidae,Lophoptera phaeobasis,幼蟲,2021,444087,3826_10466
3826_273796,295500,2747500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_10960
3826_281810,309500,2763500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_11262
3826_283330,329500,2766500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_11366
3826_282806,305500,2765500,Euteliidae,Lophoptera phaeobasis,成蟲,2021,444087,3826_11362
3826_264783,282500,2729500,Euteliidae,Lophoptera phaeobasis,成蟲,2022,444087,3826_10557
3826_291305,304500,2782500,Euteliidae,Lophoptera phaeobasis,成蟲,2022,444087,3826_11661
3826_269761,260500,2739500,Euteliidae,Lophoptera phaeobasis,幼蟲,2022,444087,3826_10753
3826_288306,305500,2776500,Euteliidae,Lophoptera phaeobasis,幼蟲,2022,444087,3826_11562
3826_218737,236500,2637500,Euteliidae,Lophoptera phaeobasis,成蟲,2022,444087,3826_8748
