GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Erebidae,Lymantria concolor concolor,成蟲,2011,349337,3826_10560
3826_259784,283500,2719500,Erebidae,Lymantria concolor concolor,成蟲,2011,349337,3826_10357
3826_206243,242500,2612500,Erebidae,Lymantria concolor concolor,成蟲,2011,349337,3826_8249
3826_237801,300500,2675500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_9561
3826_237783,282500,2675500,Erebidae,Lymantria concolor concolor,成蟲,2011,349337,3826_9557
3826_241751,250500,2683500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_9651
3826_203243,242500,2606500,Erebidae,Lymantria concolor concolor,成蟲,2010,349337,3826_8149
3826_265289,288500,2730500,Erebidae,Lymantria concolor concolor,成蟲,2011,349337,3826_10658
3826_229766,265500,2659500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_9154
3826_237785,284500,2675500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_9557
3826_263798,297500,2727500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_10560
3826_264279,278500,2728500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_10556
3826_239740,239500,2679500,Erebidae,Lymantria concolor concolor,成蟲,2013,349337,3826_9548
3826_238290,289500,2676500,Erebidae,Lymantria concolor concolor,成蟲,2013,349337,3826_9558
3826_269280,279500,2738500,Erebidae,Lymantria concolor concolor,成蟲,2013,349337,3826_10756
3826_200231,230500,2600500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_8047
3826_229767,266500,2659500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_9154
3826_208230,229500,2616500,Erebidae,Lymantria concolor concolor,成蟲,2012,349337,3826_8346
3826_273792,291500,2747500,Erebidae,Lymantria concolor concolor,成蟲,2013,349337,3826_10959
3826_264779,278500,2729500,Erebidae,Lymantria concolor concolor,成蟲,2013,349337,3826_10556
3826_259784,283500,2719500,Erebidae,Lymantria concolor concolor,成蟲,2013,349337,3826_10357
