GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_188208,207500,2576500,Erebidae,Lymantria iris,成蟲,2012,349343,3826_7542
3826_280304,303500,2760500,Erebidae,Lymantria iris,成蟲,2012,349343,3826_11261
3826_236217,216500,2672500,Erebidae,Lymantria iris,成蟲,2011,349343,3826_9444
3826_236217,216500,2672500,Erebidae,Lymantria iris,成蟲,2010,349343,3826_9444
3826_207168,167500,2614500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_8234
3826_286306,305500,2772500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_11462
3826_250215,214500,2700500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_10043
3826_282307,306500,2764500,Erebidae,Lymantria iris,成蟲,2012,349343,3826_11262
3826_135739,238500,2471500,Erebidae,Lymantria iris,成蟲,2010,349343,3826_5448
3826_273252,251500,2746500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_10951
3826_265236,235500,2730500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_10648
3826_288804,303500,2777500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_11561
3826_289798,297500,2779500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11560
3826_290304,303500,2780500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11661
3826_282307,306500,2764500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11262
3826_285304,303500,2770500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11461
3826_281810,309500,2763500,Erebidae,Lymantria iris,幼蟲,2013,349343,3826_11262
3826_271250,249500,2742500,Erebidae,Lymantria iris,幼蟲,2012,349343,3826_10850
3826_222805,304500,2645500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_8961
3826_281810,309500,2763500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11262
3826_242231,230500,2684500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_9647
3826_230209,208500,2660500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_9242
3826_281309,308500,2762500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11262
3826_289798,297500,2779500,Erebidae,Lymantria iris,幼蟲,2015,349343,3826_11560
3826_281810,309500,2763500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11262
3826_282307,306500,2764500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11262
3826_221311,310500,2642500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_8863
3826_221310,309500,2642500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_8862
3826_231705,204500,2663500,Erebidae,Lymantria iris,幼蟲,2015,349343,3826_9241
3826_294317,316500,2788500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11764
3826_285293,292500,2770500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11459
3826_294816,315500,2789500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11764
3826_244705,204500,2689500,Erebidae,Lymantria iris,成蟲,2013,349343,3826_9741
3826_280304,303500,2760500,Erebidae,Lymantria iris,幼蟲,2014,349343,3826_11261
3826_280805,304500,2761500,Erebidae,Lymantria iris,幼蟲,2014,349343,3826_11261
3826_286306,305500,2772500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11462
3826_285291,290500,2770500,Erebidae,Lymantria iris,成蟲,2014,349343,3826_11459
3826_280304,303500,2760500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11261
3826_285293,292500,2770500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11459
3826_286305,304500,2772500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11461
3826_282784,283500,2765500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11357
3826_279803,302500,2759500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11161
3826_273752,251500,2747500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_10951
3826_281301,300500,2762500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11261
3826_288804,303500,2777500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11561
3826_292797,296500,2785500,Erebidae,Lymantria iris,成蟲,2015,349343,3826_11760
