GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Erebidae,Lymantria sugii,成蟲,2011,349344,3826_10559
3826_238752,251500,2677500,Erebidae,Lymantria sugii,成蟲,2011,349344,3826_9551
3826_263294,293500,2726500,Erebidae,Lymantria sugii,成蟲,2012,349344,3826_10559
3826_219244,243500,2638500,Erebidae,Lymantria sugii,成蟲,2012,349344,3826_8749
3826_269811,310500,2739500,Erebidae,Lymantria sugii,成蟲,2013,349344,3826_10763
3826_265292,291500,2730500,Erebidae,Lymantria sugii,成蟲,2013,349344,3826_10659
3826_227258,257500,2654500,Erebidae,Lymantria sugii,成蟲,2014,349344,3826_9052
3826_236247,246500,2672500,Erebidae,Lymantria sugii,成蟲,2015,349344,3826_9450
3826_265791,290500,2731500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_10659
3826_239300,299500,2678500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_9560
3826_263798,297500,2727500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_10560
3826_237800,299500,2675500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_9560
3826_267279,278500,2734500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_10656
3826_269278,277500,2738500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_10756
3826_237746,245500,2675500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_9550
3826_264279,278500,2728500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_10556
3826_237245,244500,2674500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_9449
3826_237801,300500,2675500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_9561
3826_237303,302500,2674500,Erebidae,Lymantria sugii,成蟲,2016,349344,3826_9461
3826_200231,230500,2600500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_8047
3826_259301,300500,2718500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10361
3826_267791,290500,2735500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10759
3826_265289,288500,2730500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10658
3826_267789,288500,2735500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10758
3826_238794,293500,2677500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_9559
3826_227760,259500,2655500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_9152
3826_239300,299500,2678500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_9560
3826_265791,290500,2731500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10659
3826_228764,263500,2657500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_9153
3826_227759,258500,2655500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_9152
3826_229266,265500,2658500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_9154
3826_265290,289500,2730500,Erebidae,Lymantria sugii,成蟲,2015,349344,3826_10658
3826_273788,287500,2747500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10958
3826_238797,296500,2677500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_9560
3826_264283,282500,2728500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_10557
3826_227760,259500,2655500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_9152
3826_269811,310500,2739500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_10763
3826_273802,301500,2747500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_10961
3826_224749,248500,2649500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_8950
3826_266793,292500,2733500,Erebidae,Lymantria sugii,成蟲,2017,349344,3826_10659
3826_237245,244500,2674500,Erebidae,Lymantria sugii,成蟲,2018,349344,3826_9449
3826_273807,306500,2747500,Erebidae,Lymantria sugii,成蟲,2011,349344,3826_10962
3826_273792,291500,2747500,Erebidae,Lymantria sugii,成蟲,2019,349344,3826_10959
3826_205239,238500,2610500,Erebidae,Lymantria sugii,成蟲,2019,349344,3826_8248
3826_237791,290500,2675500,Erebidae,Lymantria sugii,成蟲,2020,349344,3826_9559
3826_273788,287500,2747500,Erebidae,Lymantria sugii,成蟲,2020,349344,3826_10958
3826_225263,262500,2650500,Erebidae,Lymantria sugii,幼蟲,2021,349344,3826_9053
3826_229265,264500,2658500,Erebidae,Lymantria sugii,成蟲,2021,349344,3826_9153
3826_264279,278500,2728500,Erebidae,Lymantria sugii,成蟲,2022,349344,3826_10556
3826_274279,278500,2748500,Erebidae,Lymantria sugii,成蟲,2022,349344,3826_10956
3826_227751,250500,2655500,Erebidae,Lymantria sugii,幼蟲,2022,349344,3826_9151
