GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_247282,281500,2694500,Erebidae,Lymantria umbrifera,成蟲,2013,349340,3826_9857
3826_224769,268500,2649500,Erebidae,Lymantria umbrifera,成蟲,2013,349340,3826_8954
3826_256762,261500,2713500,Erebidae,Lymantria umbrifera,成蟲,2017,349340,3826_10253
3826_241248,247500,2682500,Erebidae,Lymantria umbrifera,成蟲,2013,349340,3826_9650
3826_185749,248500,2571500,Erebidae,Lymantria umbrifera,成蟲,2014,349340,3826_7450
3826_232753,252500,2665500,Erebidae,Lymantria umbrifera,成蟲,2014,349340,3826_9351
3826_264279,278500,2728500,Erebidae,Lymantria umbrifera,成蟲,2014,349340,3826_10556
3826_237785,284500,2675500,Erebidae,Lymantria umbrifera,成蟲,2014,349340,3826_9557
3826_246782,281500,2693500,Erebidae,Lymantria umbrifera,成蟲,2014,349340,3826_9857
3826_247284,283500,2694500,Erebidae,Lymantria umbrifera,成蟲,2013,349340,3826_9857
3826_255762,261500,2711500,Erebidae,Lymantria umbrifera,成蟲,2013,349340,3826_10253
3826_247282,281500,2694500,Erebidae,Lymantria umbrifera,成蟲,2014,349340,3826_9857
3826_260289,288500,2720500,Erebidae,Lymantria umbrifera,成蟲,2015,349340,3826_10458
3826_198733,232500,2597500,Erebidae,Lymantria umbrifera,成蟲,2015,349340,3826_7947
3826_255762,261500,2711500,Erebidae,Lymantria umbrifera,成蟲,2012,349340,3826_10253
3826_204254,253500,2608500,Erebidae,Lymantria umbrifera,成蟲,2015,349340,3826_8151
3826_237785,284500,2675500,Erebidae,Lymantria umbrifera,成蟲,2012,349340,3826_9557
3826_273304,303500,2746500,Erebidae,Lymantria umbrifera,成蟲,2012,349340,3826_10961
3826_188240,239500,2576500,Erebidae,Lymantria umbrifera,成蟲,2016,349340,3826_7548
3826_232753,252500,2665500,Erebidae,Lymantria umbrifera,成蟲,2013,349340,3826_9351
3826_192760,259500,2585500,Erebidae,Lymantria umbrifera,成蟲,2011,349340,3826_7752
