GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_242730,229500,2685500,Erebidae,Lymantria xylina xylina,幼蟲,2010,349342,3826_9746
3826_278825,324500,2757500,Erebidae,Lymantria xylina xylina,成蟲,2011,349342,3826_11165
3826_219744,243500,2639500,Erebidae,Lymantria xylina xylina,幼蟲,2012,349342,3826_8749
3826_240730,229500,2681500,Erebidae,Lymantria xylina xylina,幼蟲,2012,349342,3826_9646
3826_219741,240500,2639500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_8749
3826_220242,241500,2640500,Erebidae,Lymantria xylina xylina,幼蟲,2012,349342,3826_8849
3826_280304,303500,2760500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_11261
3826_278806,305500,2757500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_11162
3826_275267,266500,2750500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_11054
3826_226225,224500,2652500,Erebidae,Lymantria xylina xylina,卵,2012,349342,3826_9045
3826_275307,306500,2750500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_11062
3826_204726,225500,2609500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_8146
3826_273788,287500,2747500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_10958
3826_225732,231500,2651500,Erebidae,Lymantria xylina xylina,成蟲,2012,349342,3826_9047
3826_219243,242500,2638500,Erebidae,Lymantria xylina xylina,幼蟲,2012,349342,3826_8749
3826_284309,308500,2768500,Erebidae,Lymantria xylina xylina,幼蟲,2012,349342,3826_11362
3826_276805,304500,2753500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_11061
3826_269280,279500,2738500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_10756
3826_207168,167500,2614500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_8234
3826_285310,309500,2770500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_11462
3826_239224,223500,2678500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_9545
3826_262234,233500,2724500,Erebidae,Lymantria xylina xylina,蛹,2013,349342,3826_10447
3826_259800,299500,2719500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_10360
3826_281334,333500,2762500,Erebidae,Lymantria xylina xylina,蛹,2013,349342,3826_11267
3826_220742,241500,2641500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_8849
3826_273304,303500,2746500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_10961
3826_281309,308500,2762500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_11262
3826_280305,304500,2760500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_11261
3826_280304,303500,2760500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_11261
3826_274305,304500,2748500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_10961
3826_251724,223500,2703500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_10045
3826_290304,303500,2780500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_11661
3826_291329,328500,2782500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11666
3826_238230,229500,2676500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_9546
3826_287811,310500,2775500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_11563
3826_294317,316500,2788500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_11764
3826_250724,223500,2701500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_10045
3826_289823,322500,2779500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11565
3826_263260,259500,2726500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_10552
3826_270273,272500,2740500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_10855
3826_289826,325500,2779500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11566
3826_193218,217500,2586500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_7744
3826_215737,236500,2631500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_8648
3826_285293,292500,2770500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11459
3826_246724,223500,2693500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_9845
3826_282307,306500,2764500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11262
3826_287787,286500,2775500,Erebidae,Lymantria xylina xylina,幼蟲,2013,349342,3826_11558
3826_282300,299500,2764500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11260
3826_290304,303500,2780500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11661
3826_242231,230500,2684500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_9647
3826_295316,315500,2790500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11864
3826_217726,225500,2635500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_8746
3826_286317,316500,2772500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11464
3826_289823,322500,2779500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11565
3826_282307,306500,2764500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11262
3826_275745,244500,2751500,Erebidae,Lymantria xylina xylina,成蟲,2011,349342,3826_11049
3826_290827,326500,2781500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11666
3826_280787,286500,2761500,Erebidae,Lymantria xylina xylina,成蟲,2013,349342,3826_11258
3826_225806,305500,2651500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_9062
3826_270802,301500,2741500,Erebidae,Lymantria xylina xylina,蛹,2014,349342,3826_10861
3826_272276,275500,2744500,Erebidae,Lymantria xylina xylina,蛹,2014,349342,3826_10856
3826_221211,210500,2642500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_8843
3826_279804,303500,2759500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11161
3826_224244,243500,2648500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_8949
3826_224720,219500,2649500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_8944
3826_283306,305500,2766500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11362
3826_232753,252500,2665500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_9351
3826_282819,318500,2765500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11364
3826_286281,280500,2772500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_11457
3826_288837,336500,2777500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11568
3826_222805,304500,2645500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_8961
3826_295316,315500,2790500,Erebidae,Lymantria xylina xylina,幼蟲,2014,349342,3826_11864
3826_269271,270500,2738500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_10755
3826_290303,302500,2780500,Erebidae,Lymantria xylina xylina,幼蟲,2015,349342,3826_11661
3826_294815,314500,2789500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11763
3826_294320,319500,2788500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11764
3826_282292,291500,2764500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11259
3826_280304,303500,2760500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11261
3826_282307,306500,2764500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11262
3826_258231,230500,2716500,Erebidae,Lymantria xylina xylina,蛹,2015,349342,3826_10347
3826_290298,297500,2780500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11660
3826_290799,298500,2781500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_11660
3826_221310,309500,2642500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_8862
3826_262327,326500,2724500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_10466
3826_259800,299500,2719500,Erebidae,Lymantria xylina xylina,幼蟲,2015,349342,3826_10360
3826_237248,247500,2674500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_9450
3826_225806,305500,2651500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_9062
3826_237703,202500,2675500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_9541
3826_227741,240500,2655500,Erebidae,Lymantria xylina xylina,幼蟲,2015,349342,3826_9149
3826_217730,229500,2635500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_8746
3826_264283,282500,2728500,Erebidae,Lymantria xylina xylina,成蟲,2015,349342,3826_10557
3826_238751,250500,2677500,Erebidae,Lymantria xylina xylina,成蟲,2014,349342,3826_9551
