GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_226225,224500,2652500,Erebidae,Macaldenia palumba,幼蟲,2012,346235,3826_9045
3826_286306,305500,2772500,Erebidae,Macaldenia palumba,成蟲,2011,346235,3826_11462
3826_258745,244500,2717500,Erebidae,Macaldenia palumba,成蟲,2014,346235,3826_10349
3826_270777,276500,2741500,Erebidae,Macaldenia palumba,成蟲,2014,346235,3826_10856
3826_287813,312500,2775500,Erebidae,Macaldenia palumba,成蟲,2014,346235,3826_11563
3826_264757,256500,2729500,Erebidae,Macaldenia palumba,幼蟲,2014,346235,3826_10552
3826_217295,294500,2634500,Erebidae,Macaldenia palumba,成蟲,2014,346235,3826_8659
3826_152210,209500,2504500,Erebidae,Macaldenia palumba,成蟲,2013,346235,3826_6042
3826_281810,309500,2763500,Erebidae,Macaldenia palumba,成蟲,2015,346235,3826_11262
3826_290294,293500,2780500,Erebidae,Macaldenia palumba,成蟲,2015,346235,3826_11659
3826_279306,305500,2758500,Erebidae,Macaldenia palumba,成蟲,2013,346235,3826_11162
3826_264757,256500,2729500,Erebidae,Macaldenia palumba,幼蟲,2015,346235,3826_10552
3826_293308,307500,2786500,Erebidae,Macaldenia palumba,成蟲,2015,346235,3826_11762
3826_282808,307500,2765500,Erebidae,Macaldenia palumba,成蟲,2016,346235,3826_11362
3826_280801,300500,2761500,Erebidae,Macaldenia palumba,幼蟲,2012,346235,3826_11261
3826_152175,174500,2504500,Erebidae,Macaldenia palumba,幼蟲,2011,346235,3826_6035
3826_281309,308500,2762500,Erebidae,Macaldenia palumba,成蟲,2016,346235,3826_11262
3826_290805,304500,2781500,Erebidae,Macaldenia palumba,成蟲,2013,346235,3826_11661
3826_232204,203500,2664500,Erebidae,Macaldenia palumba,幼蟲,2014,346235,3826_9241
3826_152175,174500,2504500,Erebidae,Macaldenia palumba,幼蟲,2016,346235,3826_6035
3826_218230,229500,2636500,Erebidae,Macaldenia palumba,幼蟲,2015,346235,3826_8746
3826_237248,247500,2674500,Erebidae,Macaldenia palumba,成蟲,2016,346235,3826_9450
3826_280801,300500,2761500,Erebidae,Macaldenia palumba,幼蟲,2016,346235,3826_11261
3826_175205,204500,2550500,Erebidae,Macaldenia palumba,成蟲,2013,346235,3826_7041
3826_284812,311500,2769500,Erebidae,Macaldenia palumba,幼蟲,2016,346235,3826_11363
3826_290310,309500,2780500,Erebidae,Macaldenia palumba,成蟲,2016,346235,3826_11662
3826_225250,249500,2650500,Erebidae,Macaldenia palumba,成蟲,2016,346235,3826_9050
3826_263260,259500,2726500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_10552
3826_224749,248500,2649500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_8950
3826_266265,264500,2732500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_10653
3826_281810,309500,2763500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11262
3826_293807,306500,2787500,Erebidae,Macaldenia palumba,成蟲,2015,346235,3826_11762
3826_217217,216500,2634500,Erebidae,Macaldenia palumba,幼蟲,2017,346235,3826_8644
3826_284309,308500,2768500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11362
3826_284810,309500,2769500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11362
3826_281309,308500,2762500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11262
3826_161256,255500,2522500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_6452
3826_198739,238500,2597500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_7948
3826_276802,301500,2753500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11061
3826_237230,229500,2674500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_9446
3826_282806,305500,2765500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11362
3826_237723,222500,2675500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_9545
3826_219801,300500,2639500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_8761
3826_190782,281500,2581500,Erebidae,Macaldenia palumba,成蟲,2016,346235,3826_7657
3826_286321,320500,2772500,Erebidae,Macaldenia palumba,成蟲,2017,346235,3826_11465
3826_262249,248500,2724500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_10450
3826_287806,305500,2775500,Erebidae,Macaldenia palumba,幼蟲,2018,346235,3826_11562
3826_291801,300500,2783500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_11661
3826_281309,308500,2762500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_11262
3826_266755,254500,2733500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_10651
3826_154218,217500,2508500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_6144
3826_219231,230500,2638500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_8747
3826_222246,245500,2644500,Erebidae,Macaldenia palumba,幼蟲,2018,346235,3826_8850
3826_240223,222500,2680500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_9645
3826_279806,305500,2759500,Erebidae,Macaldenia palumba,成蟲,2019,346235,3826_11162
3826_255743,242500,2711500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_10249
3826_270756,255500,2741500,Erebidae,Macaldenia palumba,成蟲,2019,346235,3826_10852
3826_152684,183500,2505500,Erebidae,Macaldenia palumba,幼蟲,2019,346235,3826_6137
3826_273760,259500,2747500,Erebidae,Macaldenia palumba,成蟲,2019,346235,3826_10952
3826_269273,272500,2738500,Erebidae,Macaldenia palumba,成蟲,2018,346235,3826_10755
3826_254738,237500,2709500,Erebidae,Macaldenia palumba,成蟲,2019,346235,3826_10148
