GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Tineidae,Machaeropteris petalacma,成蟲,2012,347772,3826_10560
3826_289825,324500,2779500,Tineidae,Machaeropteris petalacma,成蟲,2012,347772,3826_11565
3826_287787,286500,2775500,Tineidae,Machaeropteris petalacma,成蟲,2014,347772,3826_11558
3826_291801,300500,2783500,Tineidae,Machaeropteris petalacma,成蟲,2014,347772,3826_11661
3826_282287,286500,2764500,Tineidae,Machaeropteris petalacma,成蟲,2015,347772,3826_11258
3826_255762,261500,2711500,Tineidae,Machaeropteris petalacma,成蟲,2015,347772,3826_10253
3826_285793,292500,2771500,Tineidae,Machaeropteris petalacma,成蟲,2015,347772,3826_11459
3826_293302,301500,2786500,Tineidae,Machaeropteris petalacma,成蟲,2015,347772,3826_11761
3826_263794,293500,2727500,Tineidae,Machaeropteris petalacma,成蟲,2012,347772,3826_10559
3826_273788,287500,2747500,Tineidae,Machaeropteris petalacma,成蟲,2012,347772,3826_10958
3826_290805,304500,2781500,Tineidae,Machaeropteris petalacma,成蟲,2013,347772,3826_11661
3826_281815,314500,2763500,Tineidae,Machaeropteris petalacma,成蟲,2016,347772,3826_11263
3826_291801,300500,2783500,Tineidae,Machaeropteris petalacma,成蟲,2013,347772,3826_11661
3826_212729,228500,2625500,Tineidae,Machaeropteris petalacma,成蟲,2016,347772,3826_8546
3826_252226,225500,2704500,Tineidae,Machaeropteris petalacma,成蟲,2017,347772,3826_10046
3826_273792,291500,2747500,Tineidae,Machaeropteris petalacma,成蟲,2017,347772,3826_10959
3826_229265,264500,2658500,Tineidae,Machaeropteris petalacma,成蟲,2017,347772,3826_9153
3826_248231,230500,2696500,Tineidae,Machaeropteris petalacma,成蟲,2017,347772,3826_9947
3826_267278,277500,2734500,Tineidae,Machaeropteris petalacma,成蟲,2017,347772,3826_10656
3826_238231,230500,2676500,Tineidae,Machaeropteris petalacma,成蟲,2017,347772,3826_9547
3826_293303,302500,2786500,Tineidae,Machaeropteris petalacma,成蟲,2010,347772,3826_11761
3826_293303,302500,2786500,Tineidae,Machaeropteris petalacma,成蟲,2018,347772,3826_11761
3826_268277,276500,2736500,Tineidae,Machaeropteris petalacma,成蟲,2018,347772,3826_10756
3826_251728,227500,2703500,Tineidae,Machaeropteris petalacma,成蟲,2018,347772,3826_10046
3826_263753,252500,2727500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_10551
3826_247731,230500,2695500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_9947
3826_203210,209500,2606500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_8142
3826_229767,266500,2659500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_9154
3826_247282,281500,2694500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_9857
3826_251252,251500,2702500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_10051
3826_254738,237500,2709500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_10148
3826_265764,263500,2731500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_10653
3826_257745,244500,2715500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_10349
3826_228252,251500,2656500,Tineidae,Machaeropteris petalacma,成蟲,2019,347772,3826_9151
3826_175724,223500,2551500,Tineidae,Machaeropteris petalacma,成蟲,2020,347772,3826_7045
3826_289805,304500,2779500,Tineidae,Machaeropteris petalacma,成蟲,2014,347772,3826_11561
3826_279305,304500,2758500,Tineidae,Machaeropteris petalacma,成蟲,2020,347772,3826_11161
3826_273788,287500,2747500,Tineidae,Machaeropteris petalacma,成蟲,2020,347772,3826_10958
3826_264784,283500,2729500,Tineidae,Machaeropteris petalacma,成蟲,2020,347772,3826_10557
3826_257745,244500,2715500,Tineidae,Machaeropteris petalacma,成蟲,2021,347772,3826_10349
3826_265781,280500,2731500,Tineidae,Machaeropteris petalacma,成蟲,2020,347772,3826_10657
3826_228264,263500,2656500,Tineidae,Machaeropteris petalacma,成蟲,2021,347772,3826_9153
3826_291803,302500,2783500,Tineidae,Machaeropteris petalacma,成蟲,2016,347772,3826_11661
3826_174722,221500,2549500,Tineidae,Machaeropteris petalacma,成蟲,2016,347772,3826_6945
3826_293303,302500,2786500,Tineidae,Machaeropteris petalacma,成蟲,2016,347772,3826_11761
3826_139724,223500,2479500,Tineidae,Machaeropteris petalacma,成蟲,2022,347772,3826_5545
3826_269273,272500,2738500,Tineidae,Machaeropteris petalacma,成蟲,2022,347772,3826_10755
3826_265781,280500,2731500,Tineidae,Machaeropteris petalacma,成蟲,2022,347772,3826_10657
3826_267789,288500,2735500,Tineidae,Machaeropteris petalacma,成蟲,2022,347772,3826_10758
