GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Drepanidae,Macrauzata minor,成蟲,2012,404686,3826_10560
3826_269811,310500,2739500,Drepanidae,Macrauzata minor,成蟲,2012,404686,3826_10763
3826_269811,310500,2739500,Drepanidae,Macrauzata minor,成蟲,2013,404686,3826_10763
3826_270777,276500,2741500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_10856
3826_274810,309500,2749500,Drepanidae,Macrauzata minor,成蟲,2011,404686,3826_10962
3826_269811,310500,2739500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_10763
3826_264279,278500,2728500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_10556
3826_273788,287500,2747500,Drepanidae,Macrauzata minor,成蟲,2012,404686,3826_10958
3826_166270,269500,2532500,Drepanidae,Macrauzata minor,幼蟲,2016,404686,3826_6654
3826_267279,278500,2734500,Drepanidae,Macrauzata minor,成蟲,2016,404686,3826_10656
3826_269280,279500,2738500,Drepanidae,Macrauzata minor,成蟲,2016,404686,3826_10756
3826_165724,223500,2531500,Drepanidae,Macrauzata minor,幼蟲,2016,404686,3826_6645
3826_263260,259500,2726500,Drepanidae,Macrauzata minor,成蟲,2016,404686,3826_10552
3826_237801,300500,2675500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_9561
3826_174221,220500,2548500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_6945
3826_278806,305500,2757500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_11162
3826_224749,248500,2649500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_8950
3826_266265,264500,2732500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_10653
3826_277328,327500,2754500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_11066
3826_259760,259500,2719500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_10352
3826_282321,320500,2764500,Drepanidae,Macrauzata minor,成蟲,2018,404686,3826_11265
3826_273796,295500,2747500,Drepanidae,Macrauzata minor,成蟲,2018,404686,3826_10960
3826_130734,233500,2461500,Drepanidae,Macrauzata minor,成蟲,2017,404686,3826_5247
3826_263798,297500,2727500,Drepanidae,Macrauzata minor,成蟲,2019,404686,3826_10560
3826_154218,217500,2508500,Drepanidae,Macrauzata minor,成蟲,2013,404686,3826_6144
3826_239300,299500,2678500,Drepanidae,Macrauzata minor,成蟲,2019,404686,3826_9560
3826_159220,219500,2518500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_6344
3826_224749,248500,2649500,Drepanidae,Macrauzata minor,成蟲,2019,404686,3826_8950
3826_225806,305500,2651500,Drepanidae,Macrauzata minor,成蟲,2019,404686,3826_9062
3826_237303,302500,2674500,Drepanidae,Macrauzata minor,成蟲,2019,404686,3826_9461
3826_216751,250500,2633500,Drepanidae,Macrauzata minor,成蟲,2013,404686,3826_8651
3826_227759,258500,2655500,Drepanidae,Macrauzata minor,成蟲,2020,404686,3826_9152
3826_274304,303500,2748500,Drepanidae,Macrauzata minor,成蟲,2020,404686,3826_10961
3826_175222,221500,2550500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_7045
3826_273788,287500,2747500,Drepanidae,Macrauzata minor,成蟲,2020,404686,3826_10958
3826_259800,299500,2719500,Drepanidae,Macrauzata minor,成蟲,2014,404686,3826_10360
3826_238800,299500,2677500,Drepanidae,Macrauzata minor,成蟲,2021,404686,3826_9560
3826_177778,277500,2555500,Drepanidae,Macrauzata minor,成蟲,2021,404686,3826_7156
3826_147746,245500,2495500,Drepanidae,Macrauzata minor,成蟲,2021,404686,3826_5950
