GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Drepanidae,Macrocilix maia,成蟲,2012,344437,3826_10958
3826_276808,307500,2753500,Drepanidae,Macrocilix maia,成蟲,2012,344437,3826_11062
3826_269811,310500,2739500,Drepanidae,Macrocilix maia,成蟲,2012,344437,3826_10763
3826_273304,303500,2746500,Drepanidae,Macrocilix maia,成蟲,2013,344437,3826_10961
3826_270801,300500,2741500,Drepanidae,Macrocilix maia,成蟲,2013,344437,3826_10861
3826_269278,277500,2738500,Drepanidae,Macrocilix maia,成蟲,2014,344437,3826_10756
3826_273304,303500,2746500,Drepanidae,Macrocilix maia,成蟲,2014,344437,3826_10961
3826_225806,305500,2651500,Drepanidae,Macrocilix maia,成蟲,2014,344437,3826_9062
3826_263798,297500,2727500,Drepanidae,Macrocilix maia,成蟲,2014,344437,3826_10560
3826_264279,278500,2728500,Drepanidae,Macrocilix maia,成蟲,2014,344437,3826_10556
3826_232753,252500,2665500,Drepanidae,Macrocilix maia,成蟲,2015,344437,3826_9351
3826_269811,310500,2739500,Drepanidae,Macrocilix maia,成蟲,2015,344437,3826_10763
3826_266771,270500,2733500,Drepanidae,Macrocilix maia,成蟲,2012,344437,3826_10655
3826_279306,305500,2758500,Drepanidae,Macrocilix maia,成蟲,2016,344437,3826_11162
3826_232753,252500,2665500,Drepanidae,Macrocilix maia,卵,2015,344437,3826_9351
3826_269775,274500,2739500,Drepanidae,Macrocilix maia,成蟲,2013,344437,3826_10755
3826_281301,300500,2762500,Drepanidae,Macrocilix maia,成蟲,2016,344437,3826_11261
3826_232753,252500,2665500,Drepanidae,Macrocilix maia,幼蟲,2015,344437,3826_9351
3826_175222,221500,2550500,Drepanidae,Macrocilix maia,成蟲,2016,344437,3826_7045
3826_285818,317500,2771500,Drepanidae,Macrocilix maia,成蟲,2013,344437,3826_11464
3826_224749,248500,2649500,Drepanidae,Macrocilix maia,成蟲,2016,344437,3826_8950
3826_268778,277500,2737500,Drepanidae,Macrocilix maia,幼蟲,2016,344437,3826_10756
3826_269278,277500,2738500,Drepanidae,Macrocilix maia,成蟲,2016,344437,3826_10756
3826_267279,278500,2734500,Drepanidae,Macrocilix maia,成蟲,2016,344437,3826_10656
3826_180258,257500,2560500,Drepanidae,Macrocilix maia,成蟲,2014,344437,3826_7252
3826_224749,248500,2649500,Drepanidae,Macrocilix maia,成蟲,2017,344437,3826_8950
3826_237248,247500,2674500,Drepanidae,Macrocilix maia,幼蟲,2016,344437,3826_9450
3826_187200,199500,2574500,Drepanidae,Macrocilix maia,成蟲,2017,344437,3826_7440
3826_237801,300500,2675500,Drepanidae,Macrocilix maia,成蟲,2017,344437,3826_9561
3826_275806,305500,2751500,Drepanidae,Macrocilix maia,成蟲,2017,344437,3826_11062
3826_232753,252500,2665500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_9351
3826_269273,272500,2738500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_10755
3826_269811,310500,2739500,Drepanidae,Macrocilix maia,幼蟲,2018,344437,3826_10763
3826_224749,248500,2649500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_8950
3826_262759,258500,2725500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_10552
3826_187199,198500,2574500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_7440
3826_197218,217500,2594500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_7844
3826_187199,198500,2574500,Drepanidae,Macrocilix maia,成蟲,2019,344437,3826_7440
3826_232753,252500,2665500,Drepanidae,Macrocilix maia,成蟲,2019,344437,3826_9351
3826_253828,327500,2707500,Drepanidae,Macrocilix maia,成蟲,2019,344437,3826_10166
3826_175222,221500,2550500,Drepanidae,Macrocilix maia,成蟲,2018,344437,3826_7045
3826_154218,217500,2508500,Drepanidae,Macrocilix maia,成蟲,2019,344437,3826_6144
3826_281810,309500,2763500,Drepanidae,Macrocilix maia,成蟲,2019,344437,3826_11262
3826_273788,287500,2747500,Drepanidae,Macrocilix maia,成蟲,2013,344437,3826_10958
