GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273786,285500,2747500,Sphingidae,Macroglossum neotroglodytus,成蟲,2011,347671,3826_10958
3826_212729,228500,2625500,Sphingidae,Macroglossum neotroglodytus,成蟲,2011,347671,3826_8546
3826_187200,199500,2574500,Sphingidae,Macroglossum neotroglodytus,成蟲,2012,347671,3826_7440
3826_280304,303500,2760500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2012,347671,3826_11261
3826_279316,315500,2758500,Sphingidae,Macroglossum neotroglodytus,成蟲,2012,347671,3826_11164
3826_152714,213500,2505500,Sphingidae,Macroglossum neotroglodytus,成蟲,2013,347671,3826_6143
3826_298802,301500,2797500,Sphingidae,Macroglossum neotroglodytus,成蟲,2012,347671,3826_11961
3826_297809,308500,2795500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2013,347671,3826_11962
3826_297809,308500,2795500,Sphingidae,Macroglossum neotroglodytus,成蟲,2013,347671,3826_11962
3826_222739,238500,2645500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2010,347671,3826_8948
3826_271768,267500,2743500,Sphingidae,Macroglossum neotroglodytus,成蟲,2011,347671,3826_10854
3826_281820,319500,2763500,Sphingidae,Macroglossum neotroglodytus,成蟲,2013,347671,3826_11264
3826_140225,224500,2480500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2014,347671,3826_5645
3826_225251,250500,2650500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2015,347671,3826_9051
3826_223742,241500,2647500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2015,347671,3826_8949
3826_225250,249500,2650500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2015,347671,3826_9050
3826_288306,305500,2776500,Sphingidae,Macroglossum neotroglodytus,成蟲,2011,347671,3826_11562
3826_278801,300500,2757500,Sphingidae,Macroglossum neotroglodytus,成蟲,2013,347671,3826_11161
3826_225250,249500,2650500,Sphingidae,Macroglossum neotroglodytus,成蟲,2015,347671,3826_9050
3826_167264,263500,2534500,Sphingidae,Macroglossum neotroglodytus,成蟲,2015,347671,3826_6653
3826_280304,303500,2760500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2015,347671,3826_11261
3826_280809,308500,2761500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2012,347671,3826_11262
3826_165724,223500,2531500,Sphingidae,Macroglossum neotroglodytus,成蟲,2016,347671,3826_6645
3826_152684,183500,2505500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2016,347671,3826_6137
3826_280809,308500,2761500,Sphingidae,Macroglossum neotroglodytus,成蟲,2013,347671,3826_11262
3826_197709,208500,2595500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2016,347671,3826_7942
3826_250727,226500,2701500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2016,347671,3826_10046
3826_282784,283500,2765500,Sphingidae,Macroglossum neotroglodytus,成蟲,2017,347671,3826_11357
3826_232753,252500,2665500,Sphingidae,Macroglossum neotroglodytus,成蟲,2017,347671,3826_9351
3826_222739,238500,2645500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2017,347671,3826_8948
3826_166218,217500,2532500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2018,347671,3826_6644
3826_275780,279500,2751500,Sphingidae,Macroglossum neotroglodytus,成蟲,2018,347671,3826_11056
3826_287811,310500,2775500,Sphingidae,Macroglossum neotroglodytus,成蟲,2015,347671,3826_11563
3826_241231,230500,2682500,Sphingidae,Macroglossum neotroglodytus,成蟲,2019,347671,3826_9647
3826_280765,264500,2761500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2019,347671,3826_11253
3826_249227,226500,2698500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2019,347671,3826_9946
3826_282784,283500,2765500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2019,347671,3826_11357
3826_224244,243500,2648500,Sphingidae,Macroglossum neotroglodytus,成蟲,2019,347671,3826_8949
3826_266265,264500,2732500,Sphingidae,Macroglossum neotroglodytus,成蟲,2019,347671,3826_10653
3826_225249,248500,2650500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2019,347671,3826_9050
3826_286323,322500,2772500,Sphingidae,Macroglossum neotroglodytus,成蟲,2020,347671,3826_11465
3826_230228,227500,2660500,Sphingidae,Macroglossum neotroglodytus,成蟲,2020,347671,3826_9246
3826_281309,308500,2762500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2013,347671,3826_11262
3826_281309,308500,2762500,Sphingidae,Macroglossum neotroglodytus,卵,2012,347671,3826_11262
3826_219230,229500,2638500,Sphingidae,Macroglossum neotroglodytus,幼蟲,2021,347671,3826_8746
3826_197710,209500,2595500,Sphingidae,Macroglossum neotroglodytus,卵,2022,347671,3826_7942
