GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287312,311500,2774500,Sphingidae,Macroglossum passalus,幼蟲,2012,347672,3826_11463
3826_161256,255500,2522500,Sphingidae,Macroglossum passalus,幼蟲,2012,347672,3826_6452
3826_297809,308500,2795500,Sphingidae,Macroglossum passalus,幼蟲,2012,347672,3826_11962
3826_289305,304500,2778500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_11561
3826_277270,269500,2754500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_11054
3826_293301,300500,2786500,Sphingidae,Macroglossum passalus,成蟲,2012,347672,3826_11761
3826_238230,229500,2676500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_9546
3826_277800,299500,2755500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_11160
3826_121236,235500,2442500,Sphingidae,Macroglossum passalus,成蟲,2013,347672,3826_4848
3826_285293,292500,2770500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_11459
3826_276830,329500,2753500,Sphingidae,Macroglossum passalus,成蟲,2012,347672,3826_11066
3826_276830,329500,2753500,Sphingidae,Macroglossum passalus,幼蟲,2012,347672,3826_11066
3826_289826,325500,2779500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_11566
3826_280296,295500,2760500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_11260
3826_288808,307500,2777500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_11562
3826_198220,219500,2596500,Sphingidae,Macroglossum passalus,成蟲,2013,347672,3826_7944
3826_247723,222500,2695500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_9945
3826_238752,251500,2677500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_9551
3826_294317,316500,2788500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_11764
3826_297301,300500,2794500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_11861
3826_292797,296500,2785500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_11760
3826_290315,314500,2780500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_11663
3826_227258,257500,2654500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_9052
3826_280806,305500,2761500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_11262
3826_288309,308500,2776500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_11562
3826_293807,306500,2787500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_11762
3826_232753,252500,2665500,Sphingidae,Macroglossum passalus,幼蟲,2015,347672,3826_9351
3826_284809,308500,2769500,Sphingidae,Macroglossum passalus,成蟲,2016,347672,3826_11362
3826_288308,307500,2776500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_11562
3826_288310,309500,2776500,Sphingidae,Macroglossum passalus,幼蟲,2016,347672,3826_11562
3826_281312,311500,2762500,Sphingidae,Macroglossum passalus,幼蟲,2016,347672,3826_11263
3826_232753,252500,2665500,Sphingidae,Macroglossum passalus,幼蟲,2014,347672,3826_9351
3826_232753,252500,2665500,Sphingidae,Macroglossum passalus,成蟲,2016,347672,3826_9351
3826_287787,286500,2775500,Sphingidae,Macroglossum passalus,成蟲,2016,347672,3826_11558
3826_284317,316500,2768500,Sphingidae,Macroglossum passalus,幼蟲,2016,347672,3826_11364
3826_223304,303500,2646500,Sphingidae,Macroglossum passalus,幼蟲,2016,347672,3826_8961
3826_205721,220500,2611500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_8245
3826_273260,259500,2746500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_10952
3826_275307,306500,2750500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_11062
3826_281810,309500,2763500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_11262
3826_280806,305500,2761500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_11262
3826_272764,263500,2745500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_10953
3826_288306,305500,2776500,Sphingidae,Macroglossum passalus,幼蟲,2017,347672,3826_11562
3826_288808,307500,2777500,Sphingidae,Macroglossum passalus,幼蟲,2018,347672,3826_11562
3826_281313,312500,2762500,Sphingidae,Macroglossum passalus,幼蟲,2018,347672,3826_11263
3826_273260,259500,2746500,Sphingidae,Macroglossum passalus,幼蟲,2018,347672,3826_10952
3826_237746,245500,2675500,Sphingidae,Macroglossum passalus,幼蟲,2018,347672,3826_9550
3826_287809,308500,2775500,Sphingidae,Macroglossum passalus,幼蟲,2018,347672,3826_11562
3826_280805,304500,2761500,Sphingidae,Macroglossum passalus,幼蟲,2018,347672,3826_11261
3826_288808,307500,2777500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11562
3826_290310,309500,2780500,Sphingidae,Macroglossum passalus,成蟲,2019,347672,3826_11662
3826_282784,283500,2765500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11357
3826_288308,307500,2776500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11562
3826_289309,308500,2778500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11562
3826_285293,292500,2770500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11459
3826_265778,277500,2731500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_10656
3826_290315,314500,2780500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11663
3826_295304,303500,2790500,Sphingidae,Macroglossum passalus,成蟲,2013,347672,3826_11861
3826_291805,304500,2783500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_11661
3826_237248,247500,2674500,Sphingidae,Macroglossum passalus,幼蟲,2019,347672,3826_9450
3826_292309,308500,2784500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_11662
3826_236246,245500,2672500,Sphingidae,Macroglossum passalus,幼蟲,2013,347672,3826_9450
