GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_288808,307500,2777500,Sphingidae,Macroglossum saga,幼蟲,2012,347675,3826_11562
3826_297809,308500,2795500,Sphingidae,Macroglossum saga,幼蟲,2012,347675,3826_11962
3826_232241,240500,2664500,Sphingidae,Macroglossum saga,成蟲,2013,347675,3826_9249
3826_230738,237500,2661500,Sphingidae,Macroglossum saga,成蟲,2013,347675,3826_9248
3826_255762,261500,2711500,Sphingidae,Macroglossum saga,成蟲,2013,347675,3826_10253
3826_238794,293500,2677500,Sphingidae,Macroglossum saga,成蟲,2013,347675,3826_9559
3826_175725,224500,2551500,Sphingidae,Macroglossum saga,成蟲,2014,347675,3826_7045
3826_264279,278500,2728500,Sphingidae,Macroglossum saga,成蟲,2014,347675,3826_10556
3826_273788,287500,2747500,Sphingidae,Macroglossum saga,成蟲,2014,347675,3826_10958
3826_291805,304500,2783500,Sphingidae,Macroglossum saga,幼蟲,2013,347675,3826_11661
3826_294302,301500,2788500,Sphingidae,Macroglossum saga,幼蟲,2015,347675,3826_11761
3826_254805,304500,2709500,Sphingidae,Macroglossum saga,成蟲,2015,347675,3826_10161
3826_264283,282500,2728500,Sphingidae,Macroglossum saga,成蟲,2016,347675,3826_10557
3826_237785,284500,2675500,Sphingidae,Macroglossum saga,成蟲,2016,347675,3826_9557
3826_293807,306500,2787500,Sphingidae,Macroglossum saga,成蟲,2016,347675,3826_11762
3826_190782,281500,2581500,Sphingidae,Macroglossum saga,成蟲,2016,347675,3826_7657
3826_190782,281500,2581500,Sphingidae,Macroglossum saga,成蟲,2017,347675,3826_7657
3826_214739,238500,2629500,Sphingidae,Macroglossum saga,成蟲,2017,347675,3826_8548
3826_207230,229500,2614500,Sphingidae,Macroglossum saga,成蟲,2017,347675,3826_8246
3826_263296,295500,2726500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_10560
3826_175223,222500,2550500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_7045
3826_262249,248500,2724500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_10450
3826_232753,252500,2665500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_9351
3826_259784,283500,2719500,Sphingidae,Macroglossum saga,幼蟲,2018,347675,3826_10357
3826_240249,248500,2680500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_9650
3826_239775,274500,2679500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_9555
3826_269255,254500,2738500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_10751
3826_235280,279500,2670500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_9456
3826_293303,302500,2786500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_11761
3826_269271,270500,2738500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_10755
3826_257253,252500,2714500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_10251
3826_241751,250500,2683500,Sphingidae,Macroglossum saga,成蟲,2019,347675,3826_9651
3826_254738,237500,2709500,Sphingidae,Macroglossum saga,成蟲,2018,347675,3826_10148
3826_232268,267500,2664500,Sphingidae,Macroglossum saga,成蟲,2019,347675,3826_9254
3826_290310,309500,2780500,Sphingidae,Macroglossum saga,成蟲,2019,347675,3826_11662
3826_255262,261500,2710500,Sphingidae,Macroglossum saga,成蟲,2019,347675,3826_10253
3826_255743,242500,2711500,Sphingidae,Macroglossum saga,成蟲,2019,347675,3826_10249
3826_292805,304500,2785500,Sphingidae,Macroglossum saga,成蟲,2011,347675,3826_11761
3826_240731,230500,2681500,Sphingidae,Macroglossum saga,成蟲,2019,347675,3826_9647
3826_264279,278500,2728500,Sphingidae,Macroglossum saga,幼蟲,2019,347675,3826_10556
3826_198739,238500,2597500,Sphingidae,Macroglossum saga,成蟲,2014,347675,3826_7948
3826_281810,309500,2763500,Sphingidae,Macroglossum saga,成蟲,2020,347675,3826_11262
3826_264783,282500,2729500,Sphingidae,Macroglossum saga,成蟲,2022,347675,3826_10557
