GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_254805,304500,2709500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2012,347682,3826_10161
3826_204726,225500,2609500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2012,347682,3826_8146
3826_267778,277500,2735500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2013,347682,3826_10756
3826_255762,261500,2711500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2013,347682,3826_10253
3826_250744,243500,2701500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2014,347682,3826_10049
3826_263798,297500,2727500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2014,347682,3826_10560
3826_264279,278500,2728500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2015,347682,3826_10556
3826_215255,254500,2630500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2014,347682,3826_8651
3826_268776,275500,2737500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2014,347682,3826_10756
3826_225263,262500,2650500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2015,347682,3826_9053
3826_263260,259500,2726500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2014,347682,3826_10552
3826_254805,304500,2709500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2015,347682,3826_10161
3826_263798,297500,2727500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2016,347682,3826_10560
3826_276297,296500,2752500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2016,347682,3826_11060
3826_268778,277500,2737500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2016,347682,3826_10756
3826_237791,290500,2675500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2016,347682,3826_9559
3826_238251,250500,2676500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2016,347682,3826_9551
3826_212729,228500,2625500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2016,347682,3826_8546
3826_229766,265500,2659500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_9154
3826_222755,254500,2645500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_8951
3826_225263,262500,2650500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_9053
3826_254805,304500,2709500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_10161
3826_266265,264500,2732500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_10653
3826_227759,258500,2655500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_9152
3826_256748,247500,2713500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_10250
3826_224769,268500,2649500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_8954
3826_227760,259500,2655500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2017,347682,3826_9152
3826_268778,277500,2737500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2017,347682,3826_10756
3826_227759,258500,2655500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2018,347682,3826_9152
3826_264279,278500,2728500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2018,347682,3826_10556
3826_246783,282500,2693500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2018,347682,3826_9857
3826_255762,261500,2711500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2018,347682,3826_10253
3826_228252,251500,2656500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2018,347682,3826_9151
3826_247282,281500,2694500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2018,347682,3826_9857
3826_255743,242500,2711500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2018,347682,3826_10249
3826_266265,264500,2732500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2019,347682,3826_10653
3826_227760,259500,2655500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2019,347682,3826_9152
3826_232753,252500,2665500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2019,347682,3826_9351
3826_212229,228500,2624500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2019,347682,3826_8446
3826_255762,261500,2711500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2019,347682,3826_10253
3826_247282,281500,2694500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2019,347682,3826_9857
3826_212229,228500,2624500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2019,347682,3826_8446
3826_224770,269500,2649500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_8954
3826_227759,258500,2655500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_9152
3826_227760,259500,2655500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_9152
3826_231268,267500,2662500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_9254
3826_257745,244500,2715500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_10349
3826_207230,229500,2614500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_8246
3826_273788,287500,2747500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_10958
3826_238251,250500,2676500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_9551
3826_238251,250500,2676500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2020,347682,3826_9551
3826_258760,259500,2717500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_10352
3826_185231,230500,2570500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2020,347682,3826_7447
3826_237752,251500,2675500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2021,347682,3826_9551
3826_276796,295500,2753500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2021,347682,3826_11060
3826_273282,281500,2746500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2016,347682,3826_10957
3826_224769,268500,2649500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2022,347682,3826_8954
3826_259791,290500,2719500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2010,347682,3826_10359
3826_254237,236500,2708500,Sphingidae,Marumba gaschkewitschii gressitti,成蟲,2022,347682,3826_10148
3826_224769,268500,2649500,Sphingidae,Marumba gaschkewitschii gressitti,幼蟲,2022,347682,3826_8954
