GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_228764,263500,2657500,Sphingidae,Marumba sperchius sperchius,成蟲,2011,347684,3826_9153
3826_238752,251500,2677500,Sphingidae,Marumba sperchius sperchius,成蟲,2011,347684,3826_9551
3826_274762,261500,2749500,Sphingidae,Marumba sperchius sperchius,幼蟲,2012,347684,3826_10953
3826_263798,297500,2727500,Sphingidae,Marumba sperchius sperchius,成蟲,2012,347684,3826_10560
3826_238290,289500,2676500,Sphingidae,Marumba sperchius sperchius,成蟲,2012,347684,3826_9558
3826_273788,287500,2747500,Sphingidae,Marumba sperchius sperchius,成蟲,2012,347684,3826_10958
3826_188716,215500,2577500,Sphingidae,Marumba sperchius sperchius,成蟲,2013,347684,3826_7544
3826_167728,227500,2535500,Sphingidae,Marumba sperchius sperchius,幼蟲,2012,347684,3826_6746
3826_273826,325500,2747500,Sphingidae,Marumba sperchius sperchius,成蟲,2013,347684,3826_10966
3826_165716,215500,2531500,Sphingidae,Marumba sperchius sperchius,成蟲,2012,347684,3826_6644
3826_207230,229500,2614500,Sphingidae,Marumba sperchius sperchius,成蟲,2013,347684,3826_8246
3826_238794,293500,2677500,Sphingidae,Marumba sperchius sperchius,成蟲,2013,347684,3826_9559
3826_150218,217500,2500500,Sphingidae,Marumba sperchius sperchius,成蟲,2013,347684,3826_6044
3826_288808,307500,2777500,Sphingidae,Marumba sperchius sperchius,成蟲,2011,347684,3826_11562
3826_288808,307500,2777500,Sphingidae,Marumba sperchius sperchius,幼蟲,2011,347684,3826_11562
3826_264279,278500,2728500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_10556
3826_287803,302500,2775500,Sphingidae,Marumba sperchius sperchius,成蟲,2016,347684,3826_11561
3826_140224,223500,2480500,Sphingidae,Marumba sperchius sperchius,成蟲,2013,347684,3826_5645
3826_227258,257500,2654500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_9052
3826_264268,267500,2728500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_10554
3826_215255,254500,2630500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_8651
3826_229743,242500,2659500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_9149
3826_263798,297500,2727500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_10560
3826_232753,252500,2665500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_9351
3826_264792,291500,2729500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_10559
3826_269811,310500,2739500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_10763
3826_229767,266500,2659500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_9154
3826_263296,295500,2726500,Sphingidae,Marumba sperchius sperchius,成蟲,2014,347684,3826_10560
3826_159220,219500,2518500,Sphingidae,Marumba sperchius sperchius,成蟲,2015,347684,3826_6344
3826_237248,247500,2674500,Sphingidae,Marumba sperchius sperchius,成蟲,2015,347684,3826_9450
