GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_265289,288500,2730500,Geometridae,Menophra taiwana,成蟲,2011,345060,3826_10658
3826_273788,287500,2747500,Geometridae,Menophra taiwana,成蟲,2012,345060,3826_10958
3826_166722,221500,2533500,Geometridae,Menophra taiwana,成蟲,2012,345060,3826_6645
3826_272776,275500,2745500,Geometridae,Menophra taiwana,成蟲,2012,345060,3826_10956
3826_272277,276500,2744500,Geometridae,Menophra taiwana,成蟲,2013,345060,3826_10856
3826_187200,199500,2574500,Geometridae,Menophra taiwana,成蟲,2013,345060,3826_7440
3826_227258,257500,2654500,Geometridae,Menophra taiwana,成蟲,2014,345060,3826_9052
3826_175223,222500,2550500,Geometridae,Menophra taiwana,成蟲,2014,345060,3826_7045
3826_220810,309500,2641500,Geometridae,Menophra taiwana,成蟲,2015,345060,3826_8862
3826_255305,304500,2710500,Geometridae,Menophra taiwana,成蟲,2015,345060,3826_10261
3826_221311,310500,2642500,Geometridae,Menophra taiwana,成蟲,2015,345060,3826_8863
3826_237248,247500,2674500,Geometridae,Menophra taiwana,成蟲,2015,345060,3826_9450
3826_264279,278500,2728500,Geometridae,Menophra taiwana,成蟲,2014,345060,3826_10556
3826_175725,224500,2551500,Geometridae,Menophra taiwana,成蟲,2013,345060,3826_7045
3826_234267,266500,2668500,Geometridae,Menophra taiwana,成蟲,2010,345060,3826_9354
3826_238794,293500,2677500,Geometridae,Menophra taiwana,成蟲,2012,345060,3826_9559
3826_211732,231500,2623500,Geometridae,Menophra taiwana,成蟲,2015,345060,3826_8447
3826_273279,278500,2746500,Geometridae,Menophra taiwana,成蟲,2013,345060,3826_10956
3826_267773,272500,2735500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_10755
3826_165724,223500,2531500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_6645
3826_237245,244500,2674500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_9449
3826_209230,229500,2618500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_8346
3826_224749,248500,2649500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_8950
3826_225801,300500,2651500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_9061
3826_238290,289500,2676500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_9558
3826_237801,300500,2675500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_9561
3826_190782,281500,2581500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_7657
3826_228263,262500,2656500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_9153
3826_263260,259500,2726500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_10552
3826_199233,232500,2598500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_7947
3826_197723,222500,2595500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_7945
3826_239300,299500,2678500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_9560
3826_188777,276500,2577500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_7556
3826_256760,259500,2713500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_10252
3826_190782,281500,2581500,Geometridae,Menophra taiwana,成蟲,2016,345060,3826_7657
3826_209230,229500,2618500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_8346
3826_257742,241500,2715500,Geometridae,Menophra taiwana,成蟲,2013,345060,3826_10349
3826_242745,244500,2685500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_9749
3826_270273,272500,2740500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_10855
3826_267278,277500,2734500,Geometridae,Menophra taiwana,成蟲,2017,345060,3826_10656
3826_207230,229500,2614500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_8246
3826_190782,281500,2581500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_7657
3826_200230,229500,2600500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_8046
3826_259800,299500,2719500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_10360
3826_265782,281500,2731500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_10657
3826_243743,242500,2687500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_9749
3826_237288,287500,2674500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_9458
3826_260276,275500,2720500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_10456
3826_242745,244500,2685500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_9749
3826_263260,259500,2726500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_10552
3826_241248,247500,2682500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_9650
3826_238751,250500,2677500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_9551
3826_257253,252500,2714500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_10251
3826_238290,289500,2676500,Geometridae,Menophra taiwana,成蟲,2014,345060,3826_9558
3826_255262,261500,2710500,Geometridae,Menophra taiwana,成蟲,2018,345060,3826_10253
3826_259784,283500,2719500,Geometridae,Menophra taiwana,成蟲,2010,345060,3826_10357
