GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_228264,263500,2656500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2011,344825,3826_9153
3826_263798,297500,2727500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2011,344825,3826_10560
3826_206243,242500,2612500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2012,344825,3826_8249
3826_254805,304500,2709500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2012,344825,3826_10161
3826_241275,274500,2682500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2012,344825,3826_9655
3826_238794,293500,2677500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_9559
3826_247282,281500,2694500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_9857
3826_238290,289500,2676500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_9558
3826_269280,279500,2738500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10756
3826_273788,287500,2747500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10958
3826_167728,227500,2535500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2012,344825,3826_6746
3826_263285,284500,2726500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10557
3826_264779,278500,2729500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10556
3826_209230,229500,2618500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_8346
3826_193697,196500,2587500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_7740
3826_259784,283500,2719500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10357
3826_268788,287500,2737500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10758
3826_264279,278500,2728500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10556
3826_227258,257500,2654500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_9052
3826_264279,278500,2728500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10556
3826_200220,219500,2600500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_8044
3826_247282,281500,2694500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_9857
3826_265790,289500,2731500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10658
3826_200731,230500,2601500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_8047
3826_207230,229500,2614500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_8246
3826_229766,265500,2659500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_9154
3826_256762,261500,2713500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10253
3826_266293,292500,2732500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10659
3826_186219,218500,2572500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2015,344825,3826_7444
3826_264779,278500,2729500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10556
3826_255762,261500,2711500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10253
3826_202243,242500,2604500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_8049
3826_259784,283500,2719500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10357
3826_263798,297500,2727500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10560
3826_258301,300500,2716500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10361
3826_263798,297500,2727500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2015,344825,3826_10560
3826_264283,282500,2728500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2015,344825,3826_10557
3826_259788,287500,2719500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2015,344825,3826_10358
3826_269811,310500,2739500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_10763
3826_234267,266500,2668500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2010,344825,3826_9354
3826_200230,229500,2600500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2015,344825,3826_8046
3826_238794,293500,2677500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2012,344825,3826_9559
3826_254805,304500,2709500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2015,344825,3826_10161
3826_175726,225500,2551500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2012,344825,3826_7046
3826_207230,229500,2614500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_8246
3826_255762,261500,2711500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2013,344825,3826_10253
3826_206230,229500,2612500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_8246
3826_256262,261500,2712500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10253
3826_198733,232500,2597500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_7947
3826_175724,223500,2551500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_7045
3826_256762,261500,2713500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10253
3826_254805,304500,2709500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10161
3826_264279,278500,2728500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10556
3826_241248,247500,2682500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_9650
3826_263798,297500,2727500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10560
3826_251252,251500,2702500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10051
3826_232268,267500,2664500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_9254
3826_180258,257500,2560500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_7252
3826_263260,259500,2726500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10552
3826_224769,268500,2649500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2014,344825,3826_8954
3826_255762,261500,2711500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_10253
3826_259800,299500,2719500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_10360
3826_263798,297500,2727500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_10560
3826_238290,289500,2676500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_9558
3826_238794,293500,2677500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_9559
3826_242745,244500,2685500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_9749
3826_185749,248500,2571500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_7450
3826_211236,235500,2622500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_8448
3826_187742,241500,2575500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2016,344825,3826_7549
3826_256760,259500,2713500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_10252
3826_229266,265500,2658500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_9154
3826_199233,232500,2598500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_7947
3826_255762,261500,2711500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_10253
3826_256762,261500,2713500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_10253
3826_207230,229500,2614500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_8246
3826_199222,221500,2598500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_7945
3826_200230,229500,2600500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_8046
3826_200231,230500,2600500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_8047
3826_209230,229500,2618500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_8346
3826_207729,228500,2615500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_8346
3826_267278,277500,2734500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_10656
3826_198733,232500,2597500,Geometridae,Mesastrape fulguraria fulguraria,成蟲,2017,344825,3826_7947
