GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_122730,229500,2445500,Erebidae,Metaemene atrigutta,成蟲,2011,429856,3826_4946
3826_128729,228500,2457500,Erebidae,Metaemene atrigutta,成蟲,2011,429856,3826_5146
3826_286306,305500,2772500,Erebidae,Metaemene atrigutta,成蟲,2011,429856,3826_11462
3826_291300,299500,2782500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11660
3826_289798,297500,2779500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11560
3826_218230,229500,2636500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_8746
3826_278806,305500,2757500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11162
3826_187200,199500,2574500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_7440
3826_238225,224500,2676500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_9545
3826_279822,321500,2759500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11165
3826_280304,303500,2760500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11261
3826_116226,225500,2432500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_4646
3826_289798,297500,2779500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11560
3826_275748,247500,2751500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11050
3826_282806,305500,2765500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11362
3826_217730,229500,2635500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_8746
3826_188716,215500,2577500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_7544
3826_282792,291500,2765500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11359
3826_291329,328500,2782500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11666
3826_263309,308500,2726500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_10562
3826_294320,319500,2788500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11764
3826_273775,274500,2747500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_10955
3826_273826,325500,2747500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_10966
3826_290304,303500,2780500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11661
3826_297809,308500,2795500,Erebidae,Metaemene atrigutta,成蟲,2012,429856,3826_11962
3826_261827,326500,2723500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_10466
3826_114731,230500,2429500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_4547
3826_169279,278500,2538500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_6756
3826_285291,290500,2770500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11459
3826_243237,236500,2686500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_9748
3826_296307,306500,2792500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11862
3826_298802,301500,2797500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11961
3826_272776,275500,2745500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_10956
3826_288804,303500,2777500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11561
3826_291301,300500,2782500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11661
3826_282806,305500,2765500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11362
3826_290805,304500,2781500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11661
3826_281820,319500,2763500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11264
3826_262305,304500,2724500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_10461
3826_288836,335500,2777500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11568
3826_270248,247500,2740500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_10850
3826_218230,229500,2636500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_8746
3826_283807,306500,2767500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11362
3826_287311,310500,2774500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11463
3826_286317,316500,2772500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11464
3826_285310,309500,2770500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11462
3826_221310,309500,2642500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_8862
3826_281810,309500,2763500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_11262
3826_291802,301500,2783500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_11661
3826_199196,195500,2598500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_7940
3826_258242,241500,2716500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_10349
3826_161762,261500,2523500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_6453
3826_277807,306500,2755500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11162
3826_281301,300500,2762500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11261
3826_282809,308500,2765500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11362
3826_298802,301500,2797500,Erebidae,Metaemene atrigutta,成蟲,2013,429856,3826_11961
3826_291828,327500,2783500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_11666
3826_272276,275500,2744500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_10856
3826_228809,308500,2657500,Erebidae,Metaemene atrigutta,成蟲,2015,429856,3826_9162
3826_236813,312500,2673500,Erebidae,Metaemene atrigutta,成蟲,2014,429856,3826_9463
