GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_206243,242500,2612500,Drepanidae,Microblepsis violacea,成蟲,2012,344442,3826_8249
3826_273788,287500,2747500,Drepanidae,Microblepsis violacea,成蟲,2012,344442,3826_10958
3826_273788,287500,2747500,Drepanidae,Microblepsis violacea,成蟲,2013,344442,3826_10958
3826_268276,275500,2736500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10756
3826_227258,257500,2654500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_9052
3826_175223,222500,2550500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_7045
3826_265790,289500,2731500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10658
3826_139724,223500,2479500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_5545
3826_237248,247500,2674500,Drepanidae,Microblepsis violacea,成蟲,2015,344442,3826_9450
3826_264283,282500,2728500,Drepanidae,Microblepsis violacea,成蟲,2015,344442,3826_10557
3826_264279,278500,2728500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10556
3826_264779,278500,2729500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10556
3826_236745,244500,2673500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_9449
3826_255762,261500,2711500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10253
3826_237245,244500,2674500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_9449
3826_215255,254500,2630500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_8651
3826_259282,281500,2718500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10357
3826_257247,246500,2714500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10250
3826_259301,300500,2718500,Drepanidae,Microblepsis violacea,成蟲,2014,344442,3826_10361
3826_233240,239500,2666500,Drepanidae,Microblepsis violacea,成蟲,2015,344442,3826_9348
3826_234267,266500,2668500,Drepanidae,Microblepsis violacea,成蟲,2010,344442,3826_9354
3826_254805,304500,2709500,Drepanidae,Microblepsis violacea,成蟲,2015,344442,3826_10161
3826_204739,238500,2609500,Drepanidae,Microblepsis violacea,成蟲,2012,344442,3826_8148
3826_224769,268500,2649500,Drepanidae,Microblepsis violacea,成蟲,2015,344442,3826_8954
3826_195715,214500,2591500,Drepanidae,Microblepsis violacea,成蟲,2013,344442,3826_7843
