GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_246737,236500,2693500,Noctuidae,Microxyla confusa,幼蟲,2012,346479,3826_9848
3826_203705,204500,2607500,Noctuidae,Microxyla confusa,成蟲,2012,346479,3826_8141
3826_188716,215500,2577500,Noctuidae,Microxyla confusa,成蟲,2013,346479,3826_7544
3826_269315,314500,2738500,Noctuidae,Microxyla confusa,成蟲,2013,346479,3826_10763
3826_266771,270500,2733500,Noctuidae,Microxyla confusa,成蟲,2013,346479,3826_10655
3826_272276,275500,2744500,Noctuidae,Microxyla confusa,成蟲,2013,346479,3826_10856
3826_265276,275500,2730500,Noctuidae,Microxyla confusa,成蟲,2013,346479,3826_10656
3826_187200,199500,2574500,Noctuidae,Microxyla confusa,成蟲,2014,346479,3826_7440
3826_231246,245500,2662500,Noctuidae,Microxyla confusa,成蟲,2014,346479,3826_9250
3826_227258,257500,2654500,Noctuidae,Microxyla confusa,成蟲,2014,346479,3826_9052
3826_282307,306500,2764500,Noctuidae,Microxyla confusa,成蟲,2014,346479,3826_11262
3826_298802,301500,2797500,Noctuidae,Microxyla confusa,成蟲,2013,346479,3826_11961
3826_279306,305500,2758500,Noctuidae,Microxyla confusa,成蟲,2015,346479,3826_11162
3826_273788,287500,2747500,Noctuidae,Microxyla confusa,成蟲,2012,346479,3826_10958
3826_282784,283500,2765500,Noctuidae,Microxyla confusa,成蟲,2015,346479,3826_11357
3826_178788,287500,2557500,Noctuidae,Microxyla confusa,成蟲,2012,346479,3826_7158
3826_195213,212500,2590500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_7843
3826_287810,309500,2775500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_11562
3826_284810,309500,2769500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_11362
3826_270777,276500,2741500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_10856
3826_264279,278500,2728500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_10556
3826_263279,278500,2726500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_10556
3826_272786,285500,2745500,Noctuidae,Microxyla confusa,成蟲,2014,346479,3826_10958
3826_198220,219500,2596500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_7944
3826_282307,306500,2764500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_11262
3826_282307,306500,2764500,Noctuidae,Microxyla confusa,成蟲,2017,346479,3826_11262
3826_220810,309500,2641500,Noctuidae,Microxyla confusa,成蟲,2016,346479,3826_8862
3826_255722,221500,2711500,Noctuidae,Microxyla confusa,成蟲,2017,346479,3826_10245
3826_195214,213500,2590500,Noctuidae,Microxyla confusa,成蟲,2017,346479,3826_7843
