GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_280304,303500,2760500,Zygaenidae,Milleria formosana contradicta,幼蟲,2012,427211,3826_11261
3826_222739,238500,2645500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_8948
3826_277270,269500,2754500,Zygaenidae,Milleria formosana contradicta,幼蟲,2012,427211,3826_11054
3826_280815,314500,2761500,Zygaenidae,Milleria formosana contradicta,成蟲,2013,427211,3826_11263
3826_283307,306500,2766500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_11362
3826_293303,302500,2786500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_11761
3826_269762,261500,2739500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_10753
3826_293805,304500,2787500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_11761
3826_269809,308500,2739500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_10762
3826_269811,310500,2739500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_10763
3826_292806,305500,2785500,Zygaenidae,Milleria formosana contradicta,成蟲,2015,427211,3826_11762
3826_282809,308500,2765500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_11362
3826_284315,314500,2768500,Zygaenidae,Milleria formosana contradicta,成蟲,2014,427211,3826_11363
3826_284317,316500,2768500,Zygaenidae,Milleria formosana contradicta,幼蟲,2015,427211,3826_11364
3826_284308,307500,2768500,Zygaenidae,Milleria formosana contradicta,成蟲,2015,427211,3826_11362
3826_283807,306500,2767500,Zygaenidae,Milleria formosana contradicta,幼蟲,2015,427211,3826_11362
3826_283807,306500,2767500,Zygaenidae,Milleria formosana contradicta,成蟲,2015,427211,3826_11362
3826_284836,335500,2769500,Zygaenidae,Milleria formosana contradicta,成蟲,2015,427211,3826_11368
3826_281309,308500,2762500,Zygaenidae,Milleria formosana contradicta,成蟲,2015,427211,3826_11262
3826_287810,309500,2775500,Zygaenidae,Milleria formosana contradicta,幼蟲,2016,427211,3826_11562
3826_285313,312500,2770500,Zygaenidae,Milleria formosana contradicta,幼蟲,2016,427211,3826_11463
3826_288810,309500,2777500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11562
3826_289309,308500,2778500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11562
3826_289826,325500,2779500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11566
3826_265765,264500,2731500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_10653
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11357
3826_290320,319500,2780500,Zygaenidae,Milleria formosana contradicta,幼蟲,2016,427211,3826_11664
3826_288310,309500,2776500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11562
3826_284317,316500,2768500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11364
3826_287811,310500,2775500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11563
3826_285304,303500,2770500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11461
3826_281813,312500,2763500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11263
3826_281310,309500,2762500,Zygaenidae,Milleria formosana contradicta,幼蟲,2013,427211,3826_11262
3826_293807,306500,2787500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11762
3826_281805,304500,2763500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11261
3826_293303,302500,2786500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11761
3826_280805,304500,2761500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11261
3826_272799,298500,2745500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_10960
3826_293303,302500,2786500,Zygaenidae,Milleria formosana contradicta,幼蟲,2016,427211,3826_11761
3826_283301,300500,2766500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11361
3826_285829,328500,2771500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11466
3826_282809,308500,2765500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11362
3826_282307,306500,2764500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11262
3826_282307,306500,2764500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11262
3826_268778,277500,2737500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_10756
3826_290315,314500,2780500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11663
3826_284790,289500,2769500,Zygaenidae,Milleria formosana contradicta,成蟲,2016,427211,3826_11358
3826_288314,313500,2776500,Zygaenidae,Milleria formosana contradicta,幼蟲,2016,427211,3826_11563
3826_289309,308500,2778500,Zygaenidae,Milleria formosana contradicta,幼蟲,2017,427211,3826_11562
3826_280805,304500,2761500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11261
3826_291807,306500,2783500,Zygaenidae,Milleria formosana contradicta,幼蟲,2017,427211,3826_11662
3826_193697,196500,2587500,Zygaenidae,Milleria formosana contradicta,幼蟲,2017,427211,3826_7740
3826_293303,302500,2786500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11761
3826_276805,304500,2753500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11061
3826_263260,259500,2726500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_10552
3826_291810,309500,2783500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11662
3826_280304,303500,2760500,Zygaenidae,Milleria formosana contradicta,成蟲,2017,427211,3826_11261
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,幼蟲,2018,427211,3826_11357
3826_279301,300500,2758500,Zygaenidae,Milleria formosana contradicta,幼蟲,2018,427211,3826_11161
3826_128729,228500,2457500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_5146
3826_293303,302500,2786500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_11761
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_11357
3826_280805,304500,2761500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_11261
3826_292307,306500,2784500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_11662
3826_279301,300500,2758500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_11161
3826_280304,303500,2760500,Zygaenidae,Milleria formosana contradicta,幼蟲,2018,427211,3826_11261
3826_287312,311500,2774500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_11463
3826_284309,308500,2768500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11362
3826_282307,306500,2764500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11262
3826_279301,300500,2758500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11161
3826_292306,305500,2784500,Zygaenidae,Milleria formosana contradicta,成蟲,2015,427211,3826_11662
3826_272764,263500,2745500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_10953
3826_279305,304500,2758500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11161
3826_277270,269500,2754500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11054
3826_277270,269500,2754500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_11054
3826_273768,267500,2747500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_10954
3826_273260,259500,2746500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_10952
3826_291807,306500,2783500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11662
3826_292307,306500,2784500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11662
3826_263259,258500,2726500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_10552
3826_293303,302500,2786500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11761
3826_281310,309500,2762500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11262
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_11357
3826_252226,225500,2704500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_10046
3826_280304,303500,2760500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11261
3826_273792,291500,2747500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_10959
3826_281319,318500,2762500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11264
3826_281319,318500,2762500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_11264
3826_290315,314500,2780500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11663
3826_288310,309500,2776500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11562
3826_273277,276500,2746500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_10956
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,成蟲,2019,427211,3826_11357
3826_290309,308500,2780500,Zygaenidae,Milleria formosana contradicta,幼蟲,2019,427211,3826_11662
3826_290308,307500,2780500,Zygaenidae,Milleria formosana contradicta,成蟲,2013,427211,3826_11662
3826_280304,303500,2760500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11261
3826_283807,306500,2767500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11362
3826_288810,309500,2777500,Zygaenidae,Milleria formosana contradicta,幼蟲,2020,427211,3826_11562
3826_248231,230500,2696500,Zygaenidae,Milleria formosana contradicta,成蟲,2018,427211,3826_9947
3826_283308,307500,2766500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11362
3826_279321,320500,2758500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11165
3826_273792,291500,2747500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_10959
3826_269762,261500,2739500,Zygaenidae,Milleria formosana contradicta,幼蟲,2020,427211,3826_10753
3826_279808,307500,2759500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11162
3826_285313,312500,2770500,Zygaenidae,Milleria formosana contradicta,幼蟲,2020,427211,3826_11463
3826_290310,309500,2780500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11662
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,幼蟲,2020,427211,3826_11357
3826_281309,308500,2762500,Zygaenidae,Milleria formosana contradicta,成蟲,2020,427211,3826_11262
3826_282784,283500,2765500,Zygaenidae,Milleria formosana contradicta,幼蟲,2021,427211,3826_11357
3826_280805,304500,2761500,Zygaenidae,Milleria formosana contradicta,成蟲,2021,427211,3826_11261
3826_272310,309500,2744500,Zygaenidae,Milleria formosana contradicta,幼蟲,2021,427211,3826_10862
