GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_296304,303500,2792500,Noctuidae,Mimeusemia vilemani,幼蟲,2012,346480,3826_11861
3826_219741,240500,2639500,Noctuidae,Mimeusemia vilemani,成蟲,2012,346480,3826_8749
3826_276805,304500,2753500,Noctuidae,Mimeusemia vilemani,幼蟲,2012,346480,3826_11061
3826_175767,266500,2551500,Noctuidae,Mimeusemia vilemani,成蟲,2012,346480,3826_7054
3826_287811,310500,2775500,Noctuidae,Mimeusemia vilemani,成蟲,2012,346480,3826_11563
3826_282309,308500,2764500,Noctuidae,Mimeusemia vilemani,幼蟲,2012,346480,3826_11262
3826_294303,302500,2788500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_11761
3826_297301,300500,2794500,Noctuidae,Mimeusemia vilemani,幼蟲,2013,346480,3826_11861
3826_288804,303500,2777500,Noctuidae,Mimeusemia vilemani,幼蟲,2013,346480,3826_11561
3826_269811,310500,2739500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_10763
3826_279291,290500,2758500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_11159
3826_265765,264500,2731500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_10653
3826_291329,328500,2782500,Noctuidae,Mimeusemia vilemani,幼蟲,2014,346480,3826_11666
3826_118227,226500,2436500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_4746
3826_271250,249500,2742500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_10850
3826_218237,236500,2636500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_8748
3826_289307,306500,2778500,Noctuidae,Mimeusemia vilemani,幼蟲,2013,346480,3826_11562
3826_230726,225500,2661500,Noctuidae,Mimeusemia vilemani,成蟲,2012,346480,3826_9246
3826_287813,312500,2775500,Noctuidae,Mimeusemia vilemani,幼蟲,2013,346480,3826_11563
3826_291802,301500,2783500,Noctuidae,Mimeusemia vilemani,幼蟲,2014,346480,3826_11661
3826_279301,300500,2758500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_11161
3826_140224,223500,2480500,Noctuidae,Mimeusemia vilemani,成蟲,2013,346480,3826_5645
3826_209219,218500,2618500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_8344
3826_204739,238500,2609500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_8148
3826_281309,308500,2762500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_11262
3826_283809,308500,2767500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_11362
3826_218727,226500,2637500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_8746
3826_285841,340500,2771500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_11469
3826_275306,305500,2750500,Noctuidae,Mimeusemia vilemani,成蟲,2014,346480,3826_11062
3826_230229,228500,2660500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_9246
3826_215744,243500,2631500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_8649
3826_285313,312500,2770500,Noctuidae,Mimeusemia vilemani,幼蟲,2014,346480,3826_11463
3826_294320,319500,2788500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_11764
3826_213712,211500,2627500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_8543
3826_291329,328500,2782500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_11666
3826_285793,292500,2771500,Noctuidae,Mimeusemia vilemani,幼蟲,2015,346480,3826_11459
3826_291808,307500,2783500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_11662
3826_284810,309500,2769500,Noctuidae,Mimeusemia vilemani,幼蟲,2015,346480,3826_11362
3826_287814,313500,2775500,Noctuidae,Mimeusemia vilemani,幼蟲,2015,346480,3826_11563
3826_283807,306500,2767500,Noctuidae,Mimeusemia vilemani,成蟲,2015,346480,3826_11362
3826_277807,306500,2755500,Noctuidae,Mimeusemia vilemani,幼蟲,2015,346480,3826_11162
