GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_128729,228500,2457500,Limacodidae,Monema rubriceps,成蟲,2011,345648,3826_5146
3826_187200,199500,2574500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_7440
3826_204726,225500,2609500,Limacodidae,Monema rubriceps,幼蟲,2012,345648,3826_8146
3826_276808,307500,2753500,Limacodidae,Monema rubriceps,幼蟲,2012,345648,3826_11062
3826_273788,287500,2747500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_10958
3826_269315,314500,2738500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_10763
3826_228759,258500,2657500,Limacodidae,Monema rubriceps,蛹,2012,345648,3826_9152
3826_244745,244500,2689500,Limacodidae,Monema rubriceps,蛹,2012,345648,3826_9749
3826_218230,229500,2636500,Limacodidae,Monema rubriceps,蛹,2011,345648,3826_8746
3826_244745,244500,2689500,Limacodidae,Monema rubriceps,幼蟲,2012,345648,3826_9749
3826_249744,243500,2699500,Limacodidae,Monema rubriceps,幼蟲,2012,345648,3826_9949
3826_264811,310500,2729500,Limacodidae,Monema rubriceps,幼蟲,2012,345648,3826_10563
3826_266257,256500,2732500,Limacodidae,Monema rubriceps,幼蟲,2013,345648,3826_10652
3826_234238,237500,2668500,Limacodidae,Monema rubriceps,幼蟲,2013,345648,3826_9348
3826_269811,310500,2739500,Limacodidae,Monema rubriceps,幼蟲,2013,345648,3826_10763
3826_263798,297500,2727500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10560
3826_264281,280500,2728500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10557
3826_269811,310500,2739500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10763
3826_265292,291500,2730500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10659
3826_272277,276500,2744500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10856
3826_220810,309500,2641500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_8862
3826_270777,276500,2741500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10856
3826_218230,229500,2636500,Limacodidae,Monema rubriceps,幼蟲,2014,345648,3826_8746
3826_269811,310500,2739500,Limacodidae,Monema rubriceps,成蟲,2011,345648,3826_10763
3826_265289,288500,2730500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10658
3826_218230,229500,2636500,Limacodidae,Monema rubriceps,蛹,2014,345648,3826_8746
3826_263798,297500,2727500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10560
3826_281312,311500,2762500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_11263
3826_186733,232500,2573500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_7447
3826_259800,299500,2719500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_10360
3826_225806,305500,2651500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_9062
3826_237248,247500,2674500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_9450
3826_282809,308500,2765500,Limacodidae,Monema rubriceps,幼蟲,2014,345648,3826_11362
3826_274305,304500,2748500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10961
3826_237245,244500,2674500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_9449
3826_203289,288500,2606500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_8158
3826_244827,326500,2689500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_9766
3826_267278,277500,2734500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10656
3826_269312,311500,2738500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10763
3826_232753,252500,2665500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_9351
3826_270276,275500,2740500,Limacodidae,Monema rubriceps,幼蟲,2013,345648,3826_10856
3826_232753,252500,2665500,Limacodidae,Monema rubriceps,幼蟲,2014,345648,3826_9351
3826_272776,275500,2745500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_10956
3826_253242,241500,2706500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10149
3826_218230,229500,2636500,Limacodidae,Monema rubriceps,蛹,2015,345648,3826_8746
3826_255762,261500,2711500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_10253
3826_225250,249500,2650500,Limacodidae,Monema rubriceps,幼蟲,2015,345648,3826_9050
3826_211732,231500,2623500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_8447
3826_237801,300500,2675500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_9561
3826_276808,307500,2753500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_11062
3826_212787,286500,2625500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_8558
3826_275267,266500,2750500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_11054
3826_228263,262500,2656500,Limacodidae,Monema rubriceps,成蟲,2012,345648,3826_9153
3826_282809,308500,2765500,Limacodidae,Monema rubriceps,蛹,2015,345648,3826_11362
3826_269278,277500,2738500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10756
3826_269775,274500,2739500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10755
3826_271249,248500,2742500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_10850
3826_263792,291500,2727500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_10559
3826_224769,268500,2649500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_8954
3826_263798,297500,2727500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_10560
3826_269280,279500,2738500,Limacodidae,Monema rubriceps,蛹,2014,345648,3826_10756
3826_267778,277500,2735500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_10756
3826_241726,225500,2683500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_9646
3826_270777,276500,2741500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_10856
3826_269278,277500,2738500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_10756
3826_253332,331500,2706500,Limacodidae,Monema rubriceps,成蟲,2013,345648,3826_10167
3826_273289,288500,2746500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_10958
3826_272776,275500,2745500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_10956
3826_263294,293500,2726500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_10559
3826_258261,260500,2716500,Limacodidae,Monema rubriceps,蛹,2016,345648,3826_10353
3826_190699,198500,2581500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_7640
3826_242745,244500,2685500,Limacodidae,Monema rubriceps,蛹,2015,345648,3826_9749
3826_218230,229500,2636500,Limacodidae,Monema rubriceps,蛹,2016,345648,3826_8746
3826_269278,277500,2738500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_10756
3826_240741,240500,2681500,Limacodidae,Monema rubriceps,幼蟲,2016,345648,3826_9649
3826_237801,300500,2675500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_9561
3826_234314,313500,2668500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_9363
3826_198215,214500,2596500,Limacodidae,Monema rubriceps,蛹,2017,345648,3826_7943
3826_220810,309500,2641500,Limacodidae,Monema rubriceps,成蟲,2015,345648,3826_8862
3826_220810,309500,2641500,Limacodidae,Monema rubriceps,成蟲,2016,345648,3826_8862
3826_247215,214500,2694500,Limacodidae,Monema rubriceps,幼蟲,2017,345648,3826_9843
3826_281812,311500,2763500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_11263
3826_266265,264500,2732500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_10653
3826_273278,277500,2746500,Limacodidae,Monema rubriceps,幼蟲,2017,345648,3826_10956
3826_227759,258500,2655500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_9152
3826_274307,306500,2748500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_10962
3826_238709,208500,2677500,Limacodidae,Monema rubriceps,幼蟲,2017,345648,3826_9542
3826_239300,299500,2678500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_9560
3826_267278,277500,2734500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_10656
3826_271279,278500,2742500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_10856
3826_271250,249500,2742500,Limacodidae,Monema rubriceps,幼蟲,2017,345648,3826_10850
3826_276802,301500,2753500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_11061
3826_265291,290500,2730500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_10659
3826_240741,240500,2681500,Limacodidae,Monema rubriceps,幼蟲,2017,345648,3826_9649
3826_273788,287500,2747500,Limacodidae,Monema rubriceps,成蟲,2017,345648,3826_10958
3826_281810,309500,2763500,Limacodidae,Monema rubriceps,成蟲,2014,345648,3826_11262
3826_237239,238500,2674500,Limacodidae,Monema rubriceps,幼蟲,2018,345648,3826_9448
