GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_209230,229500,2618500,Geometridae,Monocerotesa virgata,成蟲,2010,345075,3826_8346
3826_232268,267500,2664500,Geometridae,Monocerotesa virgata,成蟲,2011,345075,3826_9254
3826_219243,242500,2638500,Geometridae,Monocerotesa virgata,成蟲,2012,345075,3826_8749
3826_220243,242500,2640500,Geometridae,Monocerotesa virgata,成蟲,2012,345075,3826_8849
3826_204726,225500,2609500,Geometridae,Monocerotesa virgata,成蟲,2012,345075,3826_8146
3826_198220,219500,2596500,Geometridae,Monocerotesa virgata,成蟲,2012,345075,3826_7944
3826_200231,230500,2600500,Geometridae,Monocerotesa virgata,成蟲,2012,345075,3826_8047
3826_175725,224500,2551500,Geometridae,Monocerotesa virgata,成蟲,2014,345075,3826_7045
3826_269811,310500,2739500,Geometridae,Monocerotesa virgata,成蟲,2013,345075,3826_10763
3826_264279,278500,2728500,Geometridae,Monocerotesa virgata,成蟲,2013,345075,3826_10556
3826_264279,278500,2728500,Geometridae,Monocerotesa virgata,成蟲,2015,345075,3826_10556
3826_264279,278500,2728500,Geometridae,Monocerotesa virgata,成蟲,2014,345075,3826_10556
3826_211732,231500,2623500,Geometridae,Monocerotesa virgata,成蟲,2015,345075,3826_8447
3826_139724,223500,2479500,Geometridae,Monocerotesa virgata,成蟲,2015,345075,3826_5545
3826_269276,275500,2738500,Geometridae,Monocerotesa virgata,成蟲,2013,345075,3826_10756
3826_229248,247500,2658500,Geometridae,Monocerotesa virgata,成蟲,2016,345075,3826_9150
3826_226764,263500,2653500,Geometridae,Monocerotesa virgata,成蟲,2013,345075,3826_9053
3826_263279,278500,2726500,Geometridae,Monocerotesa virgata,成蟲,2016,345075,3826_10556
3826_175724,223500,2551500,Geometridae,Monocerotesa virgata,成蟲,2015,345075,3826_7045
3826_264279,278500,2728500,Geometridae,Monocerotesa virgata,成蟲,2018,345075,3826_10556
3826_241751,250500,2683500,Geometridae,Monocerotesa virgata,成蟲,2018,345075,3826_9651
3826_236809,308500,2673500,Geometridae,Monocerotesa virgata,成蟲,2011,345075,3826_9462
3826_257745,244500,2715500,Geometridae,Monocerotesa virgata,成蟲,2019,345075,3826_10349
3826_198717,216500,2597500,Geometridae,Monocerotesa virgata,成蟲,2019,345075,3826_7944
3826_209730,229500,2619500,Geometridae,Monocerotesa virgata,成蟲,2017,345075,3826_8346
3826_263294,293500,2726500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_10559
3826_269811,310500,2739500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_10763
3826_265782,281500,2731500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_10657
3826_241240,239500,2682500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_9648
3826_238794,293500,2677500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_9559
3826_200220,219500,2600500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_8044
3826_198717,216500,2597500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_7944
3826_281810,309500,2763500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_11262
3826_248781,280500,2697500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_9957
3826_262761,260500,2725500,Geometridae,Monocerotesa virgata,成蟲,2020,345075,3826_10553
3826_257745,244500,2715500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_10349
3826_203243,242500,2606500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_8149
3826_273304,303500,2746500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_10961
3826_273792,291500,2747500,Geometridae,Monocerotesa virgata,成蟲,2021,345075,3826_10959
3826_282806,305500,2765500,Geometridae,Monocerotesa virgata,成蟲,2022,345075,3826_11362
