GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_264279,278500,2728500,Noctuidae,Mythimna sinuosa,成蟲,2013,346527,3826_10556
3826_264779,278500,2729500,Noctuidae,Mythimna sinuosa,成蟲,2014,346527,3826_10556
3826_154218,217500,2508500,Noctuidae,Mythimna sinuosa,成蟲,2011,346527,3826_6144
3826_264279,278500,2728500,Noctuidae,Mythimna sinuosa,成蟲,2016,346527,3826_10556
3826_256262,261500,2712500,Noctuidae,Mythimna sinuosa,成蟲,2016,346527,3826_10253
3826_237301,300500,2674500,Noctuidae,Mythimna sinuosa,成蟲,2013,346527,3826_9461
3826_165724,223500,2531500,Noctuidae,Mythimna sinuosa,成蟲,2016,346527,3826_6645
3826_238290,289500,2676500,Noctuidae,Mythimna sinuosa,成蟲,2016,346527,3826_9558
3826_225801,300500,2651500,Noctuidae,Mythimna sinuosa,成蟲,2017,346527,3826_9061
3826_265782,281500,2731500,Noctuidae,Mythimna sinuosa,成蟲,2017,346527,3826_10657
3826_232268,267500,2664500,Noctuidae,Mythimna sinuosa,成蟲,2017,346527,3826_9254
3826_254805,304500,2709500,Noctuidae,Mythimna sinuosa,成蟲,2017,346527,3826_10161
3826_262249,248500,2724500,Noctuidae,Mythimna sinuosa,成蟲,2017,346527,3826_10450
3826_207230,229500,2614500,Noctuidae,Mythimna sinuosa,成蟲,2017,346527,3826_8246
3826_238800,299500,2677500,Noctuidae,Mythimna sinuosa,成蟲,2018,346527,3826_9560
3826_154218,217500,2508500,Noctuidae,Mythimna sinuosa,成蟲,2018,346527,3826_6144
3826_200229,228500,2600500,Noctuidae,Mythimna sinuosa,成蟲,2018,346527,3826_8046
3826_260294,293500,2720500,Noctuidae,Mythimna sinuosa,成蟲,2016,346527,3826_10459
3826_255262,261500,2710500,Noctuidae,Mythimna sinuosa,成蟲,2018,346527,3826_10253
3826_182206,205500,2564500,Noctuidae,Mythimna sinuosa,成蟲,2014,346527,3826_7242
3826_264778,277500,2729500,Noctuidae,Mythimna sinuosa,成蟲,2019,346527,3826_10556
3826_255743,242500,2711500,Noctuidae,Mythimna sinuosa,成蟲,2018,346527,3826_10249
3826_265773,272500,2731500,Noctuidae,Mythimna sinuosa,成蟲,2019,346527,3826_10655
3826_154218,217500,2508500,Noctuidae,Mythimna sinuosa,成蟲,2013,346527,3826_6144
3826_159220,219500,2518500,Noctuidae,Mythimna sinuosa,成蟲,2015,346527,3826_6344
3826_238794,293500,2677500,Noctuidae,Mythimna sinuosa,成蟲,2019,346527,3826_9559
3826_276802,301500,2753500,Noctuidae,Mythimna sinuosa,成蟲,2019,346527,3826_11061
3826_207230,229500,2614500,Noctuidae,Mythimna sinuosa,成蟲,2015,346527,3826_8246
3826_277327,326500,2754500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_11066
3826_238794,293500,2677500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_9559
3826_269811,310500,2739500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_10763
3826_255262,261500,2710500,Noctuidae,Mythimna sinuosa,成蟲,2016,346527,3826_10253
3826_238290,289500,2676500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_9558
3826_254805,304500,2709500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_10161
3826_175224,223500,2550500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_7045
3826_241751,250500,2683500,Noctuidae,Mythimna sinuosa,成蟲,2020,346527,3826_9651
3826_254805,304500,2709500,Noctuidae,Mythimna sinuosa,成蟲,2019,346527,3826_10161
3826_175222,221500,2550500,Noctuidae,Mythimna sinuosa,成蟲,2014,346527,3826_7045
3826_234278,277500,2668500,Noctuidae,Mythimna sinuosa,成蟲,2021,346527,3826_9356
3826_248781,280500,2697500,Noctuidae,Mythimna sinuosa,成蟲,2021,346527,3826_9957
3826_231268,267500,2662500,Noctuidae,Mythimna sinuosa,成蟲,2021,346527,3826_9254
3826_250251,250500,2700500,Noctuidae,Mythimna sinuosa,成蟲,2021,346527,3826_10051
3826_274810,309500,2749500,Noctuidae,Mythimna sinuosa,成蟲,2022,346527,3826_10962
3826_241751,250500,2683500,Noctuidae,Mythimna sinuosa,成蟲,2022,346527,3826_9651
3826_153718,217500,2507500,Noctuidae,Mythimna sinuosa,成蟲,2022,346527,3826_6144
3826_234278,277500,2668500,Noctuidae,Mythimna sinuosa,成蟲,2022,346527,3826_9356
3826_206222,221500,2612500,Noctuidae,Mythimna sinuosa,成蟲,2022,346527,3826_8245
